Monitoring site,2010,2011,2012,2013,2014
"Victoria St, Hereford
(duplicate2)",46.94,42.3,44.7,54.38,40.25
"Victoria St, Hereford (house façade)",49.15,45.9,46.9,50.4,43.71
Edgar/Moor Street,37.9,35,35.7,42.58,30.59
"Cross St, Belmont, Hereford",36.74,35.1,34.1,41.71,33.73
"Eign St, Hereford shop flat façade",43.21,37.9,38.3,43.94,34.05
"Elgars Rest,Widemarsh St,Hereford",27.47,26.6,28.1,37.11,24.61
"Broad Street, Hereford",30.18,30.5,30.4,37.17,28.93
"Holmer Rd, Hereford",36.71,26.7,27.9,31.59,25.58
"96 Whitecross Road, Hereford",49.44,42,39.5,51.87,40.18
Whitecross,25.08,20,21.9,25.65,19.44
"22 Barton Road, Hereford",32.9,27.1,28.7,48.38,36.7
"76 Belmont Road, Hereford",43.49,38.6,38.5,47.5,35.33
"Bengry’s Lights, Leominster",42.78,39.1,40.3,49.33,38.43
"29 Bargates, Leominster",46.53,50.2,54.4,60.02,47.63
Weir End house façade,42.07,41.7,37.3,48.75,36.07
Wilton house façade,39.09,41.1,38.7,50.11,36.27
