EU (28 countries);2000;5737043
Belgium;2000;146556
Bulgaria;2000;46462
Czech Republic;2000;92531
Denmark;2000;83376
Germany;2000;1034229
Estonia;2000;15350
Ireland;2000;59533
Greece;2000;151233
Spain;2000;533369
France;2000;937361
Croatia;2000;32623
Italy;2000;758966
Cyprus;2000;10935
Latvia;2000;18267
Lithuania;2000;28151
Luxembourg;2000;33364
Hungary;2000;71293
Malta;2000;3433
Netherlands;2000;179527
Austria;2000;129035
Poland;2000;209616
Portugal;2000;102169
Romania;2000;82893
Slovenia;2000;23026
Slovakia;2000;32027
Finland;2000;92965
Sweden;2000;106292
United Kingdom;2000;722463
Iceland;2000;3555
Liechtenstein;2000;389
Norway;2000;52129
Switzerland;2000;62721
Turkey;2000;401311
EU (28 countries);2001;5597909
Belgium;2001;147158
Bulgaria;2001;47201
Czech Republic;2001;95075
Denmark;2001;80660
Germany;2001;968154
Estonia;2001;16780
Ireland;2001;58839
Greece;2001;153121
Spain;2001;520035
France;2001;907599
Croatia;2001;31725
Italy;2001;745063
Cyprus;2001;10278
Latvia;2001;21061
Lithuania;2001;29748
Luxembourg;2001;33933
Hungary;2001;71683
Malta;2001;3864
Netherlands;2001;170401
Austria;2001;136016
Poland;2001;205387
Portugal;2001;103565
Romania;2001;106535
Slovenia;2001;23367
Slovakia;2001;35072
Finland;2001;89261
Sweden;2001;97347
United Kingdom;2001;688981
Iceland;2001;3578
Liechtenstein;2001;379
Norway;2001;49988
Switzerland;2001;58914
Turkey;2001;393604
EU (28 countries);2002;5391328
Belgium;2002;145703
Bulgaria;2002;48572
Czech Republic;2002;91069
Denmark;2002;77563
Germany;2002;914372
Estonia;2002;16150
Ireland;2002;54986
Greece;2002;151684
Spain;2002;510426
France;2002;871033
Croatia;2002;33428
Italy;2002;709142
Cyprus;2002;10132
Latvia;2002;20441
Lithuania;2002;28888
Luxembourg;2002;33892
Hungary;2002;72462
Malta;2002;3782
Netherlands;2002;166212
Austria;2002;143659
Poland;2002;192540
Portugal;2002;101476
Romania;2002;108622
Slovenia;2002;22432
Slovakia;2002;35495
Finland;2002;85983
Sweden;2002;90721
United Kingdom;2002;650463
Iceland;2002;3623
Liechtenstein;2002;366
Norway;2002;48160
Switzerland;2002;55386
Turkey;2002;397727
EU (28 countries);2003;5228070
Belgium;2003;144558
Bulgaria;2003;53511
Czech Republic;2003;94143
Denmark;2003;76879
Germany;2003;841017
Estonia;2003;13905
Ireland;2003;53152
Greece;2003;151422
Spain;2003;507197
France;2003;827037
Croatia;2003;33529
Italy;2003;683403
Cyprus;2003;10231
Latvia;2003;19947
Lithuania;2003;28825
Luxembourg;2003;36245
Hungary;2003;72249
Malta;2003;3608
Netherlands;2003;162576
Austria;2003;150185
Poland;2003;207601
Portugal;2003;98641
Romania;2003;118395
Slovenia;2003;22439
Slovakia;2003;34914
Finland;2003;82222
Sweden;2003;86384
United Kingdom;2003;613854
Iceland;2003;4285
Liechtenstein;2003;353
Norway;2003;46947
Switzerland;2003;53494
Turkey;2003;408134
EU (28 countries);2004;5163672
Belgium;2004;148840
Bulgaria;2004;51928
Czech Republic;2004;89158
Denmark;2004;75126
Germany;2004;800554
Estonia;2004;13453
Ireland;2004;53788
Greece;2004;152061
Spain;2004;520828
France;2004;803599
Croatia;2004;33284
Italy;2004;657878
