unit,product,indic_nrg,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
KTOE,55432,B_100100,AL	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
KTOE,55432,B_100100,AT	252.6 	223.4 	227.8 	231.0 	205.9 	194.2 	139.2 	129.3 	140.3 	109.1 	99.8 	73.3 	73.1 	66.6 	68.8 	70.1 	70.8 	72.5 	70.6 	57.9 	56.6 	55.7 	51.6 	42.9 	35.8 
KTOE,55432,B_100100,BA	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
KTOE,55432,B_100100,BE	340.7 	390.7 	364.2 	427.8 	407.9 	388.6 	359.5 	233.7 	404.5 	302.5 	282.2 	284.9 	193.2 	211.9 	182.3 	182.5 	188.2 	204.8 	194.8 	194.1 	178.5 	186.4 	178.3 	173.4 	168.6 
KTOE,55432,B_100100,BG	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
KTOE,55432,B_100100,CY	0.3 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KTOE,55432,B_100100,CZ	55.0 	55.3 	55.8 	53.2 	41.8 	35.5 	38.3 	39.2 	35.7 	37.4 	39.9 	38.4 	37.3 	35.4 	30.5 	25.7 	22.3 	16.6 	16.3 	15.6 	14.9 	9.7 	7.9 	5.5 	6.3 
KTOE,55432,B_100100,DE	3037.0 	2926.6 	2595.6 	2404.5 	2333.6 	2107.6 	2176.2 	2488.4 	2161.4 	1844.8 	1266.5 	1232.2 	700.3 	685.3 	653.1 	687.6 	637.8 	587.7 	578.1 	535.7 	522.3 	509.6 	504.1 	497.0 	509.3 
KTOE,55432,B_100100,DK	416.2 	402.7 	401.4 	413.0 	406.2 	422.9 	446.1 	427.3 	413.0 	406.2 	400.6 	393.4 	364.1 	346.4 	326.6 	313.2 	285.8 	287.7 	268.2 	246.2 	218.3 	208.6 	191.3 	180.0 	166.6 
KTOE,55432,B_100100,EA19	6995.2 	6863.7 	6376.2 	6231.8 	6074.4 	5854.0 	5684.7 	5811.7 	5492.7 	4966.9 	4296.8 	3964.4 	3064.2 	3001.2 	2823.3 	2730.0 	2473.3 	2324.9 	2196.3 	1994.3 	1758.7 	1734.4 	1674.0 	1652.2 	1586.6 
