na_item,unit,geo\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 
B1GQ,EUR_M3_CLV10,BE	: 	: 	: 	: 	: 	32.7 	36.3 	37.0 	38.8 	41.7 	41.3 	44.9 	47.4 	48.3 	51.8 	55.1 	54.3 	58.3 	58.9 	58.8 	61.3 e	70.7 e	: 	: 	: 
B1GQ,EUR_M3_CLV10,BG	: 	: 	: 	: 	: 	: 	3.4 	3.2 	3.1 	3.4 	4.0 	4.3 	4.1 	4.1 	4.8 	5.3 	5.2 	6.0 	6.1 	6.2 	6.4 	6.1 	6.8 	7.2 	: 
B1GQ,EUR_M3_CLV10,CH	: 	: 	: 	: 	: 	126.9 	128.5 	131.2 	134.7 	137.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	225.3 e	: 	: 
B1GQ,EUR_M3_CLV10,CY	: 	: 	: 	: 	: 	: 	: 	: 	73.1 	67.7 	73.2 	73.3 	69.5 	64.9 	61.5 	72.6 	76.4 	86.4 	120.8 	103.4 	96.1 	87.7 	73.4 	69.1 	: 
B1GQ,EUR_M3_CLV10,CZ	: 	: 	: 	: 	: 	38.2 	42.5 	43.5 	47.5 	55.5 	59.6 	64.1 	62.8 	58.7 	64.2 	71.2 	76.5 	79.4 	80.8 	78.5 	80.2 	84.5 	86.0 	95.4 	98.0 e
B1GQ,EUR_M3_CLV10,DE	: 	44.1 	: 	: 	: 	49.5 	: 	: 	55.3 	: 	: 	63.1 	: 	: 	67.8 	: 	: 	80.4 	: 	: 	78.1 	: 	: 	: 	: 
B1GQ,EUR_M3_CLV10,DK	137.2 	193.4 	: 	: 	: 	218.9 	207.9 	221.2 	279.7 	309.7 	310.1 	320.9 	341.6 	351.7 	347.2 	373.7 	370.0 	442.2 	360.7 	361.8 	371.9 	252.6 	378.6 	327.1 e	339.8 e
B1GQ,EUR_M3_CLV10,EE	: 	: 	: 	: 	: 	4.5 	5.1 	5.7 	6.1 	6.3 	7.2 	7.7 	8.5 	7.6 	7.8 	9.5 	10.6 	9.7 	10.5 	10.4 	8.0 	8.5 	10.1 	9.6 	: 
B1GQ,EUR_M3_CLV10,EL	: 	: 	: 	: 	: 	20.4 	21.2 	19.6 	: 	: 	19.1 	20.2 	22.2 	23.0 	23.9 	23.8 	25.7 	26.3 	: 	: 	: 	: 	: 	: 	: 
B1GQ,EUR_M3_CLV10,ES	: 	: 	: 	: 	: 	21.3 	: 	21.9 	21.4 	21.5 	23.8 	25.0 	25.8 	26.2 	27.4 	27.0 	29.4 	31.2 	31.7 	29.9 	30.4 	29.6 	27.8 	: 	: 
B1GQ,EUR_M3_CLV10,FI	54.2 	44.7 	52.4 	48.9 	47.1 	48.7 	: 	: 	: 	64.3 	: 	: 	: 	: 	: 	: 	28.5 	: 	: 	: 	: 	: 	: 	: 	: 
B1GQ,EUR_M3_CLV10,FR	: 	37.0 	37.7 	37.3 	37.0 	: 	: 	: 	: 	: 	54.2 	53.8 	56.4 	52.0 	56.1 	56.8 	60.5 	64.2 	69.1 	66.2 	70.5 	72.0 	68.1 	: 	: 
B1GQ,EUR_M3_CLV10,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	74.5 	66.4 	66.7 	66.8 	66.4 p	68.5 p	: 
B1GQ,EUR_M3_CLV10,HU	: 	: 	: 	: 	: 	11.5 	11.6 	12.4 	13.0 	13.9 	: 	: 	: 	: 	: 	20.1 	21.0 	19.6 	19.2 	15.4 	18.3 	19.1 	19.5 	: 	: 
B1GQ,EUR_M3_CLV10,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	204.4 	: 	245.9 	: 	: 	: 	: 	: 	: 	: 
B1GQ,EUR_M3_CLV10,IS	: 	: 	: 	: 	: 	36.2 	38.6 b	41.9 	44.3 	45.8 	47.7 	49.2 	49.1 	50.3 	54.3 	58.0 	: 	: 	: 	: 	3.0 	2.9 	2.9 	3.1 	3.7 
B1GQ,EUR_M3_CLV10,IT	: 	: 	: 	: 	: 	: 	: 	: 	35.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B1GQ,EUR_M3_CLV10,LT	: 	: 	: 	: 	: 	3.2 	2.7 	3.5 	3.5 	3.8 	5.1 	7.1 	6.7 	6.9 	7.5 	11.2 	13.6 	13.9 	14.2 	11.4 	37.8 	48.6 	46.2 	: 	: 
B1GQ,EUR_M3_CLV10,LU	: 	: 	: 	: 	: 	383.4 	: 	: 	: 	448.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	803.5 	841.0 	880.1 	915.8 	982.9 	966.5 e
B1GQ,EUR_M3_CLV10,LV	: 	: 	: 	: 	: 	22.9 	24.2 	29.4 	33.0 	37.9 	48.4 	50.7 	54.6 	59.7 	71.6 	76.5 	97.5 	102.5 	94.3 	46.8 	64.6 	51.2 	75.5 	81.6 	: 
B1GQ,EUR_M3_CLV10,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.7 	7.7 	8.2 	6.5 	3.3 	5.1 	6.8 	11.9 	9.6 	6.6 	: 	: 	: 	: 	: 
B1GQ,EUR_M3_CLV10,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	149.4 	158.7 	180.1 	182.7 	184.3 	187.1 	171.8 	182.5 	201.1 	161.4 	175.7 	172.3 	158.7 	: 
B1GQ,EUR_M3_CLV10,NL	: 	: 	: 	: 	: 	: 	71.4 	: 	: 	: 	: 	63.5 	: 	54.6 	50.0 	51.3 	55.5 	58.1 	60.4 	54.6 	57.8 	63.1 	59.2 	: 	: 
B1GQ,EUR_M3_CLV10,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	107.9 	107.7 	107.6 	: 	: 	: 	: 	: 	: 	: 
B1GQ,EUR_M3_CLV10,PL	: 	: 	: 	: 	: 	14.7 	15.7 	16.8 	18.4 	19.2 	20.5 	21.5 	21.7 	22.8 	24.1 	24.9 	24.8 	27.1 	29.9 	30.3 	31.1 	31.9 	33.6 	34.8 	35.7 e
B1GQ,EUR_M3_CLV10,PT	: 	: 	: 	: 	: 	: 	: 	: 	14.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B1GQ,EUR_M3_CLV10,RO	: 	: 	: 	: 	: 	8.2 	8.4 	9.0 	9.0 	9.5 	10.4 	11.9 	12.7 	15.0 	18.0 	20.7 	22.3 	18.4 	19.0 	18.6 	20.4 	19.4 	19.9 	20.8 	: 
B1GQ,EUR_M3_CLV10,RS	: 	: 	: 	: 	: 	4.4 	: 	: 	: 	: 	8.0 	7.9 	7.1 	7.1 	9.6 	6.9 	6.9 	7.3 	7.6 	7.2 	7.7 	7.1 	7.7 	7.4 	: 
B1GQ,EUR_M3_CLV10,SE	: 	: 	: 	78.5 	81.6 	92.3 	93.7 	96.9 	101.0 	105.5 	111.5 	113.7 	116.1 	118.9 	124.0 	128.4 	134.4 	139.0 	: 	: 	135.9 	: 	: 	: 	: 
B1GQ,EUR_M3_CLV10,SI	: 	: 	: 	: 	: 	: 	70.7 	75.2 	83.5 	84.1 	: 	: 	33.2 	36.1 	32.5 	36.0 	38.8 	40.2 	37.3 	38.0 	39.2 	42.9 	38.3 	30.4 b	28.8 e
B1GQ,EUR_M3_CLV10,SK	: 	: 	: 	: 	: 	25.4 	27.4 	30.4 	33.8 	35.6 	35.8 	38.0 	41.4 	45.8 	: 	59.1 	76.2 	93.6 	102.5 	102.4 	112.4 	117.2 	106.2 	112.5 	131.5 
B1GQ,EUR_M3_CLV10,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	174.3 	199.0 	220.6 	225.2 	217.2 	221.8 	242.2 	229.5 	: 	: 
B1GQ,EUR_M3_CLV10,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26.6 	25.8 	25.6 	26.0 	27.8 	29.2 	30.5 
B1GQ,PPS_M3,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.5 b	: 
B1GQ,PPS_M3,BE	: 	: 	: 	: 	: 	23.5 	26.5 	27.5 	29.0 	31.8 	33.4 	36.8 	40.3 	40.7 	43.5 	46.8 b	46.8 	50.9 	51.3 	50.6 	55.3 e	65.0 e	: 	: 	: 
B1GQ,PPS_M3,BG	: 	: 	: 	: 	: 	6.8 	5.2 	5.1 	5.5 	6.0 	7.3 	8.1 	7.9 	8.0 	9.5 	10.8 b	10.8 	13.0 	13.5 	13.6 	14.5 	13.7 	15.7 	16.3 	: 
B1GQ,PPS_M3,CH	: 	: 	: 	: 	: 	66.4 	69.5 	73.2 	75.9 	78.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	172.5 e	: 	: 
B1GQ,PPS_M3,CY	: 	: 	: 	: 	: 	: 	: 	: 	60.6 	57.3 	64.3 	66.9 	63.6 	60.0 	59.2 	72.6 b	78.7 	92.4 	135.0 	114.0 	108.2 	97.1 	81.9 	76.2 	: 
B1GQ,PPS_M3,CZ	: 	: 	: 	: 	: 	43.5 	49.9 	52.6 	57.9 	69.2 	75.6 	84.1 	83.6 	79.6 	88.8 	97.7 b	105.0 	113.2 	110.6 	109.0 	110.8 	120.4 	124.6 	142.0 	149.9 e
B1GQ,PPS_M3,DE	: 	: 	: 	: 	: 	36.4 	: 	: 	43.0 	: 	: 	51.5 	: 	: 	60.0 	: 	: 	76.0 	: 	: 	74.8 	: 	: 	: 	: 
B1GQ,PPS_M3,DK	: 	: 	: 	: 	: 	115.4 	113.4 	124.4 	160.3 	180.7 	188.8 	196.4 	217.2 	218.2 	222.8 	240.0 b	243.3 	300.3 	252.3 	250.7 	272.6 	188.0 	288.7 	251.8 e	263.5 e
B1GQ,PPS_M3,EE	: 	: 	: 	: 	: 	4.3 	5.1 	5.9 	6.3 	6.9 	8.0 	8.5 	9.8 	9.0 	9.6 	11.9 b	13.6 	13.0 	14.6 	14.6 	11.6 	12.8 	15.8 	15.0 	: 
B1GQ,PPS_M3,EL	: 	: 	: 	: 	: 	17.4 	18.7 	17.9 	: 	: 	18.2 	19.9 	22.8 	23.2 	24.5 	24.2 b	26.8 	27.5 	: 	: 	: 	: 	: 	: 	: 
B1GQ,PPS_M3,ES	: 	: 	: 	: 	: 	16.3 	: 	17.8 	17.9 	18.3 	20.9 	22.5 	24.3 	24.6 	26.5 	26.8 b	30.7 	33.8 	34.2 	31.7 	32.3 	31.7 	30.4 	: 	: 
B1GQ,PPS_M3,FI	: 	: 	: 	: 	: 	32.5 	: 	: 	: 	47.0 	: 	: 	: 	: 	: 	: 	22.5 	: 	: 	: 	: 	: 	: 	: 	: 
B1GQ,PPS_M3,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	42.0 	43.0 	46.5 	41.6 	45.4 	47.4 b	51.3 	56.3 	60.5 	57.3 	62.8 	65.0 	62.0 	: 	: 
B1GQ,PPS_M3,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	106.9 	93.7 	94.7 	98.9 	102.7 p	106.3 p	: 
B1GQ,PPS_M3,HU	: 	: 	: 	: 	: 	13.0 	13.7 	15.3 	16.4 	18.0 	: 	: 	: 	: 	: 	29.7 b	31.1 	29.9 	30.1 	24.8 	30.7 	32.6 	33.8 	: 	: 
B1GQ,PPS_M3,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	176.5 b	: 	228.8 	: 	: 	: 	: 	: 	: 	: 
B1GQ,PPS_M3,IS	: 	: 	: 	: 	: 	31.5 	33.9 b	38.6 	41.3 	43.2 	44.5 	46.7 	47.8 	47.0 	52.1 	53.8 b	: 	: 	: 	: 	2.8 	2.7 	2.7 	2.9 	3.6 
B1GQ,PPS_M3,IT	: 	: 	: 	: 	: 	: 	: 	: 	28.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
