statinfo,comspec,unit,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
NSME,CO_ALL,I00,EU_V	99.0 	98.1 	100.0 	101.0 	99.6 	98.1 	103.0 	103.9 	101.6 	102.0 	106.3 	102.7 	102.9 	103.8 	100.0 	101.0 	100.3 	104.9 	105.5 	104.3 	110.1 	110.7 	110.1 	110.2 	113.2 
NSME,CO_ALL,I90,EU_V	87.4 	86.6 	88.3 	89.2 	88.0 	86.7 	91.0 	91.8 	89.7 	90.1 	93.9 	90.8 	90.9 	91.7 	88.3 	89.3 	88.6 	92.7 	93.2 	92.1 	97.2 	97.8 	97.3 	97.4 	100.0 
NSME,CO_ALL,I_LY,EU_V	100.0 	99.1 	101.0 	102.1 	100.7 	99.2 	104.1 	105.0 	102.6 	103.0 	107.4 	103.8 	104.0 	104.9 	101.1 	102.1 	101.3 	106.0 	106.6 	105.4 	111.2 	111.8 	111.3 	111.4 	114.4 
NSME,CO_ALL,RCH_A_C,EU_V	-0.56 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSME,CO_FARM,I00,EU_V	84.3 	85.0 	87.6 	89.6 	87.3 	90.1 	92.8 	93.0 	93.7 	95.6 	98.3 	96.0 	94.2 	100.4 	100.0 	104.6 	101.3 	106.4 	103.6 	103.2 	116.8 	121.6 	121.9 	116.4 	123.0 
NSME,CO_FARM,I90,EU_V	68.5 	69.1 	71.2 	72.9 	71.0 	73.3 	75.4 	75.6 	76.1 	77.7 	79.9 	78.0 	76.6 	81.6 	81.3 	85.0 	82.4 	86.5 	84.2 	83.9 	95.0 	98.9 	99.1 	94.6 	100.0 
NSME,CO_FARM,I_LY,EU_V	100.0 	100.8 	103.9 	106.3 	103.6 	106.9 	110.0 	110.4 	111.1 	113.4 	116.6 	113.8 	111.8 	119.1 	118.6 	124.1 	120.2 	126.2 	122.9 	122.4 	138.6 	144.2 	144.5 	138.1 	145.9 
NSME,CO_FARM,RCH_A_C,EU_V	-1.56 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSME,CO_FOR,I00,EU_V	110.9 	110.8 	114.2 	109.2 	107.2 	104.5 	110.1 	107.5 	107.3 	108.0 	114.4 	107.1 	107.0 	103.3 	100.0 	102.9 	106.0 	117.6 	114.2 	110.2 	118.5 	110.9 	122.3 	126.5 	126.2 
NSME,CO_FOR,I90,EU_V	87.9 	87.8 	90.4 	86.5 	84.9 	82.8 	87.2 	85.2 	85.0 	85.6 	90.6 	84.8 	84.8 	81.8 	79.2 	81.5 	84.0 	93.2 	90.5 	87.3 	93.9 	87.8 	96.8 	100.2 	100.0 
