animals,unit,geo,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996
A2000,THS_HD,AT,1957.61,1961.20,1958.28,1955.62,1976.53,2013.28,:,1997.21,2000.2,:,2010.7,2051,2052,2066.9,2118.5,2155.4,2152.8,2171.7,2197.9,2272
A2000,THS_HD,AT1,463.08,467.90,467.15,465.66,471.78,475.57,479.13,471.31,474.2,:,481.4,482.2,489.6,498.9,511.3,522.3,531.1,534.8,553.4,571
A2000,THS_HD,AT11,20.43,20.93,20.98,21.61,22.03,21.65,22.04,21.49,21.7,:,21.6,22.5,23,23.2,24.4,26.1,26.9,28,31.2,35
A2000,THS_HD,AT12,442.58,446.87,446.08,443.94,449.62,453.81,456.97,449.7,452.4,:,459.6,459.6,466.6,475.5,486.8,496.1,504.1,506.7,522.1,536
A2000,THS_HD,AT13,0.07,0.10,0.09,0.11,0.13,0.12,0.11,0.12,0.2,:,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
A2000,THS_HD,AT2,509.14,511.27,511.48,513.02,520.21,536.56,542.43,531.18,530.9,:,522.5,536.1,532.5,534.1,550.9,568.8,561.9,560.9,568.6,593
A2000,THS_HD,AT21,186.25,188.12,189.02,189.97,191.63,198.08,199.03,193.76,193.1,:,192.4,196.2,194.6,193.9,200.7,205.5,199.9,198.4,200.3,209
A2000,THS_HD,AT22,322.89,323.15,322.47,323.05,328.58,338.48,343.4,337.42,337.8,:,330.2,340,338,340.2,350.3,363.3,362.1,362.5,368.3,384
A2000,THS_HD,AT3,985.39,982.04,979.65,976.94,984.54,1001.16,1004.71,994.72,995.2,:,1006.8,1032.7,1029.9,1034,1056.2,1064.3,1059.8,1076,1075.9,1108
A2000,THS_HD,AT31,573.24,573.03,572.65,571.73,576.82,586.3,586.84,580.66,585.1,:,597.9,607.4,607.3,617.9,633.4,641.9,643.9,653.9,658.4,677
A2000,THS_HD,AT32,164.87,163.87,162.65,161.61,162.54,165.65,166.25,164.28,163.5,:,163.6,172.4,170.9,166.2,169.2,169.8,167.5,167.7,167.8,174
A2000,THS_HD,AT33,181.59,180.40,179.92,179.07,180.53,183.83,185.64,184.19,182.6,:,182.7,189.1,188.8,187.1,191.1,189.7,186.6,193.9,187,194
A2000,THS_HD,AT34,65.69,64.74,64.43,64.54,64.65,65.38,65.98,65.59,64,:,62.6,63.9,62.9,62.8,62.4,62.9,61.7,60.5,62.8,63
A2000,THS_HD,BA,455.00 e,444.00 e,447.00 e,446.00 e,455 e,462,:,:,:,:,:,:,:,:,:,:,:,:,:,: 
A2000,THS_HD,BE,2503.26,2477.24,2432.53,2484.27,2560.32,2592.63,2600.45,2605.53,:,:,:,2738.6,2778.1,2891.3,3037.8,3041.6,2970.4,2984.4,2978.4,3070.8 
A2000,THS_HD,BE1,0.87,0.79,0.59,0.56,0.25,0.24,0.22,0.25,:,:,:,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.4 
A2000,THS_HD,BE10,:,0.79,0.59,0.56,0.25,0.24,0.22,0.25,:,:,:,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.4 
A2000,THS_HD,BE2,1321.01,1299.98,1255.40,1269.41,1302.25,1303.87,1296.51,1295.45,:,:,:,1374.1,1405.7,1457.2,1527.2,1558.1,1536.2,1554.4,1556.8,1613.1 
A2000,THS_HD,BE21,334.72,323.89,306.31,312.65,319.86,320.71,315.39,311.15,:,:,:,318.4,325.9,333.2,346.6,350.2,351.3,352.6,353.2,362.7 
A2000,THS_HD,BE22,137.28,134.74,128.14,129.29,132.35,133.47,134.97,135.3,:,:,:,149.1,152.6,160.5,166.8,169,167.4,170.8,169.7,175.7 
A2000,THS_HD,BE23,329.61,328.00,314.83,316.58,326.02,324,324.32,324.56,:,:,:,346.5,356,368.2,388.3,396.8,390.7,395.4,401,417.3 
A2000,THS_HD,BE24,104.25,102.97,100.93,103.91,109.96,108.25,108.37,110.35,:,:,:,119.5,124.1,129,135.7,137.6,135.1,135.4,137.6,141.7 
A2000,THS_HD,BE25,415.15,410.39,405.20,406.97,414.05,417.44,413.47,414.09,:,:,:,440.5,447.1,466.3,489.9,504.4,491.7,500.2,495.3,515.8 
A2000,THS_HD,BE3,1181.39,1176.46,1176.54,1214.31,1257.82,1288.53,1303.73,1309.84,:,:,:,1364.2,1372.1,1433.7,1510.1,1483.1,1433.9,1429.7,1421.2,1457.3 
A2000,THS_HD,BE31,50.00,49.43,50.45,52.34,53.86,55.76,56.61,58,:,:,:,62.1,62.4,65.8,69.9,68.6,68,69,69.6,72.7 
A2000,THS_HD,BE32,304.79,305.29,300.85,315.20,324.61,331.44,337.12,336.21,:,:,:,355.2,357.1,374.7,396.4,391.3,382.2,384.7,383.8,399.1 
A2000,THS_HD,BE33,263.59,262.91,257.75,261.36,271.11,274.88,277.67,276.02,:,:,:,282.9,286.3,300.3,314.6,312.6,307,307.8,308.1,316.8 
A2000,THS_HD,BE34,327.25,325.68,333.44,342.54,356.04,365.96,370.37,374.27,:,:,:,389.3,391.6,407,427.7,414.5,390.7,386.2,379.4,382.4 
A2000,THS_HD,BE35,235.77,233.14,234.06,242.88,252.21,260.49,261.96,265.36,:,:,:,274.7,274.7,286,301.5,296.1,286.1,282,280.2,286.3 
A2000,THS_HD,BG,561.04,562.36,585.55,535.32,567.53,553.7,:,:,611,:,630,679,736,699,635,515,691,682,622,593
A2000,THS_HD,BG3,313.52,310.70,313.76,299.40,311.07,326.56,:,:,365.4,:,:,:,:,:,:,:,:,:,:,: 
