unit	sex	age	geo	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990 
NR	T	TOTAL	AL	2893005	2895947 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	: 
NR	T	TOTAL	AL0	2893005	2895947 e	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	: 
NR	T	TOTAL	AT	8576261	8506889	8451860	8408121	8375164	8351643	8335003	8307989	8282984	8254298	8201359	8142573	8100273	8063640	8020946	8002186	7982461	7971116	7964966	7953067	7943489	7928746	7882519	7798899	7710882	7644818 
NR	T	TOTAL	AT1	3718672	3679155	3646529	3617321	3596910	3579589	3565870	3547701	3529875	3512077	3479550	3444493	3418657	3392463	3369328	3359846	3349729	3344933	3343996	3339649	3338685	3338124	3317228	3283464	3246000	3219274 
NR	T	TOTAL	AT11	288178	287318	286691	285782	284581	283697	282777	280977	280062	279128	278033	276793	276542	276673	275956	276226	276732	277210	277566	277843	277529	276300	275633	274259	271604	270670 
NR	T	TOTAL	AT12	1635695	1626262	1618592	1614455	1609474	1605897	1602958	1595503	1588567	1580501	1568949	1557291	1549269	1544667	1539416	1535083	1530745	1526848	1524239	1522804	1518489	1512388	1504072	1486756	1471624	1455968 
NR	T	TOTAL	AT13	1794799	1765575	1741246	1717084	1702855	1689995	1680135	1671221	1661246	1652448	1632568	1610409	1592846	1571123	1553956	1548537	1542252	1540875	1542191	1539002	1542667	1549436	1537523	1522449	1502772	1492636 
NR	T	TOTAL	AT2	1777542	1770670	1766444	1764723	1763329	1763043	1764257	1763416	1761876	1760131	1755706	1750194	1747938	1748050	1742012	1743626	1744312	1745051	1746136	1747383	1746844	1745847	1742927	1729730	1719415	1714561 
NR	T	TOTAL	AT21	557047	555743	555473	556027	556718	557998	559462	559715	559393	559277	558926	558026	558623	559933	559571	560696	560938	561012	561549	561845	560708	559735	558114	552345	547752	544983 
NR	T	TOTAL	AT22	1220495	1214927	1210971	1208696	1206611	1205045	1204795	1203701	1202483	1200854	1196780	1192168	1189315	1188117	1182441	1182930	1183374	1184039	1184587	1185538	1186136	1186112	1184813	1177385	1171663	1169578 
