indic_nv;unit;geo;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
FEC_AGR;KTOE;AT;;;;;;;;;;12868,45;10481,46;15059,59;10684,38;15264,39
FEC_AGR;KTOE;BE;;;;;;;;;;;;;;
FEC_AGR;KTOE;BG;195;198;204;184;184;186;266;297;300;;;;;
FEC_AGR;KTOE;CH;;;;;;;;;;;;;;
FEC_AGR;KTOE;CY;;;;;;;;;;10;10;9;8;8
FEC_AGR;KTOE;CZ;;;;;;;;;;;;;;
FEC_AGR;KTOE;DE;;;;;;;;;;;;;;
FEC_AGR;KTOE;DK;;;;;;;;;;;;;;
FEC_AGR;KTOE;EE;;;;;;;;;;108;67;80;60;58
FEC_AGR;KTOE;ES;;1706,079;558;563;626,001;848,002;861,999;866,002;854;;;;;
FEC_AGR;KTOE;FI;;;;;;;;;;;;;;
FEC_AGR;KTOE;FR;;;;;;;;;;4025,08;;4080,8;;
FEC_AGR;KTOE;HR;226,74;229,6;244,3;244,1;250;252,82;240,14;247,02;244,31;237,75;254,93;251,85;271,41;288,67
FEC_AGR;KTOE;HU;;;;;;;;;;685,03;643,31;736,76;741,14;633,12
FEC_AGR;KTOE;IE;;73,62;275,75;284,39;299,47;325,58;353,88;348,16;368,6;366,13;370,97;324,08;323,04;316,93
FEC_AGR;KTOE;IS;;;;;;;;;;;;;;
FEC_AGR;KTOE;IT;;;;;;;;;;;;;;
FEC_AGR;KTOE;LI;;;;;;;;;;;;;;
FEC_AGR;KTOE;LT;105,3;110,7;111,2;111;104,5;117;120,3;114,3;105,3;104,9;103;101,9;100,4;98,4
FEC_AGR;KTOE;LU;3485;3498;3516;3878;3742;3792;3849;3950;3904;3808,39;3596,72;3543,43;3168,82;2812,94
FEC_AGR;KTOE;LV;155;148;155;155;140;131;156;153;153;;;;;
FEC_AGR;KTOE;MK;22;26;26;27;18;23;23;31;36;;;;;
FEC_AGR;KTOE;MT;2,37;2,33;2,44;4,66;4,32;3,71;3,67;3,14;2,98;0,58;0,57;0,52;0,57;0,52
FEC_AGR;KTOE;PT;44,36;36,58;37,27;41,39;36,69;35,42;30,43;;;;;;;
FEC_HH;KTOE;AT;;;6226,47;6861,51;6302,31;6292,48;6124,36;6428,49;6724,96;6278,27;6404,73;6290,34;6509,69;6199,71
FEC_HH;KTOE;BG;2256;2377;2391;2261;2148;2125;2073;2183;2127;;;;;
FEC_HH;KTOE;CY;;;;;;;;;;199;207;191;172;174
FEC_HH;KTOE;CZ;6489,4;6271;6143,4;6787;6237,1;6214,8;6275,7;6627,7;6539,2;6234,99;6313,01;6029,01;6561,99;6023
FEC_HH;KTOE;EE;;;;;;;;;;922;926;918;939;928
FEC_HH;KTOE;ES;;13019,694;13208,999;13380,999;12397,999;11764,999;11752,001;11581;10633,999;;;;;
FEC_HH;KTOE;FR;;;;;;;;;;46940,66;42495,01;43272,58;40526,58;45250,99
FEC_HH;KTOE;HR;1717,95;1801,5;1871,9;1890,2;1809,9;1789,8;1718,96;1917,82;1989,83;1874,29;1859,24;1719,17;1657,39;1656,09
FEC_HH;KTOE;HU;;;;;;;;;;5960,26;6193,54;5486,9;5440,83;5096,93
FEC_HH;KTOE;IE;;734,47;2761,21;2954,82;3218,28;3100,93;3081,78;2921,01;2961,58;2839,52;2715,95;2610,58;2638,95;2503,92
FEC_HH;KTOE;LT;1467,8;1535,1;1533,6;1594,2;1568,7;1551,6;1503,9;1569,7;1508,1;1482,7;1469,7;1444;1420,9;1367,3
FEC_HH;KTOE;LU;613;644;667;712;702;725;717;732;728;739,89;704,87;681,76;694,81;655,49
FEC_HH;KTOE;LV;1268;1377;1326;1389;1534;1452;1459;1480;1503;;;;;
FEC_HH;KTOE;MK;453;523;543;537;542;508;478;503;486;;;;;
FEC_HH;KTOE;MT;69,6;70,17;68,97;65,67;66,23;73,28;75,98;94,32;75,59;85,86;84,31;72,53;66,96;67,55
FEC_HH;KTOE;NL;10808,9;10325,16;9735,12;11518;10189,99;9862,01;9299,99;10061,99;10143,01;;;;;
FEC_HH;KTOE;PT;81,91;82,63;88,71;95,36;85,58;84,79;82,47;;;;;;;
FEC_HH;KTOE;UK;;;;;40479,14;42892,3;44081,85;45069,24;45971,23;;;;;
FEC_IND;KTOE;AT;;;7454;7623,5;7467,15;7660,32;7481,76;7414,53;7329,33;6895,4;6517,11;6146,34;6181,66;6057,82
FEC_IND;KTOE;BG;2579;2576;2694;2549;2443;3451;3831;3690;3651;;;;;
FEC_IND;KTOE;CY;;;;;;;;;;446;442;423;426;441
FEC_IND;KTOE;EE;;;;;;;;;;672;670;558;631;571
FEC_IND;KTOE;ES;;17300,357;15084,999;15231;15338;18921,999;20072;18427;23677,002;;;;;
FEC_IND;KTOE;FR;;;;;;;;;;37357,68;;40462,88;;
FEC_IND;KTOE;HR;1112,91;1142,9;1292,4;1380,9;1427,5;1705,08;1679,85;1718,56;1655,79;1580,26;1460,68;1408,64;1444,43;1390,9
FEC_IND;KTOE;HU;;;;;;;;;;3720,23;3703,97;3877,5;3693,07;3566,31
FEC_IND;KTOE;IE;;594,8;2217,02;2236,72;2242,16;2278,36;2525,75;2612,72;2659,78;2581,26;2445,09;2439,81;2522,71;2549,08
FEC_IND;KTOE;LT;979;1001,8;940,6;899,4;819,8;945,6;1053,8;1044,8;984,4;936,6;910,3;863,9;774,4;781,8
FEC_IND;KTOE;LU;1194;1198;1245;1410;1273;1339;1434;1545;1453;1488,93;1290,1;1298,94;974,75;852,67
FEC_IND;KTOE;LV;855;905;825;831;710;773;811;824;769;;;;;
FEC_IND;KTOE;MK;563;641;641;543;422;613;664;589;562;;;;;
FEC_IND;KTOE;MT;68,04;70,97;70,92;60,16;79,07;62,92;68,14;68,49;64,33;44,07;44,12;43,05;45,31;46,39
FEC_IND;KTOE;PT;54,78;50,12;73,33;72,4;88,54;73;67,3;;;;;;;
FEC_IND;KTOE;SI;1209;1218;1248;1290;1296;1561;1683;1776;;;;;;
FEC_SER;KTOE;AT;;;3221,93;3272,8;2566,251;3235,703;2954,06;3213,69;3048,47;3316,94;3358,59;3034,16;3141,02;2702,91
FEC_SER;KTOE;BG;3566;3893;3761;3726;3711;3791;3578;3712;3438;;;;;
FEC_SER;KTOE;CY;;;;;;;;;;145;140;134;123;106
FEC_SER;KTOE;CZ;;;;;;;;;;3451,01;3428,99;3053;3236,01;2984
FEC_SER;KTOE;EE;;;;;;;;;;1103;996;967;938;850
FEC_SER;KTOE;ES;;10209,532;9970,001;10186;9230;8913,002;8521,001;9319,999;6887,999;;;;;
FEC_SER;KTOE;FR;;;;;;;;;;21961,96;19979,01;18768,16;17850,15;13617,01
FEC_SER;KTOE;HR;712;724,7;755,2;765,2;724,6;718,12;665,95;685,75;690,84;646,25;623,46;584,35;549,03;478,27
FEC_SER;KTOE;HU;;;;;;;;;;3891,02;3431,19;3370,06;3417,8;3280,08
FEC_SER;KTOE;IE;;358,82;1335,66;1373,74;1486,5;1588,52;1707,18;1566,36;1520,34;1486,45;1552,13;1435,36;1390,37;1340,8
FEC_SER;KTOE;LT;2172,9;2186,3;2127,3;2152,2;2098;2451,8;2472,6;2156,7;1999,9;1887,7;1742,4;1686;1630,7;1526,2
FEC_SER;KTOE;LU;1653;1631;1579;1727;1737;1702;1673;1650;1701;1557,8;1580,44;1543,28;1479,11;1287,23
FEC_SER;KTOE;LV;604;623;559;599;572;610;681;635;591;;;;;
FEC_SER;KTOE;MK;720;702;685;695;689;628;628;579;594;;;;;
FEC_SER;KTOE;MT;80,15;81,89;78,73;84,5;76,13;66,42;64,85;62,85;57,09;36,9;36,38;33,28;33,09;32,17
FEC_SER;KTOE;NL;9039,67;8993,05;8529,33;9693,99;8936,01;9125,99;8510;8598;8019;;;;;
FEC_SER;KTOE;PT;333,12;345,13;390,49;392,9;412,91;428,59;425,04;;;;;;;
FEC_TOT;KTOE;AT;;;26014,72;27100,95;25367,25;26561,64;26216,81;26499,26;26710,13;25744,75;25350,96;24021,34;23855,25;22392,32
FEC_TOT;KTOE;BG;8596;9044;9050;8720;8486;9553;9748;9882;9516;;;;;
FEC_TOT;KTOE;CY;;;;;;;;;;1815;1803;1704;1691;1632
