unit,icd10,geo,F,M,T
YR,A-R_V-Y,EU28,2636.4,5193.5,3903.4
YR,A-R_V-Y,BE,2712.6,4693.9,3705.1
YR,A-R_V-Y,BE1,2713.6,4228.7,3454.2
YR,A-R_V-Y,BE10,2713.6,4228.7,3454.2
YR,A-R_V-Y,BE2,2431.2,4035.4,3240
YR,A-R_V-Y,BE21,2400,3913.8,3164.8
YR,A-R_V-Y,BE22,2198.3,3609,2914.2
YR,A-R_V-Y,BE23,2563,4362.4,3469
YR,A-R_V-Y,BE24,2339.8,3635,2984.9
YR,A-R_V-Y,BE25,2583.3,4507.1,3558.1
YR,A-R_V-Y,BE3,3144.6,5917.8,4521.4
YR,A-R_V-Y,BE31,2301.9,4352.6,3308.3
YR,A-R_V-Y,BE32,3379,6725.8,5031.8
YR,A-R_V-Y,BE33,3037.6,5370.1,4200.6
YR,A-R_V-Y,BE34,3241.7,5906.8,4592.3
YR,A-R_V-Y,BE35,3368.2,6198.6,4781
YR,A-R_V-Y,BG,4275.8,9291.3,6744.7
YR,A-R_V-Y,BG3,4519.8,9673.5,7080.2
YR,A-R_V-Y,BG31,5000.9,10343.7,7710.6
YR,A-R_V-Y,BG32,4310.1,9370.4,6815.9
YR,A-R_V-Y,BG33,4282.3,9152.4,6681.5
YR,A-R_V-Y,BG34,4548.4,9910.5,7197
YR,A-R_V-Y,BG4,3961.7,8715.1,6276.8
YR,A-R_V-Y,BG41,3922.6,8535.1,6150
YR,A-R_V-Y,BG42,4040.3,8999.1,6484.1
YR,A-R_V-Y,CZ,2752.8,5982.3,4360.3
YR,A-R_V-Y,CZ0,2742,5933.5,4330.1
YR,A-R_V-Y,CZ01,2374.7,4581.3,3449.7
YR,A-R_V-Y,CZ02,2610.6,5588,4099.8
YR,A-R_V-Y,CZ03,2645.3,5545.9,4101.2
YR,A-R_V-Y,CZ04,3425.6,7144,5283
YR,A-R_V-Y,CZ05,2602,5661,4127.3
YR,A-R_V-Y,CZ06,2458.8,5618.2,4037.3
YR,A-R_V-Y,CZ07,2767.8,6480.2,4614.2
YR,A-R_V-Y,CZ08,3243.7,7092.8,5147.6
YR,A-R_V-Y,DK,2688.9,4282,3490.1
YR,A-R_V-Y,DK0,2677.7,4253.6,3468
YR,A-R_V-Y,DK01,2696.2,4183.1,3431.7
YR,A-R_V-Y,DK02,2864.3,4944.1,3904.1
YR,A-R_V-Y,DK03,2798.9,4371.8,3592.5
YR,A-R_V-Y,DK04,2456.6,3876,3173.1
YR,A-R_V-Y,DK05,2658.5,4269.5,3478
YR,A-R_V-Y,DE,2502.6,4501.4,3505.5
YR,A-R_V-Y,DE1,2136.7,3721.8,2932.8
YR,A-R_V-Y,DE11,2100.9,3635.6,2873.5
YR,A-R_V-Y,DE12,2257,3748,3004.6
YR,A-R_V-Y,DE13,2110,3805.8,2956.8
YR,A-R_V-Y,DE14,2069.1,3770.1,2926.3
YR,A-R_V-Y,DE2,2278.4,4083.4,3184.1
YR,A-R_V-Y,DE21,2140.1,3690,2911.2
YR,A-R_V-Y,DE22,2395,4457,3443.8
YR,A-R_V-Y,DE23,2325.5,4558.9,3459.2
YR,A-R_V-Y,DE24,2488.2,4673.2,3586.4
YR,A-R_V-Y,DE25,2363.5,4387.6,3377.3
YR,A-R_V-Y,DE26,2274.5,3797.4,3042.2
YR,A-R_V-Y,DE27,2332.9,4094.4,3217.8
YR,A-R_V-Y,DE3,2505.4,4708.6,3605.1
YR,A-R_V-Y,DE30,2505.4,4708.6,3605.1
