age	indic_he	unit	sex	icd10	geo	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995 
TOTAL	INPAT	NR	T	J	AT	:	139783	145584	141241	145533	146288	150737	138470	142212	141379	149673	144238	144105	143353	145357	158143	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	BE	:	:	149231	152387	146931	:	147475	146058	144414	138643	150954	133786	142005	140475	137975	143408	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	BG	:	239978	227496	216612	222276	235266	246528	231800	227032	227167	246153	223866	209899	191414	161657	158736	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	CH	:	77344	77436	72905	71345	69655	70568	67661	65807	62545	63659	61822	60767	60704	:	:	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	CY	:	6293	4938	3755	4179	5284	5103	4450	5982	5068	4981	4882	5191	4650	4881	4793	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	CZ	:	139923	145060	130245	137466	134144	141001	135190	144448	140432	150730	142834	152319	146197	151727	152134	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	DE	:	1237575	1315806	1220232	1204603	1182048	1226173	1149628	1148460	1089534	1136726	1085716	1133426 b	1038984	1008370	1026488	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	DK	82069	78465	79680	77476	78936	77331	75310	71042	74019	72807	72917	72541	72104	70060	71514	75022	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	EE	:	20236	21316	20798	22070	22066	23727	24155	24694	27036	27174	29049	27594	:	:	:	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	ES	:	531124	506929	524962	518276	506896	544561	516308	524091	481177	497637	449480	467244	438888	410312	432758	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	FI	:	75959	75050	79871	80970	75796	79057	75788	75605	74354	83385	84334	93176	94810	101866	104800	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	FR	:	668814	680437	692715	676655	638766	651775	622111	613989	599812	630317	585420	596545	598732	603412	648743	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	HR	:	43114	43117	40553	45304	44995	47065	47165	49791	48665	50482	48577	49433	44571	47830	50407	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	HU	:	157518	155769	152602	164738	167930	170923	161457	166733	197478	218693	213031	:	:	:	:	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	IE	:	68261	66493	67789	58055	54414	58374	57778	58314	59641	58351 b	58794	58920	55523	56409	56869	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	IS	:	1895	:	:	:	:	2369 b	:	2784	2734	2909	3100	3150	4012	3354	3359	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	IT	:	594605	599103	600980	614783	631899	653032	636105	645549	656128	688607	665693	696002	695519	685272	:	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	LT	:	66553	75498	70496	78685	75930	78113	71082	79283	69252	81491	88062	84063	90727	98773	:	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	LU	:	6178	6408	6755	6455	6005 p	5983	6013	6215	5972	6332	6313	6530	7071	7048	7269	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	LV	32139	29700	37109	37680	42179	36425	41425	42945	50937	47973	53723	49819	:	:	:	:	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	MK	:	:	:	:	:	:	:	:	31615	30493	29006	28018	25822	26986	23985	23272	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	MT	:	5182	5510	5039	4854	4130	4077	3143	2433	2680	2675	2170	:	:	:	:	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	NL	:	:	:	136430	138990	130609	131212	127629	124883	121736	119338	108990	105221	101274	:	:	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	NO	:	62355	63982 b	65734	64773	65644	68376	68211	69978	70162	70782	64888	65968	62385	61069	58903	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	PL	:	498021	520967	484108	485752	466588	488087	454071	491287	475041	473372	575597	541398	:	:	:	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	PT	:	58875	57569	60235	58576	58072	62333	59987	60508	58964	62256	57195	59240	55121	50019	50285	52077	46185	44316	40160	38247 
TOTAL	INPAT	NR	T	J	RO	:	502906	529751	525720	581803	630870	701159	651460	615512	648565	602583	683294	690588	746688	691843	674209	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	RS	:	75356	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	SE	:	98254	104844	:	:	94767	94988	93655	91189	87739	90728	84263	85821	86571	86350	93052	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	SI	:	32058	31039	29478	29382	29725	29074	26166	26808	24517	25310	24301	:	:	:	:	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	SK	:	78726	:	74075	72729	80243	79726	78968	80075	85695	84924	85322	89031	94516	93682	93432	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	TR	:	:	:	:	1478604	1322179	1213563	901967	848924	:	:	:	:	:	:	:	:	:	:	:	: 
TOTAL	INPAT	NR	T	J	UK	:	883529	803455	819360	749615	762991	728994	740816	687259	694157	694730	686364	687167	636616	631356	625191	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	AT	:	4235	4116	4428	4756	5294	5002	4806	5283	5354	5414	5556	5477	5782	6999	27302	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	BE	:	:	6175	6311	6172	:	6907	6783	7641	8375	7636	6746	7071	7036	6860	7392	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	BG	:	14322	15349	13337	13492	12824	14772	14021	14671	15458	12026	:	:	:	:	:	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	CH	:	3218	3326	3277	3145	3296	3423	3530	3458	3707	3697	4173	4249	4508	:	:	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	CY	:	230	193	133	101	200	187	218	216	215	231	287	304	261	416	451	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	CZ	:	6635	6436	6068	6775	6728	7061	6617	7493	7441	8493	8437	8730	8931	9771	9852	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	DE	:	53786	52121	50202	48618	52385	53989	54629	55846	54309	51344	55300	56403 b	36185	38503	46435	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	DK	3663	3691	3426	3776	3571	4326	3930	4457	4672	5700	5305	5876	4930	5349	5890	5773	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	EE	:	1013	1094	1218	1157	1190	1208	1300	1299	1225	1647	1908	1977	:	:	:	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	ES	:	25130	25018	24732	20401	21682	21650	21896	25774	26696	27899	27533	28347	26672	24083	28239	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	FI	:	3863	4046	4336	4489	4771	5084	5478	5816	6313	7316	7762	8842	9119	10550	11001	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	FR	:	51392	47058	48473	43270	44105	42490	41245	40364	42653	40347	40472	39991	44332	48335	52438	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	HR	:	2097	2422	2354	2707	2963	2591	2753	2933	3304	3699	2418	2446	2248	2694	4207	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	HU	:	11293	12095	12174	12484	12991	13323	13552	14277	20387	23748	24491	:	:	:	:	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	IE	:	4083	3605	4066	3281	3328	3357	3768	3692	4437	4381 b	4385	4510	4294	4842	4819	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	IS	:	59	:	:	:	:	115 b	:	105	122	101	120	172	299	287	253	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	IT	:	9575	10805	11348	12379	15632	15270	18819	18324	20765	22366	23382	24984	27617	29367	:	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	LT	:	3079	3428	4145	4497	4158	3978	3981	4196	3899	4524	5144	5298	5668	6175	:	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	LU	:	197	170	190	182	141 p	158	179	161	174	208	192	163	234	240	249	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	LV	2605	2767	2846	2995	3391	3102	4434	4757	5385	5333	6046	6218	:	:	:	:	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	MK	:	:	:	:	:	:	:	:	1268	1478	1543	1534	1549	1654	1527	1486	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	MT	:	327	345	324	309	335	352	269	213	213	247	206	:	:	:	:	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	NL	:	:	:	8553	8172	8097	7585	7897	7469	7324	6743	6410	5865	5669	:	:	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	NO	:	2909	2949 b	2987	3294	4048	3993	4082	4084	4304	3706	3864	4144	4166	4896	4528	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	PL	:	37503	37349	36354	33703	34284	35426	33166	31017	30142	29120	33460	35682	:	:	:	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	PT	:	2908	2746	2995	2642	2865	2799	2837	3015	3337	2928	3147	3123	3026	3183	3194	3868	4194	4389	4957	4391 
TOTAL	INPAT	NR	T	asthma	RO	:	13791	15536	15456	19185	24350	27069	24619	23445	28730	30769	37017	39530	40719	38132	37486	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	RS	:	8594	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	SE	:	4370	4216	:	:	5112	4341	4317	4492	4602	4790	4974	5217	5479	6369	6549	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	SI	:	1581	1505	1394	1402	1712	1480	1636	1582	1529	1807	1635	:	:	:	:	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	SK	:	5789	:	6345	8344	9271	8747	8117	8100	9489	9271	10066	10014	11495	11160	10868	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	TR	:	:	:	:	95991	87401	80447	56348	49410	:	:	:	:	:	:	:	:	:	:	:	: 
TOTAL	INPAT	NR	T	asthma	UK	:	63510	56184	61278	53930	59209	60395	64701	58703	66132	62843	69894	65263	60783	63466	64300	:	:	:	:	: 
