geo,unit,product,indic_nrg,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
BE,KTOE,total_petroleum_products,primary_production,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BG,KTOE,total_petroleum_products,primary_production,39.8,31.7,27.8,33.4,40.7,45.4,34.7,35.1,29.6,30.1,29.0,27.5,25.4,23.9,25.0,22.7,21.5,23.5,27.3,25.2
CZ,KTOE,total_petroleum_products,primary_production,227.5,154.0,418.4,431.9,385.6,386.4,367.1,420.6,474.3,581.9,590.4,441.8,431.5,345.5,307.7,268.9,333.8,314.3,256.8,261.4
DK,KTOE,total_petroleum_products,primary_production,9,284.6,10,287.2,11,384.9,11,675.8,14,777.8,18,092.0,17,120.9,18,524.5,18,404.6,19,513.1,18,457.2,17,033.4,15,232.3,13,574.9,12,792.2,12,038.6,10,831.1,9,977.2,8,696.7,8,084.1
DE,KTOE,total_petroleum_products,primary_production,3,909.3,3,784.2,3,754.8,3,874.0,3,836.6,4,389.4,4,354.0,4,650.7,4,780.6,4,949.7,5,217.4,5,211.2,5,185.7,4,949.3,4,495.6,3,774.0,3,902.6,3,787.0,3,762.6,3,494.3
EE,KTOE,total_petroleum_products,primary_production,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
IE,KTOE,total_petroleum_products,primary_production,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
EL,KTOE,total_petroleum_products,primary_production,462.1,517.3,469.5,318.4,16.2,281.8,192.5,190.7,138.1,134.1,101.0,95.1,81.7,62.9,80.8,117.4,99.7,95.5,70.5,65.1
ES,KTOE,total_petroleum_products,primary_production,798.3,501.6,370.7,529.8,300.7,227.9,339.6,317.4,323.8,256.6,167.1,140.0,143.0,127.7,105.6,123.5,100.5,142.3,368.7,303.7
FR,KTOE,total_petroleum_products,primary_production,3,099.4,2,709.6,2,328.4,2,125.4,2,032.0,1,934.3,1,665.5,1,545.5,1,612.1,1,657.4,1,463.0,1,330.6,1,339.3,1,447.8,1,262.7,1,187.4,1,142.5,1,037.6,1,097.2,1,067.3
HR,KTOE,total_petroleum_products,primary_production,1,798.2,1,728.3,1,799.5,1,834.2,1,410.0,1,345.1,1,246.6,1,208.2,1,152.2,1,094.0,1,028.5,992.6,945.5,878.2,829.4,758.8,705.9,628.5,609.6,607.0,,,,,,,,,
IT,KTOE,total_petroleum_products,primary_production,5,407.0,5,640.0,6,091.1,5,796.3,5,141.4,4,671.6,4,171.6,5,726.1,5,807.2,5,627.3,6,302.3,6,121.6,6,338.4,5,761.2,4,979.8,5,623.7,5,664.2,5,720.5,5,845.3,6,097.6
CY,KTOE,total_petroleum_products,primary_production,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
LV,KTOE,total_petroleum_products,primary_production,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
LT,KTOE,total_petroleum_products,primary_production,126.7,154.4,207.9,272.6,228.2,318.1,473.7,439.9,386.9,306.8,219.4,183.1,157.9,130.2,117.1,117.0,115.9,103.6,87.2,83.2
LU,KTOE,total_petroleum_products,primary_production,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
HU,KTOE,total_petroleum_products,primary_production,2,331.1,2,169.3,2,014.3,1,884.6,1,830.8,1,698.7,1,578.0,1,618.4,1,637.3,1,575.9,1,393.2,1,335.9,1,209.1,1,221.5,1,181.9,1,061.4,941.0,1,012.9,862.1,821.8
