geo	unit	product	indic_nrg	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
BE	KTOE	gas	primary_production	0.2	1.7	0.1	0.0	0.4	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BG	KTOE	gas	primary_production	39.6	33.0	28.1	23.4	21.3	12.3	18.3	16.2	12.8	267.2	384.4	373.8	235.7	156.3	13.1	59.1	350.7	308.3	233.9	159.5
CZ	KTOE	gas	primary_production	198.0	182.0	163.3	169.3	175.3	169.3	121.9	114.7	131.1	162.4	154.1	147.3	164.0	160.5	181.7	201.7	189.4	213.9	205.9	211.9
DK	KTOE	gas	primary_production	4	701.7	5	713.2	7	047.2	6	834.4	7	023.8	7	411.5	7	589.5	7	603.0	7	202.5	8	491.7	9	383.5	9	323.3	8	267.6	9	014.9	7	521.5	7	342.7	5	898.6	5	159.1	4	281.9	4	147.5
DE	KTOE	gas	primary_production	15	099.4	16	322.0	16	078.7	15	670.3	16	707.8	15	800.5	15	931.7	15	987.3	15	923.0	14	546.9	14	333.8	14	916.8	14	858.9	13	172.1	13	016.3	11	113.3	10	892.9	9	568.8	8	865.7	6	864.0
EE	KTOE	gas	primary_production	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IE	KTOE	gas	primary_production	2	249.1	2	167.8	1	906.2	1	406.9	1	103.4	958.3	658.6	677.5	543.7	688.3	460.7	410.7	309.7	353.3	242.6	224.1	186.2	169.7	145.1	122.8
EL	KTOE	gas	primary_production	43.9	46.3	44.9	40.3	2.5	42.3	40.2	42.4	31.0	28.7	18.3	26.0	22.1	14.6	11.7	7.6	6.4	6.9	5.8	5.4
ES	KTOE	gas	primary_production	379.4	425.9	162.7	102.4	130.8	148.0	470.9	466.9	196.7	309.5	143.9	63.0	15.6	14.0	12.2	44.6	45.5	51.8	49.8	20.8
FR	KTOE	gas	primary_production	2	792.9	2	406.6	2	127.0	1	837.4	1	669.6	1	504.7	1	509.5	1	449.7	1	281.6	1	107.7	908.7	1	058.5	915.4	810.9	763.5	645.8	505.7	451.4	289.3	12.5
HR	KTOE	gas	primary_production	1	606.3	1	458.6	1	402.7	1	282.5	1	266.5	1	354.8	1	642.2	1	732.0	1	788.6	1	795.5	1	865.2	2	216.5	2	362.4	2	194.3	2	196.5	2	214.7	2	007.0	1	634.8	1	507.3	1	443.7
IT	KTOE	gas	primary_production	16	346.7	16	363.6	15	779.8	15	568.4	14	312.9	13	622.4	12	483.3	11	976.3	11	371.8	10	615.1	9	886.2	8	991.9	7	949.2	7	579.9	6	562.6	6	884.5	6	919.7	7	047.5	6	335.0	5	855.1
CY	KTOE	gas	primary_production	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	0.0	0.0
LV	KTOE	gas	primary_production	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LT	KTOE	gas	primary_production	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LU	KTOE	gas	primary_production	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HU	KTOE	gas	primary_production	3	787.7	3	601.2	3	359.7	2	965.4	2	624.1	2	475.1	2	476.9	2	355.6	2	285.7	2	366.7	2	330.7	2	382.1	2	004.5	2	005.8	2	287.3	2	234.9	2	115.3	1	768.1	1	544.3	1	437.3
MT	KTOE	gas	primary_production	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	0.0	:	0.0
NL	KTOE	gas	primary_production	60	868.9	68	888.3	61	012.1	58	197.4	54	117.5	52	188.1	56	039.9	54	226.6	52	212.1	61	584.8	56	265.5	55	394.5	54	443.0	59	893.3	56	409.8	63	431.9	57	744.5	57	434.6	61	767.9	50	144.4
AT	KTOE	gas	primary_production	1	273.9	1	282.6	1	227.8	1	348.0	1	493.3	1	548.4	1	485.5	1	613.2	1	793.6	1	698.3	1	404.2	1	564.0	1	588.5	1	316.9	1	343.9	1	397.1	1	376.7	1	479.6	1	190.1	1	085.0
