geo,unit,product,indic_en,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AL,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,KTOE,coking_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,KTOE,other_bituminous_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,KTOE,Sub-bituminous Coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,KTOE,lignite/brown_coal,primary_prod,18.8,26.6,9.2,11.5,11.5,7.1,4.9,3.5,13.6,13.6,10.6,10.6,10.6,14.3,2.4,2.4,1.2,1.2,0.7,0
AL,KTOE,total_coal,primary_prod,18.8,26.6,9.2,11.5,11.5,7.1,4.9,3.5,13.6,13.6,10.6,10.6,10.6,14.3,2.4,2.4,1.2,1.2,0.7,0
AT,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,KTOE,coking_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,KTOE,other_bituminous_coal,primary_prod,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,KTOE,Sub-bituminous Coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,KTOE,lignite/brown_coal,primary_prod,337.7,262,267.2,269.6,265.3,292.4,282.9,331.2,270.2,55,0,0,0,0,0,0,0,0,0,0
AT,KTOE,total_coal,primary_prod,338.4,262,267.2,269.6,265.3,292.4,282.9,331.2,270.2,55,0,0,0,0,0,0,0,0,0,0
BE,KTOE,coking_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,KTOE,other_bituminous_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,KTOE,Sub-bituminous Coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,KTOE,lignite/brown_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,KTOE,total_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,KTOE,coking_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,KTOE,other_bituminous_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,KTOE,Sub-bituminous Coal,primary_prod,0,290.6,835.3,1028.3,1038.2,1735.9,1707.1,1963.3,2008.5,1984.8,1996,2181.7,2137.9,2461.6,2511,2307.3,2725.1,2733.7,2602.6,2556.6
BA,KTOE,lignite/brown_coal,primary_prod,348.3,215.4,745.5,986.2,925.5,722.4,760.6,711.3,905.3,906.3,950.7,1038.7,1017.8,1172.1,1195.4,1193.3,1335.8,1239.6,1213,1211.6
BA,KTOE,total_coal,primary_prod,348.3,506,1580.8,2014.5,1963.7,2458.3,2467.7,2674.6,2913.8,2891.1,2946.7,3220.4,3155.7,3633.7,3706.4,3500.6,4060.9,3973.3,3815.6,3768.2
BG,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG,KTOE,coking_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
