geo	unit	product	indic_en	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
BE	KTOE	lignite/brown_coal	primary_prod	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BG	KTOE	lignite/brown_coal	primary_prod	4316.5	4484.0	4959.8	5029.0	4224.3	4249.9	4453.5	4390.0	4624.6	4524.3	4173.9	4294.8	4732.9	4798.9	4544.1	4921.8	6201.8	5604.6	4779.4	5106.0
CZ	KTOE	lignite/brown_coal	primary_prod	16777.0	17519.2	17561.2	15718.1	14008.9	15626.3	15820.7	15170.7	15596.4	15043.2	15160.0	15354.0	15302.8	14446.9	13730.7	13322.1	13716.1	12792.3	11959.8	11249.4
DK	KTOE	lignite/brown_coal	primary_prod	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DE	KTOE	lignite/brown_coal	primary_prod	40804.3	39609.6	37524.0	35417.5	34661.7	36435.6	38450.4	39470.3	39146.5	39611.1	38425.8	37956.9	38875.8	37652.0	36512.7	36657.9	38101.3	40029.0	39582.4	38637.6
EE	KTOE	lignite/brown_coal	primary_prod	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IE	KTOE	lignite/brown_coal	primary_prod	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EL	KTOE	lignite/brown_coal	primary_prod	7510.1	7189.2	7706.2	8126.0	8034.3	8221.6	8392.0	8582.1	8176.0	8546.8	8538.0	8170.3	8389.1	8129.5	8175.9	7315.4	7504.9	8044.7	6728.3	6384.2
ES	KTOE	lignite/brown_coal	primary_prod	1874.8	1672.7	1513.0	1743.1	1556.0	1501.7	1620.0	1693.4	1606.9	1318.5	1178.4	1346.4	1000.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FR	KTOE	lignite/brown_coal	primary_prod	573.2	326.5	421.4	299.3	227.4	120.2	131.6	60.1	3.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HR	KTOE	lignite/brown_coal	primary_prod	2.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IT	KTOE	lignite/brown_coal	primary_prod	43.0	34.2	54.0	47.2	28.7	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CY	KTOE	lignite/brown_coal	primary_prod	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LV	KTOE	lignite/brown_coal	primary_prod	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LT	KTOE	lignite/brown_coal	primary_prod	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LU	KTOE	lignite/brown_coal	primary_prod	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HU	KTOE	lignite/brown_coal	primary_prod	3265.7	3333.7	3481.6	3158.3	2950.5	2892.9	2663.6	2683.0	2708.6	2182.2	1748.1	1756.6	1772.8	1693.6	1556.0	1593.3	1645.4	1606.5	1611.7	1588.0
MT	KTOE	lignite/brown_coal	primary_prod	:	:	:	:	:	:	:	:	:	:	:	0.0	0.0	0.0	0.0	0.0	0.0	0.0	:	:
NL	KTOE	lignite/brown_coal	primary_prod	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT	KTOE	lignite/brown_coal	primary_prod	337.7	262.0	267.2	269.6	265.3	292.4	282.9	331.2	270.2	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PL	KTOE	lignite/brown_coal	primary_prod	12886.1	13204.2	12990.5	12903.7	12496.8	12121.8	12204.0	12123.6	12354.8	12924.3	12735.6	12593.7	11934.2	12726.6	12180.5	11559.0	12550.8	12733.8	13117.0	12434.3
PT	KTOE	lignite/brown_coal	primary_prod	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RO	KTOE	lignite/brown_coal	primary_prod	7234.1	7311.6	5752.1	4487.3	4135.0	5439.5	5633.4	6088.5	6530.4	6270.8	5777.2	6467.2	6851.5	6956.7	6557.6	5900.8	6644.1	6322.4	4632.1	4405.0
SI	KTOE	lignite/brown_coal	primary_prod	1191.7	1103.4	1179.0	1193.8	1087.1	1062.0	1008.0	1175.4	1184.2	1200.8	1184.0	1209.6	1239.3	1184.8	1159.8	1196.0	1200.5	1093.2	1074.9	818.1
SK	KTOE	lignite/brown_coal	primary_prod	1016.6	1027.0	1061.7	1063.8	1083.5	1018.2	979.9	930.4	819.0	817.0	637.1	561.8	550.7	623.7	653.3	613.4	601.6	567.4	584.3	579.3
FI	KTOE	lignite/brown_coal	primary_prod	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SE	KTOE	lignite/brown_coal	primary_prod	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UK	KTOE	lignite/brown_coal	primary_prod	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IS	KTOE	lignite/brown_coal	primary_prod	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NO	KTOE	lignite/brown_coal	primary_prod	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MO	KTOE	lignite/brown_coal	primary_prod	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	286.9	330.4	265.9	382.8	210.5	426.3	434.0	392.9	372.2	364.1
AL	KTOE	lignite/brown_coal	primary_prod	18.8	26.6	9.2	11.5	11.5	7.1	4.9	3.5	13.6	13.6	10.6	10.6	10.6	14.3	2.4	2.4	1.2	1.2	0.7	0.0
SE	KTOE	lignite/brown_coal	primary_prod	8819.1	9054.4	9494.6	9855.4	7471.5	8263.1	8125.7	8607.8	9057.4	9228.6	7450.3	7805.3	7888.7	8220.5	7327.2	7229.1	7824.8	7278.2	7670.9	5712.9
TR	KTOE	lignite/brown_coal	primary_prod	10734.8	10872.1	11756.2	12790.7	12240.4	11415.6	11121.0	10309.0	9498.7	9138.9	9241.4	11542.6	13368.9	15205.8	15632.4	15505.1	15890.0	13726.5	13977.5	14673.3
BA	KTOE	lignite/brown_coal	primary_prod	348.3	215.4	745.5	986.2	925.5	722.4	760.6	711.3	905.3	906.3	950.7	1038.7	1017.8	1172.1	1195.4	1193.3	1335.8	1239.6	1213.0	1211.6
