unit;product;indic_nrg;geo;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990 
KTOE;5100;B_100100;AL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0 
KTOE;5100;B_100100;AT;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0 
KTOE;5100;B_100100;BA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0 
KTOE;5100;B_100100;BE;8693.8;11000.2;10394.2;12442.1;12367.3;12181.1;11754.4;12440.3;12032.2;12277.3;12204.3;12221.6;12216.7;11955.9;12422.3;12644.1;11908.4;12229.1;11178.7;10667.9;10479.1;10815.2;11209.6;11056.1;11020.3 
KTOE;5100;B_100100;BG;4107.4;3671.1;4094.2;4230.3;3956.1;3958.4;4088.3;3797.6;5042.3;4826.0;4351.5;4473.7;5232.7;5058.0;4699.4;4086.4;4365.9;4585.6;4670.4;4458.5;3959.6;3604.4;2979.9;3400.9;3782.9 
KTOE;5100;B_100100;CY;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0 
KTOE;5100;B_100100;CZ;7843.3;7955.5;7845.6;7317.7;7247.7;7041.9;6872.1;6775.1;6744.2;6404.9;6816.2;6673.8;4833.5;3804.6;3505.6;3445.5;3399.3;3222.9;3314.7;3154.8;3347.5;3257.2;3159.9;3129.5;3246.3 
KTOE;5100;B_100100;DE;25054.8;25096.3;25656.1;27851.5;36256.9;34806.2;38304.8;36251.2;43147.6;42060.6;43095.0;42577.8;42521.6;44188.7;43750.5;43853.1;41696.6;43953.8;41292.8;39512.1;38890.5;39552.8;40979.4;37986.7;39431.9 
KTOE;5100;B_100100;DK;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0 
KTOE;5100;B_100100;EA19;173942.5;172328.7;174054.6;181977.1;187336.8;181467.0;194197.6;191516.6;202033.4;201544.1;203974.8;201481.2;200223.9;196898.2;193829.0;187485.0;183323.3;185789.5;183356.1;175080.8;169016.7;173176.4;167548.3;163471.2;160085.3 
