nutrient,unit,geo,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
P,T,AT,20000,16000,15000,16000,19000,8000,10000,13000,11000,13000,17261,15241
P,T,BG,,,,2000,3000,8000,15000,16000,14000,21000,22758,23688
P,T,BLEU,20000,23000,23000,21000,20000,7000,11000,13000,11000,11000,11159,11349
P,T,CY,,,,2000,2000,1000,1000,1000,1000,1000,801,801
P,T,CZ,,,,21000,24000,11000,14000,18000,15000,19000,17784,18134
P,T,DE,124000,132000,119000,116000,138000,76000,103000,125000,108000,100000,124022,109602
P,T,DK,14000,14000,12000,14000,14000,7000,11000,10000,10000,10000,13601,13674
P,T,EE,,,,5000,5000,3000,3000,3000,3000,3000,4534,4646
P,T,EL,48000,44000,38000,36000,33000,28000,33000,29000,23000,24000,25523,24518
P,T,ES,269000,255000,221000,201000,230000,69000,141000,170000,156000,169000,186740,171096
P,T,EU27,,,,1332000,1382000,798000,1004000,1104000,1026000,1082000,1146831,1113001
P,T,FI,20000,20000,19000,18000,17000,11000,13000,12000,10000,10000,10468,10733
P,T,FR,315000,298000,261000,243000,263000,150000,177000,203000,192000,213000,207151,187565
P,T,HU,,,,31000,28000,17000,4000,19000,20000,22000,25152,27464
P,T,IE,43000,39000,39000,35000,27000,21000,23000,21000,22000,27000,36168,38629
P,T,IT,197000,178000,152000,166000,142000,85000,114000,87000,78000,73000,74775,73178
P,T,LT,,,,17000,17000,10000,14000,15000,16000,17000,18165,19099
P,T,LV,,,,9000,6000,5000,5000,5000,5000,5000,5039,5039
P,T,NL,23000,20000,19000,18000,17000,11000,11000,10000,10000,10000,5984,5910
P,T,NO,13000,12000,12000,12000,13000,13000,7000,9000,9000,8000,8589,8983
P,T,PL,,,,180000,202000,164000,157000,178000,162000,169000,149079,158728
P,T,PT,24000,22000,22000,20000,19000,12000,12000,13000,13000,13000,13980,14339
P,T,RO,,,,32000,30000,19000,31000,37000,39000,39000,62419,64316
P,T,SE,16000,15000,14000,14000,14000,10000,9000,10000,11000,12000,11958,13293
P,T,SI,,,,7000,5000,3000,5000,4000,4000,4000,4234,4065
P,T,SK,,,,9000,13000,6000,5000,8000,10000,10000,10796,10679
P,T,UK,123000,115000,109000,98000,94000,57000,82000,84000,82000,87000,87280,87215
