nutrient,unit,geo,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
K,T,AT,41000,37000,34000,36000,41000,12000,19000,28000,27000,29000,29475,28201
K,T,BG,,,,3000,5000,9000,17000,15000,13000,20000,29206,23272
K,T,BLEU,74000,74000,73000,74000,70000,32000,49000,61000,60000,62000,59225,62381
K,T,CY,,,,2000,2000,1000,2000,2000,2000,2000,1369,1369
K,T,CZ,,,,32000,37000,19000,21000,32000,27000,29000,23947,24691
K,T,DE,409000,397000,354000,368000,424000,148000,301000,360000,320000,331000,379607,361029
K,T,DK,64000,67000,62000,58000,60000,27000,42000,40000,39000,39000,51430,51444
K,T,EE,,,,14000,13000,8000,9000,7000,11000,12000,10806,10842
K,T,EL,48000,48000,44000,46000,39000,33000,46000,40000,34000,38000,38670,37993
K,T,ES,405000,407000,350000,341000,359000,156000,228000,295000,245000,278000,294272,278325
K,T,EU27,,,,2918000,3074000,1686000,2022000,2386000,2166000,2250000,2413495,2341968
K,T,FI,56000,56000,56000,56000,53000,29000,35000,33000,30000,29000,28857,28666
K,T,FR,770000,747000,610000,607000,664000,333000,346000,454000,398000,413000,398656,389167
K,T,HU,,,,64000,57000,28000,12000,41000,45000,47000,53839,54805
K,T,IE,106000,100000,95000,92000,70000,52000,75000,74000,75000,58000,95772,101380
K,T,IT,317000,286000,242000,247000,253000,131000,121000,123000,104000,95000,92043,89597
K,T,LT,,,,46000,44000,24000,36000,36000,38000,42000,43402,45393
K,T,LV,,,,11000,13000,11000,11000,12000,12000,12000,11377,11377
K,T,NL,55000,37000,38000,36000,35000,24000,29000,30000,32000,32000,25962,25819
K,T,NO,47000,45000,44000,46000,48000,48000,25000,25000,32000,37000,34019,33990
K,T,PL,,,,418000,446000,356000,344000,378000,347000,356000,411417,369923
K,T,PT,31000,29000,28000,28000,26000,20000,20000,21000,19000,20000,21422,21551
K,T,RO,,,,14000,31000,19000,14000,29000,28000,27000,33821,34262
K,T,SE,38000,34000,31000,31000,32000,22000,21000,21000,22000,23000,23346,25424
K,T,SI,,,,17000,13000,8000,10000,10000,10000,10000,9188,9194
K,T,SK,,,,14000,17000,9000,7000,11000,13000,13000,15289,15117
K,T,UK,311000,293000,279000,262000,270000,174000,208000,235000,215000,233000,231097,240746
