unit;geo;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
KTOE;AL;1982,9;2286,4;2194;2307,8;1987,8;2144;2422,7;3144,5;2867,2;3210,2;3931;3752,5
KTOE;AT;18798,9;19375,8;19278,8;19602,9;21156,9;21685,4;22149,4;23068,1;21955,7;24191,2;23625,3;23440,3
KTOE;BA;6966,6;7174,8;7288,4;7811;7361,9;8466;8846,8;8741,6;9235,8;9030,6;9234,3;12091,8
KTOE;BE;26433,5;26491,9;26806,4;26529,7;28037,7;27432,7;28807,4;29947,9;31023,8;27148,7;28548,7;23765,6
KTOE;BG;20254;20423,5;21140,6;21906,9;19666,1;20353,5;19425,3;20946,4;24503,9;23350,6;21087,9;22503,5
KTOE;CY;95,8;98,5;98,7;101,3;140;156,1;160,8;170,4;192,1;213,2;217,8;228,8
KTOE;CZ;66613,1;65870,1;65272,2;66692,6;67086,1;65248,3;62069,3;62806,4;63588,6;63593,9;59581,2;57780,1
KTOE;DE;267388,2;270768,4;269973,4;273423,1;268618,7;260519,7;247819,6;252116,7;240168,7;240193,7;235871;234352,4
KTOE;DK;56112;61305,1;61115,2;58206,9;53092,8;51247,2;46638,9;45395,1;40000,9;36621,9;32529,7;31167,4
KTOE;EA19;926356,7;947824,7;932537,2;936866,3;927738,3;939082,9;905101,2;948463,5;919153,8;923558,1;943389,7;918617,1
KTOE;EE;7812,6;7420;7736,6;7492,6;8816,2;8451;8315,6;9860,6;10075,8;10183;11201,2;11596,6
KTOE;EL;19800;20595,6;20626,1;20145;20348,2;19725,2;20158,6;18861,7;19233,3;20840,9;18603,8;17588,8
KTOE;ES;65417,8;64607,3;59821,1;62103,1;59973,4;60055,7;60162,9;68353,4;63470,8;66487,9;68951,9;69679,3
KTOE;EU28;1864047,1;1853668,5;1796334,9;1757990,4;1711854,3;1701877;1629973,5;1658190,9;1590785,1;1576786,2;1566972,7;1527062
KTOE;FI;31376,8;31225,9;32865,8;35924,8;31911,2;32510,3;32730,3;34457,4;33909,3;34044,1;35719,8;35808,7
KTOE;FR;267420,3;269393,7;269985,6;268403,4;264598,5;268661,7;253507,7;266989,8;267515,8;264161,9;267574;270298,7
KTOE;HR;9248,6;9477,6;9502,5;9978;9783,9;9568,5;9884,5;10288,5;9202,4;8422,6;8867,7;8695,8
KTOE;HU;20791,2;20347,3;20551,5;20478,9;20295;20800,4;21808,5;21866;21322,2;20896,3;20168,8;19982,3
KTOE;IE;3669;3752,2;3294,1;3288,2;2802,4;3096,4;2883,3;3658,7;3349,5;2467,7;4442;3958,2
KTOE;IS;4792,2;4666,4;4768;6211,4;7702,6;9014;9461,9;9581,4;10398,2;10141,6;10543,4;10446,2
KTOE;IT;59221,2;57480,9;59676,7;59086,5;61058,3;64691,8;62201,2;64493,9;62569,3;68722,8;72344,1;72241,5
KTOE;LT;10478,6;10225,6;7702,8;6867,9;7439;7599,6;8295,7;2620,8;2579,6;2637,2;2813,3;2956,8
KTOE;LU;115,6;137;178,3;191,7;202,5;212,5;193,9;206;194;214,1;235,1;272,9
KTOE;LV;3467,4;3687,3;3717,7;3689,5;3598,5;3573,6;4192,6;3943,9;4146,7;4670,3;4282,9;4752,9
KTOE;MD;223;223;217,2;227,2;219,7;244,6;256;433;515,4;528,4;607,2;618,2
KTOE;ME;0;0;1303,1;1378;1184,6;1457,1;1228,2;1782,6;1451,2;1416,8;1522,6;1385,5
KTOE;MK;3333;3195,6;3036;3234,8;3007,8;3248,4;3214,3;3231,8;3472,1;3049,8;2719,6;2524,8
KTOE;MT;0,6;0,8;1;1,2;1,6;1,8;1,8;9;13;17,4;18,2;25,4
KTOE;NL;117069,9;135565,3;124092,4;121875;121656,6;132313,7;125162,9;138807,3;127895,1;128545,6;137685,3;116013,4
KTOE;NO;468922;457267,8;448074;430858,4;430522,5;444155,1;435343,5;415730;398953,4;405610,8;387601,1;392237,4
KTOE;PL;157541,3;156040,9;155589,6;153358,4;143162,1;141003,2;133327,7;133036,7;134871,5;141514,1;140689,1;133219,1
KTOE;PT;8577,8;7695,2;7089,4;8588,5;9146;8813,8;9711,5;11441,7;10910,3;9269,2;11401,6;11842,3
KTOE;RO;57710;57174,1;55660;55715,5;55703,5;58282,2;57034,2;55523,4;55742,9;54676,7;52181,2;53066,8
KTOE;RS;23770,2;24004,4;20420;20967,1;21002;21409;20374,1;21025,6;22261;21514;22646,9;18770,2
KTOE;SE;60449,2;67206,3;67895,9;64219,8;65848,2;65134,8;59424,4;64818,6;65244,9;70911,5;68781,8;67663,2
KTOE;SI;6497,3;6880,5;6971,2;6839,6;6886,6;7296,4;7264,8;7541,3;7643,9;7126,6;7171,1;7330,3
KTOE;SK;12715,5;12422,7;12621,2;12712,3;11345,4;12285;11381;11914,3;12307,2;12422,8;12682,5;12464
KTOE;TR;47234,9;48270,4;47903,4;52718,1;54565,2;58015;60677,9;64542,9;64221,1;61333,9;64601,5;62314,9
KTOE;UA;157832,9;159038,5;161364,2;165528,8;163490,5;162895;153647,7;154503,3;163514,1;168116,5;165244,8;141069,5
KTOE;UK;488970,9;447998,5;407070,3;370567,4;349478,4;331156,2;315259,6;295046,8;257153,9;233240,1;219695,7;214366,9
KTOE;XK;2813,4;2515,4;2795;2847,2;2852;3352,2;3690,3;3721,2;3590,3;3498;3584,8;3210
