unit,geo,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
KTOE,AL,12260.9,13236.3,14086.8,14020.2,15529.6,16460.5,16665.7,17567.6,16548.5,18705.4,18850.6,18740.7
KTOE,AT,1139,1392.4,1394.9,1370.2,1050.4,1198.6,1433.8,1740.4,1114,1083.9,1603,4555.4
KTOE,BA,1415.8,1520,1749.6,1864.2,2533.3,3273.7,3733,4474.9,5389.3,5647.9,5828.1,5714.3
KTOE,BE,1903.4,2018.2,2247.5,2345.8,1989.6,2182.4,2306.7,3007.5,2876.8,3276.1,3651,3684.6
KTOE,BG,95.4,96.8,95.4,99.6,133.1,150.5,154.2,163.2,192,213.2,217.8,222
KTOE,CY,3325.1,3749.7,3940.1,4316.1,4732.7,4831.7,5186.7,5800.1,6063.2,6494.1,7281.8,7312
KTOE,CZ,25228,29135.7,33701.1,40079.7,46656.4,46173.1,48559.8,55423.9,58911.4,64172.5,67359.1,72035.6
KTOE,DE,4504.4,4894.9,5027.8,5080.7,5665.8,5621.4,5588.5,6226.3,6128.5,5948.1,6169.9,6288
KTOE,DK,153131.1,160033.1,166083.2,178347.2,195155.9,208742.9,218719.2,241906.5,234798.7,258044.9,280480.9,284658.1
KTOE,EA19,1334,1361,1384.4,1290.2,1489.4,1510.7,1729.3,1975,1953,2112.6,2244.4,2371.9
KTOE,EE,3076.3,3141.8,3286.9,3556.7,3357,3307.4,3617.9,3948.8,3983.3,4531.9,4973.6,4658.6
KTOE,EL,18391.4,17631.1,16795.4,18327.8,20006.2,20631.1,24766.5,29269.2,27909.3,29289.9,35124.2,36005.5
KTOE,ES,214411.7,226269,239211.5,251868.6,271743.6,290844.4,304539.8,335779,328533.7,361153.2,385675.5,391628.1
KTOE,EU28,15771,17456,16327.5,17535.7,17510.3,18424.1,15962.9,18865.1,18365.9,19945.6,19859.7,20136.1
KTOE,FI,31040.7,31537,31456.6,30558.9,32493.8,36769.2,37220.6,41293.4,35060.7,40651.7,45256.5,42004.2
KTOE,FR,3363.8,3694.2,3710.9,3555.4,3161.4,3415,3823.9,4333.8,3772.5,3887.8,4625.3,4584.4
KTOE,HR,1812.1,1899.2,2378.2,2484.2,2673.3,3219.2,3701.9,3843.7,3714.3,3925.2,4098.3,4102.2
KTOE,HU,470,563.8,732.4,843,931.3,1088.9,1264.2,1239.1,1442.2,1453.6,1510.8,1707.3
KTOE,IE,4791.4,4665.6,4767.1,6210.7,7699.6,9012.1,9461.4,9580.9,10398.2,10141.6,10543.5,10446.2
KTOE,IS,24260.4,24385.9,26656.9,28401.7,31906.1,37574.8,38589.3,38789.5,36447.2,42186.2,46999.5,47288.2
KTOE,IT,1587.1,1698.2,1799.7,1912.5,1928.7,2107.7,2340.3,2369.4,2324.3,2395.9,2576.8,2716.4
KTOE,LT,82.6,101.5,143.2,154.8,169.7,177.3,165.8,175.2,162,181.8,202.1,240.5
KTOE,LU,3456.5,3673.5,3707.5,3679.8,3588.2,3563.3,4178.3,3928.6,4142.6,4662.7,4274.1,4742.4
KTOE,LV,223,223,205.8,221.3,204,221.3,223.8,412,490.4,507.4,590.9,605.5
KTOE,MD,0,0,729.3,717.2,652.8,691.6,807.2,930,583.1,631,778.2,657.4
KTOE,ME,626.2,608.6,579,643.3,499.2,493,627.5,843.4,651.5,558.3,613.9,555.2
KTOE,MK,0.6,0.8,1,1.2,1.6,1.8,1.8,8.9,12.9,17.3,18.1,25.5
KTOE,MT,3447.8,3761.4,3940.1,4315.7,4533.3,5111.9,5792.2,6127.3,6415.7,7831.5,8746.8,9110.8
KTOE,NL,20553.7,21083.6,25911.2,23052.3,25484.8,26508,24098.5,23040.1,23828.6,27484.6,24996.5,25928.9
KTOE,NO,8300.1,8641.4,9098.7,9531.5,9700.4,10804.6,12045.3,13690.9,14878.8,16931.4,17023.1,16108.8
KTOE,PL,8482.4,7599.1,6949.4,8443.3,9012.7,8681,9571.9,11283.1,10761.1,9125.5,11258.2,11696.7
KTOE,PT,8004.8,9187.3,9968.5,9662,9435.4,10672.1,10549.4,11416.7,10055,10484.4,11121.7,12179.1
KTOE,RO,3499.7,3718.1,3874.8,3691.3,3534.5,3270.6,3915.6,4128.4,3622,3722,4009,4136.8
KTOE,RS,24778.8,26293.6,29651.2,28776.4,30587.5,31239.7,31638.3,33993.5,33092.6,37048.9,33539.2,33319.5
KTOE,SE,1427.6,1643.5,1547.8,1535.4,1451.9,1670.8,1959.5,2195.6,2003.7,2052.9,2246.9,2359.4
KTOE,SI,1302.3,1489.6,1721.8,1726.9,1922.9,2065.6,2445.7,2807.6,2773.6,2867.2,2933.4,2881.7
KTOE,SK,20041.5,21565.7,20261.1,20718.1,19207.7,18623.8,19832.2,23254,22444.7,24200.2,27435.7,24020.3
KTOE,TR,2117.2,2550,2655.8,3864.2,4729.8,5410.6,5309.2,5602.6,5430.6,5386.4,6982,6526
KTOE,UA,5288.2,5857,7105.6,7769.6,8641.6,10115.3,10980.5,11559.8,13153.4,15112.5,17685.3,19391.4
KTOE,UK,342.1,352.6,352.4,350.6,349.4,475.7,488.4,497.7,499.5,506.1,521.7,525.2
KTOE,XK,620,704.4,694.3,699.3,461,548,663.8,862.3,575,624.6,811.8,620.6
