nst07,unit,geo,2015,2014,2013,2012,2011,2010,2009,2008
TOTAL,THS_T,AT,325651,323227,300230,305382,313114,299969,303060,332081
TOTAL,THS_T,BE,211494,250710,248855,239139,233720,237049,233593,249624
TOTAL,THS_T,BG,134362,134266,138755,122170,121634,118088,136859,168592
TOTAL,THS_T,CH,278499,290797,283817,287503,287907,269327,270997,275415
TOTAL,THS_T,CY,14384,14569,16099,22941,26018,32216,28493,41601
TOTAL,THS_T,CZ,375533,324081,289114,281341,288524,301390,324979,382383
TOTAL,THS_T,DE,,2924718,2809780,2761146,2844582,2595195,2625511,2895949
TOTAL,THS_T,DK,175130,171259,165532,167194,169414,156749,137872,179251
TOTAL,THS_T,EE,22287,21447,25543,26247,27385,22390,25612,36232
TOTAL,THS_T,EL,416672,400463,477628,393873,502214,573935,641306,625090
TOTAL,THS_T,ES,1186855,1116682,1059664,1173811,1401299,1502326,1651653,2053331
TOTAL,THS_T,FI,267497,273912,269476,293443,312543,390884,345442,417791
TOTAL,THS_T,FR,1756022,1871555,1953771,1963195,2040885,1964903,1891932,2144284
TOTAL,THS_T,HR,55903,57606,60377,59081,67453,68192,86267,103696
TOTAL,THS_T,HU,164077,159708,136628,134483,155154,179503,210139,241097
TOTAL,THS_T,IE,110208,106576,101150,99518,102010,115640,134153,241451
TOTAL,THS_T,IT,934799,937390,998361,1098783,1314282,1487423,1434129,1481015
TOTAL,THS_T,LT,34564,34920,31636,30993,30295,30912,32749,46324
TOTAL,THS_T,LU,25502,28518,22585,29148,27296,27803,23539,27504
TOTAL,THS_T,LV,53174,55573,53573,46231,48915,43062,35100,49310
TOTAL,THS_T,NL,508469,474887,468126,420397,436773,440846,494272,484580
TOTAL,THS_T,NO,278466,288147,265704,246198,251030,260936,252078,282071
TOTAL,THS_T,PL,1060297,1107708,1116997,1082474,1180568,1072514,1053988,994494
TOTAL,THS_T,PT,126968,124164,122580,134487,193971,200547,237170,268002
TOTAL,THS_T,RO,167910,165670,169707,173717,172040,163604,283723,347632
TOTAL,THS_T,SE,416937,375707,276661,290009,325409,316153,329309,367900
TOTAL,THS_T,SI,43523,50694,42608,40842,52972,59734,57016,70771
TOTAL,THS_T,SK,100680,101158,92390,94707,98924,112159,133237,168309
TOTAL,THS_T,UK,1650104,1488397,1486845,1605193,1568828,1500205,1442920,1755351
