sex,age,unit,icd10,geo,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
T,TOTAL,RT,C,AT,2638,2591.7,2545.8,2502.1,2495.4,2494,2479.8,2432.1,2380.9,2355.4,2317.7,2293.7
T,TOTAL,RT,C,BE,3573.4,1542.6,1501.2,1467.2,1446.3,1417.2,3133.2,3082,3050.4,3038.9,3025.5,3007.9
T,TOTAL,RT,C,BG,1340.1,1323.2,1314.5,1308.4,1312,1328.1,1377.6,1433,1475.5,1477.1,1455.2,1421.5
T,TOTAL,RT,C,CH,1861.6,1848.7,1823.4,1797.4,1766.9,1741.2,1712.5,1689.3,1677.1,1669.4,1648.6,1620
T,TOTAL,RT,C,CY,,,,,,,,,,,,
T,TOTAL,RT,C,CZ,3023.7,3013.6,2996.6,3003.7,3002.3,3005,2929.2,2836.2,2718.7,2651,2592.4,2558.1
T,TOTAL,RT,C,DE,0,0,10460.9,10356.4,10205.4,10075.9,9929,9779,9652.5,9538.4,9433.8,9358.7
T,TOTAL,RT,C,DK,,,,,,,,,,,,
T,TOTAL,RT,C,EE,,,,,,,,,,,,
T,TOTAL,RT,C,ES,5228.6,5186.7,5140.3,5111.9,5100.2,5042.4,4936.9,4835.9,4778.7,4752.8,4703.2,4669.5
T,TOTAL,RT,C,FI,567.6,541.5,550.5,518.5,501.7,498.9,514.7,530.4,518.2,1181.2,1171.2,1173.9
T,TOTAL,RT,C,FR,6684.3,6606.1,7469.6,7389.5,7300,7203.9,7115.5,7005,6901,6808.2,6743,6675.9
T,TOTAL,RT,C,HR,,,,,,,,,,,,
T,TOTAL,RT,C,HU,2917.5,2889.2,2844,2786.3,2771.8,2757.2,2656,2561.1,2477.5,2500.4,2517.8,2524.1
T,TOTAL,RT,C,IE,663.1,659.9,656.8,643.8,630.3,622.3,618.2,619.9,610.8,607.4,598,586.8
T,TOTAL,RT,C,IS,,,,,,,,,,,,
T,TOTAL,RT,C,IT,5424.2,5367.5,5353,5325.6,5284.3,0,0,0,0,4976.4,4919,4844.1
T,TOTAL,RT,C,LI,,,,,,,,,,,,
T,TOTAL,RT,C,LT,,,,,,,,,,,,
T,TOTAL,RT,C,LU,,,,,,,,,,,,
T,TOTAL,RT,C,LV,,,,,,,,,,,,
T,TOTAL,RT,C,MT,,,,,,,,,,,,
T,TOTAL,RT,C,NL,4019.7,3964.1,3911.6,3850.1,3803.4,3767.8,3744.3,3725.4,3686.5,3644.8,3624.3,3624.6
T,TOTAL,RT,C,NO,2032,2001.9,2006.6,2007.7,2001.3,1982.3,1957.2,1930.1,1919.7,1895.8,1875.5,1866.3
T,TOTAL,RT,C,PL,5221.8,5244.3,5238,5292,5283.9,5267.2,5233.8,5208.5,4399,4372,4333.3,4974.2
T,TOTAL,RT,C,PT,1878.8,1873.9,1865.8,1871.3,1879.5,1856.3,1844.8,1794.9,1802.7,1800.2,1840.4,1839.4
T,TOTAL,RT,C,RO,1922.1,1948.1,1973.5,2024.7,2055.4,2064.7,2077.3,2089.6,2093.6,2102.2,2117.1,2137.1
T,TOTAL,RT,C,SE,2090.6,2070.2,2073.6,2068.3,2067.5,2056.3,2054.5,2050.1,2027.1,1998.5,1963.2,1933.7
T,TOTAL,RT,C,SI,0,0,0,0,0,0,0,0,0,679.4,662.6,651.5
T,TOTAL,RT,C,SK,1385.4,1438.8,0,1331.5,1321.6,1300.3,1296.2,1281.3,1273.8,1258.2,1242.7,1231.9
T,TOTAL,RT,C,TR,,,,,,,,,,,,
T,TOTAL,RT,C,UK,9731.5,9594.8,9517.4,9496.3,9490,9384.4,9254.3,9153.9,9083.7,9037,8949.1,8845.9
