sex	age	unit	icd10	geo	1997_1999	1998_2000	1999_2001	2000_2002	2001_2003	2002_2004	2003_2005	2004_2006	2005_2007	2006_2008	2007_2009	2008_2010
T	TOTAL	RT	I20-I25	AT11	327.0	311.2	287.9	280.0	278.2	266.9	248.9	239.1	244.8	245.5	238.4	234.3
T	TOTAL	RT	I20-I25	AT12	306.3	302.1	287.4	279.6	271.9	268.4	253.6	240.6	233.2	227.1	222.4	213.9
T	TOTAL	RT	I20-I25	AT13	320.8	313.7	301.6	305.2	315.5	319.3	307.2	290.9	281.1	262.3	251.2	242.2
T	TOTAL	RT	I20-I25	AT21	197.2	190.9	183.0	181.4	173.8	167.8	165.0	164.7	163.6	155.4	153.9	154.3
T	TOTAL	RT	I20-I25	AT22	265.6	255.6	243.0	228.8	220.2	212.9	204.4	198.8	193.3	189.0	185.6	181.2
T	TOTAL	RT	I20-I25	AT31	277.9	267.5	250.8	241.6	240.2	237.4	226.8	216.8	207.9	198.3	187.0	182.6
T	TOTAL	RT	I20-I25	AT32	233.6	220.8	210.4	207.6	207.0	203.7	200.5	194.6	185.3	170.6	157.9	145.0
T	TOTAL	RT	I20-I25	AT33	274.4	267.2	257.5	242.8	229.7	222.3	219.0	209.6	194.4	181.1	178.8	177.1
T	TOTAL	RT	I20-I25	AT34	289.4	288.1	270.8	257.8	250.6	241.2	230.6	216.9	215.8	211.1	201.9	184.6
T	TOTAL	RT	I20-I25	BE10	148.0	:	:	:	:	:	135.7	124.9	115.8	109.6	104.3	101.0
T	TOTAL	RT	I20-I25	BE21	150.5	156.7	147.9	146.7	140.8	138.1	129.7	120.2	108.9	100.2	92.1	86.1
T	TOTAL	RT	I20-I25	BE22	170.6	173.6	162.0	159.9	156.7	152.4	141.9	127.7	117.5	111.0	103.9	96.2
T	TOTAL	RT	I20-I25	BE23	160.6	166.0	158.9	154.2	147.1	140.9	133.2	123.2	113.7	105.8	100.2	95.1
T	TOTAL	RT	I20-I25	BE24	153.5	157.1	154.9	150.5	147.2	140.9	135.5	123.3	111.2	97.7	92.4	88.1
T	TOTAL	RT	I20-I25	BE25	157.1	157.8	150.0	148.2	146.0	143.1	139.8	128.2	116.7	105.6	101.9	96.7
T	TOTAL	RT	I20-I25	BE31	143.2	:	:	:	:	:	126.4	119.5	107.5	98.8	92.1	86.7
T	TOTAL	RT	I20-I25	BE32	153.5	:	:	:	:	:	147.3	137.4	133.3	126.0	122.6	116.0
T	TOTAL	RT	I20-I25	BE33	156.1	:	:	:	:	:	137.1	125.9	120.7	112.0	108.3	101.8
T	TOTAL	RT	I20-I25	BE34	147.1	:	:	:	:	:	125.7	120.2	123.5	117.8	110.5	97.3
