indic_en	unit	geo	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
119820	PC	AT	61.8	62.4	62.4	64.6	65.2	67.8	65.7	66.0	66.5	68.0	70.0
119820	PC	BE	1.7	2.4	3.1	3.6	4.6	6.2	7.1	9.1	11.3	12.4	13.4
119820	PC	BG	9.1	9.3	9.3	9.4	10.0	11.3	12.7	12.9	16.1	18.9	18.9
119820	PC	CY	0.0	0.0	0.0	0.1	0.3	0.6	1.4	3.4	4.9	6.6	7.4
119820	PC	CZ	3.6	3.7	4.0	4.6	5.2	6.4	7.5	10.6	11.6	12.8	13.9
119820	PC	DE	9.4	10.5	11.8	13.6	15.1	17.4	18.1	20.9	23.6	25.3	28.2
119820	PC	DK	23.8	24.6	24.0	25.0	25.9	28.3	32.7	35.9	38.7	43.1	48.5
119820	PC	EE	0.6	1.1	1.5	1.5	2.1	6.1	10.4	12.3	15.8	13.0	14.6
119820	PC	EL	7.8	8.2	8.9	9.3	9.6	11.0	12.3	13.8	16.4	21.2	21.9
119820	PC	ES	19.0	19.1	20.0	21.7	23.7	27.8	29.8	31.6	33.5	36.7	37.8
119820	PC	FI	26.7	26.9	26.4	25.5	27.3	27.3	27.7	29.4	29.5	30.9	31.4
119820	PC	FR	13.8	13.7	14.1	14.3	14.4	15.1	14.8	16.3	16.4	16.8	18.3
119820	PC	HR	35.5	35.8	35.2	34.0	33.8	35.9	37.6	37.6	38.8	42.2	45.3
119820	PC	HU	2.2	4.4	3.5	4.2	5.3	7.0	7.1	6.4	6.1	6.6	7.3
119820	PC	IE	6.0	7.2	8.7	10.4	11.2	13.4	14.5	17.2	19.5	20.8	22.7
119820	PC	IS	93.1	94.9	93.5	113.7	90.8	92.9	92.4	93.9	95.4	96.7	97.1
119820	PC	IT	16.1	16.3	15.9	16.0	16.6	18.8	20.1	23.5	27.4	31.3	33.4
119820	PC	LT	3.6	3.8	4.0	4.7	4.9	5.9	7.4	9.0	10.9	13.1	13.7
119820	PC	LU	2.8	3.2	3.2	3.3	3.6	4.1	3.8	4.1	4.6	5.3	5.9
119820	PC	LV	46.0	43.0	40.4	38.6	38.7	41.9	42.1	44.7	44.9	48.8	51.1
119820	PC	MT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	1.1	1.6	3.3
119820	PC	NL	4.4	6.3	6.5	6.0	7.5	9.1	9.6	9.8	10.4	10.0	10.0
119820	PC	NO	97.3	96.8	100.2	98.5	99.6	104.7	97.9	105.5	104.4	106.9	109.6
119820	PC	PL	2.1	2.7	3.0	3.5	4.4	5.8	6.6	8.2	10.7	10.7	12.4
119820	PC	PT	27.5	27.7	29.3	32.3	34.1	37.6	40.7	45.9	47.6	49.1	52.1
119820	PC	RO	28.4	28.8	28.1	28.1	28.1	30.9	30.4	31.1	33.6	37.5	41.7
119820	PC	SE	51.2	50.9	51.8	53.2	53.6	58.3	56.0	59.9	60.0	61.8	63.3
119820	PC	SI	29.3	28.7	28.2	27.7	30.0	33.8	32.2	31.0	31.6	33.1	33.9
119820	PC	SK	15.4	15.7	16.6	16.5	17.0	17.8	17.8	19.3	20.1	20.8	23.0
119820	PC	UK	3.5	4.1	4.5	4.8	5.5	6.7	7.4	8.8	10.7	13.8	17.8
