unit,prod_nrg,engine,geo,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
THS,DIESEL,CC1400-1999,AT,1999,1946,1895,1847,1808,1780,1737,1731,1642,1528,1413b,1325,1211,1088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THS,DIESEL,CC1400-1999,BE,,2685,2356,2251,2167,2058,1962,1865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THS,DIESEL,CC1400-1999,CH,594,521,459,409,363,315,268,225,184,149,120,95,75,65,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THS,DIESEL,CC1400-1999,CY,20,19,17,15,13,11,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THS,DIESEL,CC1400-1999,CZ,1224,1087,996,911,837,752,676,603,541,479.703,414.1,356.2,313.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THS,DIESEL,CC1400-1999,DE,8500,7952,,,,,,,,5416,5016,4640,4228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THS,DIESEL,CC1400-1999,EE,95.6,83.4,74.44,70.1,69.5,64.5,63.6,39.9,36,33.6,29,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THS,DIESEL,CC1400-1999,ES,9673,9540,9303,8997,8756,8338,7664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THS,DIESEL,CC1400-1999,FI,386,356,317,281,254,206,188,176,163,158,147,140,132,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THS,DIESEL,CC1400-1999,FR,,,,,,12426,11837,11185,10594,9923,9216,8427,7598,6937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THS,DIESEL,CC1400-1999,HR,441,440,432,428,424,411,378,348,316,281,246,218,188,171,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THS,DIESEL,CC1400-1999,HU,492.84,462.29,443.68,432.43,424,396,362,262,275,238,203.9,177.9,160,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THS,DIESEL,CC1400-1999,IE,521.48,469.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THS,DIESEL,CC1400-1999,IS,,,,,,,,3,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THS,DIESEL,CC1400-1999,IT,12414,12132,11586,11094,10593,9927,8979,7932,6840,,4962,4251,3624,2754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THS,DIESEL,CC1400-1999,LI,,,3.28,2.98,2.73,2.378,2.17,,1.55,1.28,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THS,DIESEL,CC1400-1999,LU,,,,140.3,133,122,112,101,89,79,71,63,53.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THS,DIESEL,CC1400-1999,MT,58.79,57.41,55.35,54.45,54.753,,,,,,45.4,,32.894,26.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THS,DIESEL,CC1400-1999,NL,,864,885,909,909,899,860,818,783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THS,DIESEL,CC1400-1999,NO,,,,,,,,z,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THS,DIESEL,CC1400-1999,PL,3841,3494,3039,2614,2220,1658,1249,968,1336,736.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THS,DIESEL,CC1400-1999,PT,1414,1486,1416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THS,DIESEL,CC1400-1999,RO,1167,1084,1041,960,866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THS,DIESEL,CC1400-1999,SE,,,,279,230,182,123,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
