airpol;cpa02;t_cols;origin;unit;geo\time;2007;2006;2005;2004;2003;2002;2001;2000 
CH4;CPA_A01;FINUBP;DOM;T;EU27;3570786;3484581;3423529;3432363;3435322;3435477;3342987;3348961
CH4;CPA_A01;FINUBP;DOM;THS_T;EU27;3570.786;3484.581;3423.529;3432.363;3435.322;3435.477;3342.987;3348.961
CH4;CPA_A01;FINUBP;WORLD;T;EU27;4061697;3950078;3865143;3850994;3877165;3879046;3775932;3785268
CH4;CPA_A01;FINUBP;WORLD;THS_T;EU27;4061.697;3950.078;3865.143;3850.994;3877.165;3879.046;3775.932;3785.268
CH4;CPA_A01;P3;DOM;T;EU27;2853633;2887568;2859303;2846919;2916599;2865734;2756681;2753007
CH4;CPA_A01;P3;DOM;THS_T;EU27;2853.633;2887.568;2859.303;2846.919;2916.599;2865.734;2756.681;2753.007
CH4;CPA_A01;P3;WORLD;T;EU27;3251819;3274335;3237076;3196584;3291207;3239571;3125112;3127346
CH4;CPA_A01;P3;WORLD;THS_T;EU27;3251.819;3274.335;3237.076;3196.584;3291.207;3239.571;3125.112;3127.346
CH4;CPA_A01;P3_P5;WORLD;T;EU27;3631853;3548255;3509220;3504983;3459000;3450860;3362900;3344218
CH4;CPA_A01;P3_P5;WORLD;THS_T;EU27;3631.853;3548.255;3509.22;3504.983;3459;3450.86;3362.9;3344.218
CH4;CPA_A01;P3_S13;DOM;T;EU27;53649;52912;41626;33194;33349;28143;25782;25426
CH4;CPA_A01;P3_S13;DOM;THS_T;EU27;53.649;52.912;41.626;33.194;33.349;28.143;25.782;25.426
CH4;CPA_A01;P3_S13;WORLD;T;EU27;55983;55195;43273;34481;34676;29244;26695;26318
CH4;CPA_A01;P3_S13;WORLD;THS_T;EU27;55.983;55.195;43.273;34.481;34.676;29.244;26.695;26.318
CH4;CPA_A01;P3_S14;DOM;T;EU27;2799454;2834046;2817124;2813257;2882748;2837103;2730393;2727063
CH4;CPA_A01;P3_S14;DOM;THS_T;EU27;2799.454;2834.046;2817.124;2813.257;2882.748;2837.103;2730.393;2727.063
CH4;CPA_A01;P3_S14;WORLD;T;EU27;3195288;3218504;3193232;3161620;3256013;3209824;3097895;3100492
CH4;CPA_A01;P3_S14;WORLD;THS_T;EU27;3195.288;3218.504;3193.232;3161.62;3256.013;3209.824;3097.895;3100.492
CH4;CPA_A01;P3_S15;DOM;T;EU27;529;610;552;468;502;488;506;518
