airpol,cpa08,induse,origin,unit,geo\time	2012 	2011 	2010 
CH4,CPA_A01,P3,DOM,T,EU28	2591769 	2457224 	2484882 
CH4,CPA_A01,P3,DOM,THS_T,EU28	2591.769 	2457.224 	2484.882 
CH4,CPA_A01,P3,ROW,T,EU28	395653 	552279 	550986 
CH4,CPA_A01,P3,ROW,THS_T,EU28	395.653 	552.279 	550.986 
CH4,CPA_A01,P3,WORLD,T,EU28	2987422 	3009503 	3035868 
CH4,CPA_A01,P3,WORLD,THS_T,EU28	2987.422 	3009.503 	3035.868 
CH4,CPA_A01,P3_S13,DOM,T,EU28	33608 	29810 	32694 
CH4,CPA_A01,P3_S13,DOM,THS_T,EU28	33.608 	29.81 	32.694 
CH4,CPA_A01,P3_S13,ROW,T,EU28	905 	897 	845 
CH4,CPA_A01,P3_S13,ROW,THS_T,EU28	0.905 	0.897 	0.845 
CH4,CPA_A01,P3_S13,WORLD,T,EU28	34513 	30707 	33539 
CH4,CPA_A01,P3_S13,WORLD,THS_T,EU28	34.513 	30.707 	33.539 
CH4,CPA_A01,P3_S14,DOM,T,EU28	2558109 	2427322 	2452082 
CH4,CPA_A01,P3_S14,DOM,THS_T,EU28	2558.109 	2427.322 	2452.082 
CH4,CPA_A01,P3_S14,ROW,T,EU28	394744 	551379 	550138 
CH4,CPA_A01,P3_S14,ROW,THS_T,EU28	394.744 	551.379 	550.138 
CH4,CPA_A01,P3_S14,WORLD,T,EU28	2952854 	2978701 	3002219 
CH4,CPA_A01,P3_S14,WORLD,THS_T,EU28	2952.854 	2978.701 	3002.219 
CH4,CPA_A01,P3_S15,DOM,T,EU28	52 	92 	106 
CH4,CPA_A01,P3_S15,DOM,THS_T,EU28	0.052 	0.092 	0.106 
CH4,CPA_A01,P3_S15,ROW,T,EU28	4 	3 	3 
CH4,CPA_A01,P3_S15,ROW,THS_T,EU28	0.004 	0.003 	0.003 
CH4,CPA_A01,P3_S15,WORLD,T,EU28	56 	95 	109 
CH4,CPA_A01,P3_S15,WORLD,THS_T,EU28	0.056 	0.095 	0.109 
CH4,CPA_A01,P5,DOM,T,EU28	232253 	283183 	347655 
CH4,CPA_A01,P5,DOM,THS_T,EU28	232.253 	283.183 	347.655 
CH4,CPA_A01,P5,ROW,T,EU28	31792 	48054 	45797 
CH4,CPA_A01,P5,ROW,THS_T,EU28	31.792 	48.054 	45.797 
CH4,CPA_A01,P5,WORLD,T,EU28	264044 	331237 	393451 
CH4,CPA_A01,P5,WORLD,THS_T,EU28	264.044 	331.237 	393.451 
CH4,CPA_A01,P51G,DOM,T,EU28	166464 	155630 	166791 
CH4,CPA_A01,P51G,DOM,THS_T,EU28	166.464 	155.63 	166.791 
CH4,CPA_A01,P51G,ROW,T,EU28	16666 	21327 	14859 
CH4,CPA_A01,P51G,ROW,THS_T,EU28	16.666 	21.327 	14.859 
CH4,CPA_A01,P51G,WORLD,T,EU28	183130 	176957 	181649 
CH4,CPA_A01,P51G,WORLD,THS_T,EU28	183.13 	176.957 	181.649 
CH4,CPA_A01,P52,DOM,T,EU28	65789 	127553 	180864 
CH4,CPA_A01,P52,DOM,THS_T,EU28	65.789 	127.553 	180.864 
CH4,CPA_A01,P52,ROW,T,EU28	15126 	26727 	30938 
CH4,CPA_A01,P52,ROW,THS_T,EU28	15.126 	26.727 	30.938 
CH4,CPA_A01,P52,WORLD,T,EU28	80915 	154280 	211802 
CH4,CPA_A01,P52,WORLD,THS_T,EU28	80.915 	154.28 	211.802 
CH4,CPA_A01,P53,DOM,T,EU28	0 	0 	0 
CH4,CPA_A01,P53,DOM,THS_T,EU28	0 	0 	0 
CH4,CPA_A01,P53,ROW,T,EU28	0 	0 	0 
CH4,CPA_A01,P53,ROW,THS_T,EU28	0 	0 	0 
CH4,CPA_A01,P53,WORLD,T,EU28	0 	0 	0 
CH4,CPA_A01,P53,WORLD,THS_T,EU28	0 	0 	0 
CH4,CPA_A01,P5M,DOM,T,EU28	65789 	127553 	180864 
CH4,CPA_A01,P5M,DOM,THS_T,EU28	65.789 	127.553 	180.864 
CH4,CPA_A01,P5M,ROW,T,EU28	15126 	26727 	30938 
CH4,CPA_A01,P5M,ROW,THS_T,EU28	15.126 	26.727 	30.938 
CH4,CPA_A01,P5M,WORLD,T,EU28	80915 	154280 	211802 
CH4,CPA_A01,P5M,WORLD,THS_T,EU28	80.915 	154.28 	211.802 
CH4,CPA_A01,P6,DOM,T,EU28	484144 	474035 	433941 
CH4,CPA_A01,P6,DOM,THS_T,EU28	484.144 	474.035 	433.941 
CH4,CPA_A01,P6,ROW,T,EU28	33962 	29057 	24168 
CH4,CPA_A01,P6,ROW,THS_T,EU28	33.962 	29.057 	24.168 
CH4,CPA_A01,P6,WORLD,T,EU28	518106 	503092 	458109 
CH4,CPA_A01,P6,WORLD,THS_T,EU28	518.106 	503.092 	458.109 
CH4,CPA_A01,TFU,DOM,T,EU28	3308165 	3214442 	3266477 
CH4,CPA_A01,TFU,DOM,THS_T,EU28	3308.165 	3214.442 	3266.477 
CH4,CPA_A01,TFU,ROW,T,EU28	461407 	629389 	620951 
CH4,CPA_A01,TFU,ROW,THS_T,EU28	461.407 	629.389 	620.951 
CH4,CPA_A01,TFU,WORLD,T,EU28	3769573 	3843832 	3887428 
CH4,CPA_A01,TFU,WORLD,THS_T,EU28	3769.573 	3843.832 	3887.428 
CH4,CPA_A02,P3,DOM,T,EU28	7670 	7256 	8261 
CH4,CPA_A02,P3,DOM,THS_T,EU28	7.67 	7.256 	8.261 
CH4,CPA_A02,P3,ROW,T,EU28	2005 	2331 	2277 
CH4,CPA_A02,P3,ROW,THS_T,EU28	2.005 	2.331 	2.277 
CH4,CPA_A02,P3,WORLD,T,EU28	9675 	9586 	10538 
CH4,CPA_A02,P3,WORLD,THS_T,EU28	9.675 	9.586 	10.538 
CH4,CPA_A02,P3_S13,DOM,T,EU28	1216 	1087 	975 
CH4,CPA_A02,P3_S13,DOM,THS_T,EU28	1.216 	1.087 	0.975 
CH4,CPA_A02,P3_S13,ROW,T,EU28	302 	324 	248 
CH4,CPA_A02,P3_S13,ROW,THS_T,EU28	0.302 	0.324 	0.248 
CH4,CPA_A02,P3_S13,WORLD,T,EU28	1518 	1411 	1223 
CH4,CPA_A02,P3_S13,WORLD,THS_T,EU28	1.518 	1.411 	1.223 
CH4,CPA_A02,P3_S14,DOM,T,EU28	6454 	6167 	7284 
CH4,CPA_A02,P3_S14,DOM,THS_T,EU28	6.454 	6.167 	7.284 
CH4,CPA_A02,P3_S14,ROW,T,EU28	1703 	2007 	2029 
