airpol;cpa08;t_cols;origin;unit;geo\time;2011;2010;2009;2008
CH4;CPA_A01;FINUBP;DOM;T;EU27;3439935;3524173;3489320;3503912
CH4;CPA_A01;FINUBP;DOM;THS_T;EU27;3439.935;3524.173;3489.32;3503.912
CH4;CPA_A01;FINUBP;ROW;T;EU27;562634;532160;517435;555149
CH4;CPA_A01;FINUBP;ROW;THS_T;EU27;562.634;532.16;517.435;555.149
CH4;CPA_A01;FINUBP;WORLD;T;EU27;4002568;4056333;4006755;4059060
CH4;CPA_A01;FINUBP;WORLD;THS_T;EU27;4002.568;4056.333;4006.755;4059.06
CH4;CPA_A01;P3;DOM;T;EU27;2438763;2658485;2893310;2701611
CH4;CPA_A01;P3;DOM;THS_T;EU27;2438.763;2658.485;2893.31;2701.611
CH4;CPA_A01;P3;ROW;T;EU27;488135;462831;467410;479202
CH4;CPA_A01;P3;ROW;THS_T;EU27;488.135;462.831;467.41;479.202
CH4;CPA_A01;P3;WORLD;T;EU27;2926898;3121316;3360720;3180813
CH4;CPA_A01;P3;WORLD;THS_T;EU27;2926.898;3121.316;3360.72;3180.813
CH4;CPA_A01;P3_S13;DOM;T;EU27;17510;33071;40741;36995
CH4;CPA_A01;P3_S13;DOM;THS_T;EU27;17.51;33.071;40.741;36.995
CH4;CPA_A01;P3_S13;ROW;T;EU27;662;898;1813;1881
CH4;CPA_A01;P3_S13;ROW;THS_T;EU27;0.662;0.898;1.813;1.881
CH4;CPA_A01;P3_S13;WORLD;T;EU27;18173;33969;42555;38876
CH4;CPA_A01;P3_S13;WORLD;THS_T;EU27;18.173;33.969;42.555;38.876
CH4;CPA_A01;P3_S14;DOM;T;EU27;2420765;2624889;2852006;2664150
CH4;CPA_A01;P3_S14;DOM;THS_T;EU27;2420.765;2624.889;2852.006;2664.15
CH4;CPA_A01;P3_S14;ROW;T;EU27;487453;461919;465578;477303
CH4;CPA_A01;P3_S14;ROW;THS_T;EU27;487.453;461.919;465.578;477.303
CH4;CPA_A01;P3_S14;WORLD;T;EU27;2908218;3086808;3317585;3141453
CH4;CPA_A01;P3_S14;WORLD;THS_T;EU27;2908.218;3086.808;3317.585;3141.453
CH4;CPA_A01;P3_S15;DOM;T;EU27;488;525;562;466
CH4;CPA_A01;P3_S15;DOM;THS_T;EU27;0.488;0.525;0.562;0.466
CH4;CPA_A01;P3_S15;ROW;T;EU27;19;13;19;18
CH4;CPA_A01;P3_S15;ROW;THS_T;EU27;0.019;0.013;0.019;0.018
CH4;CPA_A01;P3_S15;WORLD;T;EU27;507;539;581;484
CH4;CPA_A01;P3_S15;WORLD;THS_T;EU27;0.507;0.539;0.581;0.484
CH4;CPA_A01;P5;DOM;T;EU27;536304;436704;221163;428390
CH4;CPA_A01;P5;DOM;THS_T;EU27;536.304;436.704;221.163;428.39
CH4;CPA_A01;P5;ROW;T;EU27;39175;34315;24517;31742
CH4;CPA_A01;P5;ROW;THS_T;EU27;39.175;34.315;24.517;31.742
CH4;CPA_A01;P5;WORLD;T;EU27;575479;471019;245680;460132
CH4;CPA_A01;P5;WORLD;THS_T;EU27;575.479;471.019;245.68;460.132
CH4;CPA_A01;P51;DOM;T;EU27;149768;145227;136294;137316
CH4;CPA_A01;P51;DOM;THS_T;EU27;149.768;145.227;136.294;137.316
CH4;CPA_A01;P51;ROW;T;EU27;26877;22491;22314;22715
CH4;CPA_A01;P51;ROW;THS_T;EU27;26.877;22.491;22.314;22.715
CH4;CPA_A01;P51;WORLD;T;EU27;176645;167717;158608;160032
CH4;CPA_A01;P51;WORLD;THS_T;EU27;176.645;167.717;158.608;160.032
CH4;CPA_A01;P52;DOM;T;EU27;386536;291478;84869;291074
CH4;CPA_A01;P52;DOM;THS_T;EU27;386.536;291.478;84.869;291.074
CH4;CPA_A01;P52;ROW;T;EU27;12297;11824;2203;9027
CH4;CPA_A01;P52;ROW;THS_T;EU27;12.297;11.824;2.203;9.027
CH4;CPA_A01;P52;WORLD;T;EU27;398834;303302;87072;300100
CH4;CPA_A01;P52;WORLD;THS_T;EU27;398.834;303.302;87.072;300.1
CH4;CPA_A01;P52_P53;DOM;T;EU27;386536;291478;84869;291074
CH4;CPA_A01;P52_P53;DOM;THS_T;EU27;386.536;291.478;84.869;291.074
CH4;CPA_A01;P52_P53;ROW;T;EU27;12297;11824;2203;9027
CH4;CPA_A01;P52_P53;ROW;THS_T;EU27;12.297;11.824;2.203;9.027
CH4;CPA_A01;P52_P53;WORLD;T;EU27;398834;303302;87072;300100
CH4;CPA_A01;P52_P53;WORLD;THS_T;EU27;398.834;303.302;87.072;300.1
CH4;CPA_A01;P53;DOM;T;EU27;0;0;0;0
CH4;CPA_A01;P53;DOM;THS_T;EU27;0;0;0;0
CH4;CPA_A01;P53;ROW;T;EU27;0;0;0;0
