tax,unit,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
ENV,MIO_EUR,AT	7987.86 	7737.92 	7663.47 	7508.22 	6911.28 	6782.82 	6910.21 	6736.04 	6518.09 	6562.95 	6464.31 	6248.7 	5959.05 	5692.85 	5164.26 	4709.56 	4483.94 	4418.37 	4049.43 	3973.61 
ENV,MIO_EUR,BE	8227.8 	8104.8 	8313.7 	8529.3 	8067.5 	7606.9 	7570.2 	7669.7 	7401.8 	7632.9 	7369.8 	6729.3 	6393.1 	6320.6 	6167 	6283.8 	5985.54 	5945.31 	5851.04 	5303.99 
ENV,MIO_EUR,BG	1168.18 	1174.6 	1119.38 	1107.66 	1051.56 	1062.89 	1221.77 	1036.18 	769.11 	696.72 	647.49 	542.07 	398.56 	394.98 	372.45 	298.73 	258.29 	122.75 	84.2 	183.71 
ENV,MIO_EUR,CH	: 	8690.24 	8916.72 	8640.82 	7738.67 	6626.86 	6337.94 	5806.22 	5912.44 	5934.21 	5540.63 	5553.91 	5697.02 	5482.26 	5058.94 	4642.69 	4407.39 	3930.49 	4263.98 	4199.15 
ENV,MIO_EUR,CY	535.6 	492.6 	499.5 	545.5 	534.4 	520 	574.2 	552.4 	502.35 	499.2 	505.66 	445.3 	327.68 	318.51 	266.78 	222.85 	209.93 	188.62 	200.23 	198.75 
ENV,MIO_EUR,CZ	3281.3 	3359.89 	3606.43 	3846.08 	3577.44 	3427.58 	3643.79 	3198.7 	2950.22 	2708.41 	2335.42 	2068.61 	1979.81 	1762.01 	1511.42 	1426.74 	1299.15 	1252.16 	1297.33 	1205.44 
ENV,MIO_EUR,DE	58189 	57597 	58274 	58691 	55005 	55611 	54918 	54557 	56160 	55595 	56463 	57833 	54517 	53812 	49547 	46367 	41826.61 	41529.53 	42355.44 	42099.8 
ENV,MIO_EUR,DK	10622.14 	10712.52 	10098.54 	9957.41 	9768.83 	9236.04 	10077.05 	11063.83 	10547.36 	10474.85 	10097.39 	9290.52 	9489.59 	8868.55 	8615.79 	8854.85 	8321.5 	6994.92 	6709.12 	6099.74 
ENV,MIO_EUR,EA19	244898.83 	238956.05 	234768.93 	229210.18 	217256.87 	211978.38 	212361.25 	213680.93 	213011.8 	207765.42 	203233.33 	197491.61 	189028.03 	182715.15 	176509.57 	174984.84 	163455.3 	157886.9 	156073.54 	147020.94 
ENV,MIO_EUR,EE	533.05 	484.64 	489.06 	454.26 	431.6 	415.93 	382.46 	355.68 	295.95 	255.72 	203.87 	164.53 	154.59 	147.35 	104.39 	90.67 	95.41 	68.18 	52.67 	25.61 
ENV,MIO_EUR,EL	6537 	6406 	6039 	5743 	5740 	4616 	4626 	4698 	4286 	4142 	4070 	3803 	3654 	3360 	3190.58 	3518.8 	3582.33 	3659.14 	3621.11 	3238.93 
ENV,MIO_EUR,ES	19251 	19622 	16339 	16885 	17651 	17319 	18175 	19124 	18397 	17687 	16857 	16100 	15184 	14219 	13811 	13432 	12265.16 	10728.2 	10743.06 	10036.24 
ENV,MIO_EUR,EU28	343640.99 	331851.56 	327129.45 	316592.37 	303392.34 	289672.43 	297826.66 	304584.37 	296552.24 	288518.05 	282004.96 	270930.89 	264591.28 	: 	: 	: 	: 	: 	: 	: 
