indic_nv	unit	geo	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000
FEC_AGR	KTOE	AT	:	:	:	:	:	:	:	:	:	12868.45	10481.46	15059.59	10684.38	15264.39
FEC_AGR	KTOE	AT11	:	:	30.84	31.64	29.88	29.27	28.97	30.15	30.25	28.89	28.73	29.12	30.42	30.55
FEC_AGR	KTOE	AT12	:	:	160.55	168.98	159.34	156.9	156.42	158.8	163.91	159.97	159.94	155.83	159.61	155.94
FEC_AGR	KTOE	AT13	:	:	11.03	11.98	10.76	11.46	11.44	11.65	12.2	13.48	13.78	11.82	12.2	11.86
FEC_AGR	KTOE	AT21	:	:	45.49	47.23	44.92	44.33	42.87	43.82	44.94	44.23	43.63	42.87	44.36	43.46
FEC_AGR	KTOE	AT22	:	:	92.69	96.91	91.32	90.43	89.37	89.2	92.57	91.91	91.39	88.34	91.19	90.4
FEC_AGR	KTOE	AT31	:	:	120.61	129.23	120.43	124.15	120.62	116.5	119.88	123.03	120.15	115.53	117.54	111.2
FEC_AGR	KTOE	AT32	:	:	32.09	34.36	31.99	33.23	32.43	31.91	33.14	33.99	33.16	32.65	33.86	32.25
FEC_AGR	KTOE	AT33	:	:	36.35	39.29	36.44	35.92	35.26	34.74	36.26	37.74	37.11	37.68	39.4	38.23
FEC_AGR	KTOE	AT34	:	:	13.15	14.48	13.09	14.28	13.88	13.72	14.38	15.49	15.52	15.54	16.66	16.5
FEC_AGR	KTOE	BG	195	198	204	184	184	186	266	297	300	:	:	:	:	:
FEC_AGR	KTOE	BG31	33 p	33	35	31	33	31	44	49	50	:	:	:	:	:
FEC_AGR	KTOE	BG32	33 p	32	32	28	28	28	39	45	46	:	:	:	:	:
FEC_AGR	KTOE	BG33	31 p	32	33	29	29	27	36	43	44	:	:	:	:	:
FEC_AGR	KTOE	BG34	28 p	28	29	26	27	26	38	44	44	:	:	:	:	:
FEC_AGR	KTOE	BG41	27 p	28	28	28	27	29	44	46	47	:	:	:	:	:
FEC_AGR	KTOE	BG42	43 p	45	47	42	40	45	65	70	69	:	:	:	:	:
FEC_AGR	KTOE	CY	:	:	:	:	:	:	:	:	:	10	10	9	8	8
FEC_AGR	KTOE	CY00	:	:	:	:	:	:	:	:	:	10	10	9	8	8
FEC_AGR	KTOE	EE00	:	:	:	:	:	:	:	:	:	108	67	80	60	58
FEC_AGR	KTOE	ES	:	1706.079	558	563	626.001	848.002	861.999	866.002	854	:	:	:	:	:
FEC_AGR	KTOE	ES11	:	209.772	21.191	21.128	22.745	28.404	26.052	19.35	12.945	:	:	:	:	:
FEC_AGR	KTOE	ES12	:	7.313	1.716	1.735	1.942	2.687	2.494	1.392	1.211	:	:	:	:	:
FEC_AGR	KTOE	ES13	:	2.521	1.73	1.755	1.977	2.782	2.715	2.633	2.368	:	:	:	:	:
