pesticid,unit,geo\time	2014 	2013 	2012 	2011 
F,KG,AT	1641052 	1492797 	1634370 	1550176 
F,KG,BE	3095003 	2458047 	2600122 	2353653 
F,KG,BG	186142 	380174 	474395 	: c
F,KG,CH	1002208 	989038 	920100 	913900 
F,KG,CY	698083 	: c	: c	: c
F,KG,CZ	1788321 	1665889 	1417196 	: c
F,KG,DE	12739857 	10418031 	9147663 	10524654 
F,KG,DK	530223 	879879 	890565 	639190 
F,KG,EE	88227 	66163 	60032 	50529 
F,KG,EL	1866378 	5520830 b	2006725 	2256372 
F,KG,ES	38379663 	32393012 	26792750 	31343389 
F,KG,FI	198523 	209572 	188895 	165151 
F,KG,FR	34430575 	30213840 	27345068 	24523611 
F,KG,HR	1004779 	945126 	: 	: 
F,KG,HU	3634091 	3238478 	3140952 	2997436 
F,KG,IE	635509 	583027 	650066 	618369 
F,KG,IT	37907115 	32918508 	37157910 	43292720 
F,KG,LT	604845 	538225 	488039 	362866 
F,KG,LU	: 	: c	91039 	92080 
F,KG,LV	224735 	214274 	202514 	148222 
F,KG,MT	97370 	122070 	124625 	95040 
F,KG,NL	4869128 	4293165 	4634977 	4238434 
F,KG,NO	121834 	101898 	119857 	106608 
F,KG,PL	7442470 	6474339 	6130812 	6080802 
F,KG,PT	8244381 	7201606 	8498465 	9974797 
F,KG,RO	4131916 	3630952 	3540974 	3481611 
F,KG,SE	302337 	332068 	234589 	218458 
F,KG,SI	723695 	647491 	700223 	797046 
F,KG,SK	567191 	531417 	496655 	540820 
F,KG,UK	7128108 	4164515 	6725759 	8202563 
H,KG,AT	1375815 	1227015 	1544515 	1505163 
H,KG,BE	2519651 	2486428 	2720222 	2482593 
H,KG,BG	652446 	705944 	773569 	: c
H,KG,CH	745403 	711399 	767200 	834900 
H,KG,CY	153359 	: c	: c	: c
H,KG,CZ	2755332 	3144886 	3606877 	3473231 
H,KG,DE	17876678 	17896271 	19907265 	17955165 
H,KG,DK	1242544 	2935899 	4563829 	4419737 
H,KG,EE	425845 	434251 	436888 	357091 
H,KG,EL	1194605 	2571536 b	2139107 	1454632 
H,KG,ES	14908032 	14719759 	13984903 	13834600 
H,KG,FI	1305390 	1132945 	1223838 	1452126 
H,KG,FR	30965455 	27833550 	27712875 	29208746 
H,KG,HR	889121 	829440 	: 	: 
H,KG,HU	4011143 	3562125 	3824104 	3668067 
H,KG,IE	2039237 	2004502 	1996152 	2831037 
H,KG,IT	7864438 	7159177 	8055924 	8327293 
H,KG,LT	1394236 	1421923 	1715221 	1772873 
H,KG,LU	: 	82778 	96467 	102073 
H,KG,LV	847474 	728065 	789139 	722050 
H,KG,MT	7632 	7006 	7959 	6223 
H,KG,NL	3266403 	2766435 	3042349 	3024767 
H,KG,NO	692015 	614662 	627714 	679226 
H,KG,PL	12073411 	12518197 	12654357 	12408486 
H,KG,PT	2410804 	1611016 	1768622 	1995991 
H,KG,RO	5025373 	6034253 	6614042 	6770904 
H,KG,SE	2103771 	1772812 	2087116 	2136107 
H,KG,SI	238502 	223472 	257007 	264289 
H,KG,SK	1215096 	1157477 	1257380 	1079871 
H,KG,UK	12418936 	10467067 	10979419 	11603879 
I,KG,AT	240220 	238196 	244026 	241938 
I,KG,BE	555844 	616676 	563187 	658820 
I,KG,BG	163439 	110152 	83058 	: c
I,KG,CH	83063 	64518 	69300 	95300 
I,KG,CY	180623 	: c	: c	: c
I,KG,CZ	337679 	265667 	280514 	285044 
I,KG,DE	977198 	894975 	1029492 	875344 
I,KG,DK	38291 	84652 	89049 	46218 
I,KG,EE	25283 	19544 	20607 	19382 
I,KG,EL	588794 	1287010 b	910678 	109297 
I,KG,ES	7515055 	6821991 	7640732 	8061915 
I,KG,FI	12839 	25484 	30876 	31419 
I,KG,FR	2610867 	2244126 	2327347 	2149732 
I,KG,HR	143098 	135135 	: 	: 
I,KG,HU	916538 	606210 	609383 	522094 
I,KG,IE	51430 	53554 	42414 	48280 
I,KG,IT	2251888 	8933004 	6927822 	7927733 
I,KG,LT	43566 	39926 	42296 	24995 
I,KG,LU	: 	: c	: c	: c
I,KG,LV	63998 	43892 	44516 	34164 
I,KG,MT	2946 	3387 	3313 	2994 
I,KG,NL	252034 	225800 	246955 	270422 
I,KG,NO	4822 	4142 	4387 	5098 
I,KG,PL	1479165 	1305890 	1286326 	991417 
I,KG,PT	732935 	745785 	809679 	877774 
I,KG,RO	569046 	626348 	827576 	807802 
I,KG,SE	34185 	27674 	28944 	218458 
I,KG,SI	33453 	26749 	41621 	38493 
I,KG,SK	106509 	90226 	65157 	63693 
I,KG,UK	779422 	643151 	454220 	2871360 
M,KG,AT	16180 	13472 	23652 	33428 
M,KG,BE	47691 	22223 	20650 	14279 
M,KG,CH	55886 	56352 	35200 	37800 
M,KG,CY	1001 	: c	: c	: c
M,KG,CZ	15487 	11244 	6703 	: c
M,KG,DE	255457 	162084 	161165 	255155 
M,KG,DK	15382 	9387 	11252 	3673 
M,KG,EE	: c	: c	: c	: c
M,KG,EL	1162 	18678 b	15022 	: c
M,KG,ES	66211 	88578 	68787 	228520 
M,KG,FI	: c	: c	: c	: c
M,KG,FR	870246 	1071376 	565408 	330312 
M,KG,HR	5411 	3159 	: 	: 
M,KG,HU	3528 	1789 	961 	2089 
M,KG,IE	9850 	6007 	19935 	9168 
M,KG,IT	75017 	75877 	69291 	97426 
M,KG,LT	0 	0 	0 	: 
M,KG,LU	: 	2258 	1555 	1107 
M,KG,LV	36 	225 	: 	: 
M,KG,MT	480 	515 	400 	911 
M,KG,NL	45106 	41018 	53213 	32373 
M,KG,NO	1331 	2173 	2505 	1134 
M,KG,PL	35280 	7738 	6731 	12227 
M,KG,PT	35733 	17687 	31773 	13090 
M,KG,RO	1199 	1018 	753 	756 
M,KG,SE	: c	: c	4395 	: c
M,KG,SI	2241 	810 	453 	974 
M,KG,SK	: c	: c	0 	0 
