pe_type,unit,geo\time	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
PE_0,T_AI,AT	: 	: 	: 	3404 	3302 	3386 	3080 	3133 	3563 	3419 	3341 	3690 	3566 	3404 	3620 	3984 	3897 	4488 	3961 	4372 	: 	: 	5569 	4842 	4366 	4321 	3919 	4132 	3988 
PE_0,T_AI,BE	: 	: 	: 	9776 	9186 	8822 	9204 	8845 	9953 	9521 	9861 	9276 	10403 	10939 	9889 	10287 	10426 	9969 	10263 	10086 	9818 	9098 	8952 	8973 	: 	9088 	: 	: 	7207 
PE_0,T_AI,DE	34664 	32683 	31819 	29512 	28753 	30164 	29531 	27885 	30331 	30231 	33644 	30721 	32080 	30468 	26732 	25620 	30399 	34309 	33146 	34625 	36774 	36367 	31384 	30053 	32501 	31250 	29500 	31750 	32750 
PE_0,T_AI,DK	4051 	3354 	3254 	3299 	2941 	2991 	2912 	3127 	2889 	2929 	3673 	3757 	3669 	4809 	3919 	4103 	4566 	4628 	5650 	5795 	5253 	5485 	6085 	6863 	7500 	7465 	6914 	6115 	: 
PE_0,T_AI,EE	: 	459 	467 	393 	357 	322 	329 	329 	306 	184 	191 	197 	118 	144 	169 	180 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_0,T_AI,EL	: 	: 	: 	: 	: 	: 	: 	11111 	11131 	10153 	11479 	9034 	9870 	8525 	9973 	9283 	8390 	7860 	: 	8151 	6754 	6510 	7346 	37349 	42146 	: 	: 	: 	35888 
PE_0,T_AI,ES	: 	: 	: 	: 	: 	: 	: 	35700 	34597 	33614 	35070 	34023 	33236 	27852 	31243 	29408 	31839 	39147 	39562 	46534 	47751 	44050 	39134 	: 	: 	: 	: 	: 	: 
PE_0,T_AI,EU15	: 	: 	: 	: 	: 	: 	: 	318434 	320645 	348669 	355527 	348958 	301217 	279811 	281842 	287700 	291894 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_0,T_AI,FI	: 	: 	1645 	1431 	1489 	1667 	1620 	1424 	1146 	1141 	1164 	999 	912 	1035 	1272 	1208 	1340 	1688 	2037 	2258 	1923 	1988 	1933 	1964 	2119 	2094 	1954 	2131 	2558 
PE_0,T_AI,FR	: 	77255 	71612 	78265 	76099 	74524 	82448 	99635 	94694 	120501 	107753 	109792 	97889 	84007 	89515 	91953 	84709 	103434 	97701 	100379 	99167 	92966 	99697 	98021 	94460 	87190 	93394 	80904 	76958 
PE_0,T_AI,HU	12084 	11178 	11523 	9676 	9941 	8726 	8232 	6431 	5473 	5795 	6230 	5314 	6865 	7698 	9561 	10194 	13058 	17885 	24719 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_0,T_AI,IE	: 	: 	2874 	2776 	3104 	2913 	2796 	2486 	2133 	2102 	2534 	2356 	1782 	2291 	2185 	2161 	2320 	1984 	1802 	1899 	1812 	: 	: 	: 	: 	2251 	: 	: 	1470 
PE_0,T_AI,IT	: 	: 	81450 	85073 	84292 	86705 	94711 	76346 	79831 	82048 	84526 	84796 	48050 	48490 	46678 	54928 	58848 	: 	91681 	91071 	100581 	99100 	: 	: 	: 	: 	: 	: 	: 
PE_0,T_AI,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	421 	430 	332 	357 	357 	328 	301 	: 	253 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_0,T_AI,LV	: 	1052 	2239 	733 	597 	418 	339 	369 	284 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_0,T_AI,MT	: 	: 	: 	: 	: 	243 	222 	217 	184 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_0,T_AI,NL	: 	10740 	9410 	9309 	9071 	7868 	8073 	7987 	9655 	10196 	10721 	10399 	9847 	10924 	11111 	11702 	15920 	17307 	18835 	19146 	18172 	18088 	21632 	21002 	19665 	: 	: 	: 	: 
PE_0,T_AI,NO	: 	720 	690 	511 	824 	658 	818 	518 	378 	796 	954 	754 	706 	931 	862 	765 	781 	771 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_0,T_AI,PL	: 	15303 	17102 	16039 	8726 	7184 	10358 	8855 	8848 	8469 	8699 	9501 	9420 	6962 	7335 	6791 	6755 	5217 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_0,T_AI,PT	17060 	16689 	15703 	16346 	16938 	17046 	17435 	15491 	15469 	15396 	14365 	12750 	12456 	11818 	9581 	8984 	6117 	9355 	285 	243 	: 	: 	500 	428 	436 	364 	413 	361 	343 
PE_0,T_AI,SE	: 	: 	1707 	1527 	942 	2049 	1711 	1738 	1652 	1698 	1629 	1608 	1529 	1224 	1961 	1464 	1511 	1837 	2344 	2423 	2865 	2409 	5585 	3660 	4333 	4233 	4910 	4757 	4400 
