unit,na_item,geo\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 
EUR_KGOE,B1GQ,AT	: 	: 	: 	: 	: 	8.1 	7.7 	8.0 	8.1 	8.5 	8.7 	8.4 	8.5 	8.1 	8.1 	8.1 	8.3 	8.7 	8.8 	9.0 	8.6 	9.1 	9.2 	9.1 	9.4 
EUR_KGOE,B1GQ,BE	: 	: 	: 	: 	: 	5.0 	4.8 	5.0 	5.0 	5.1 	5.2 	5.3 	5.7 	5.5 	5.6 	5.8 	6.0 	6.3 	6.1 	6.3 	6.0 	6.5 	6.8 	6.6 	7.1 
EUR_KGOE,B1GQ,BG	: 	: 	: 	: 	: 	: 	1.1 	1.2 	1.2 	1.3 	1.3 	1.3 	1.4 	1.5 	1.6 	1.6 	1.7 	1.8 	2.0 	2.2 	2.2 	2.0 	2.1 	2.3 	2.2 
EUR_KGOE,B1GQ,CY	: 	: 	: 	: 	: 	6.0 	5.6 	5.9 	5.8 	6.0 	5.9 	6.1 	6.2 	5.9 	6.6 	6.7 	6.8 	6.8 	6.7 	6.8 	7.0 	7.2 	7.5 	8.1 	7.8 
EUR_KGOE,B1GQ,CZ	: 	: 	: 	: 	: 	2.5 	2.5 	2.5 	2.6 	2.8 	2.8 	2.8 	2.8 	2.8 	2.9 	3.1 	3.2 	3.4 	3.5 	3.6 	3.5 	3.7 	3.7 	3.7 	3.9 
EUR_KGOE,B1GQ,DE	: 	5.8 	6.1 	6.1 	6.2 	6.3 	6.1 	6.3 	6.5 	6.7 	6.9 	6.8 	7.0 	7.0 	7.0 	7.1 	7.2 	7.8 	7.8 	7.8 	7.7 	8.4 	8.4 	8.3 	8.8 
EUR_KGOE,B1GQ,DK	9.7 	8.9 	9.4 	9.2 	9.3 	9.6 	8.7 	9.6 	10.0 	10.7 	11.4 	11.2 	11.4 	11.0 	11.7 	12.3 	11.9 	12.3 	12.8 	12.6 	12.1 	13.2 	13.8 	13.7 	15.0 
EUR_KGOE,B1GQ,EA19	: 	: 	: 	: 	: 	6.5 	6.4 	6.6 	6.6 	6.8 	7.0 	7.0 	7.0 	6.9 	7.0 	7.1 	7.3 	7.6 	7.7 	7.8 	7.7 	8.1 	8.1 	8.1 	8.5 
EUR_KGOE,B1GQ,EE	: 	: 	: 	: 	: 	1.4 	1.4 	1.6 	1.8 	1.9 	2.1 	2.2 	2.4 	2.3 	2.4 	2.7 	3.0 	2.9 	2.8 	2.7 	2.4 	2.6 	2.7 	2.5 	2.6 
EUR_KGOE,B1GQ,EL	: 	: 	: 	: 	: 	6.7 	6.7 	6.7 	6.6 	6.8 	6.7 	6.8 	6.9 	7.2 	7.4 	7.3 	7.7 	8.0 	7.8 	7.8 	7.8 	7.4 p	6.9 p	7.6 p	7.6 p
