vehicle,unit,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
BUS_TOT,NR,AT	9585 	10000 	10000 	10000 	10000 	9000 	9400 	9300 	9300 	9300 	9400 	9200 	9200 	9900 	9900 	9800 	9700 	9700 	9000 	9000 	9500 	9600 	9900 	9400 	9400 
BUS_TOT,NR,AT1	4957 	5000 	5000 	5000 	5000 	5000 	4900 	4900 	4800 	4800 	5000 	4900 	4900 	5200 	5200 	5200 	5200 	5300 	4000 	4000 	5200 	5300 	5200 	5200 	5200 
BUS_TOT,NR,AT11	317 	0 	0 	0 	0 	0 	400 	400 	300 	300 	300 	400 	400 	400 	400 	400 	400 	400 	0 	0 	400 	400 	400 	400 	400 
BUS_TOT,NR,AT12	990 	1000 	1000 	1000 	1000 	1000 	900 	900 	1000 	1000 	1000 	900 	900 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 	1000 
BUS_TOT,NR,AT13	3650 	4000 	4000 	4000 	4000 	4000 	3600 	3600 	3500 	3500 	3700 	3600 	3600 	3700 	3800 	3800 	3800 	3900 	3000 	3000 	3800 	3900 	3800 	3800 	3800 
BUS_TOT,NR,AT2	1505 	1000 	2000 	2000 	2000 	1000 	1500 	1500 	1600 	1600 	1600 	1600 	1500 	1800 	1700 	1700 	1700 	1700 	1000 	1000 	1600 	1600 	1500 	1500 	1500 
BUS_TOT,NR,AT21	386 	0 	0 	1000 	1000 	0 	400 	400 	400 	400 	400 	400 	400 	400 	400 	400 	400 	400 	0 	0 	400 	400 	400 	400 	400 
BUS_TOT,NR,AT22	1119 	1000 	1000 	1000 	1000 	1000 	1100 	1100 	1200 	1200 	1200 	1200 	1200 	1300 	1300 	1300 	1300 	1300 	1000 	1000 	1200 	1200 	1100 	1100 	1100 
BUS_TOT,NR,AT3	3123 	3000 	3000 	3000 	3000 	3000 	3000 	2900 	2900 	2900 	2800 	2800 	2700 	3000 	3000 	2900 	2800 	2800 	3000 	3000 	2700 	2700 	2700 	2700 	2700 
BUS_TOT,NR,AT31	1319 	1000 	1000 	1000 	1000 	1000 	1300 	1200 	1200 	1200 	1200 	1200 	1100 	1200 	1200 	1100 	1100 	1100 	1000 	1000 	1100 	1100 	1100 	1100 	1100 
BUS_TOT,NR,AT32	523 	1000 	0 	1000 	1000 	1000 	500 	500 	500 	500 	500 	500 	500 	600 	600 	600 	500 	500 	1000 	1000 	500 	500 	500 	500 	500 
BUS_TOT,NR,AT33	946 	1000 	1000 	1000 	1000 	1000 	900 	900 	900 	900 	800 	800 	800 	900 	900 	900 	800 	800 	1000 	1000 	800 	800 	800 	800 	800 
BUS_TOT,NR,AT34	335 	0 	0 	0 	0 	0 	300 	300 	300 	300 	300 	300 	300 	300 	300 	300 	300 	300 	0 	0 	300 	300 	300 	300 	300 
