unit;airpol;airemsect;geo\time;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985
MIO_T;GHG;CRF1;AT;51.41839;55.24816;55.26561;57.43359;59.83319;56.77661;60.23313;60.68823;64.02139;67.33619;66.89751;66.66988;60.77354;59.54397;55.31255;55.76358;56.97259;57.16173;58.64455;54.44739;51.96573;52.31825;52.02651;56.60328;52.91725;;;;;
MIO_T;GHG;CRF1;BE;82.29058;87.72253;87.53432;89.71619;98.99494;94.26963;101.45372;99.18707;102.1758;104.979;107.47726;107.06785;105.84157;105.90533;105.45393;104.5574;109.90732;105.53465;111.36179;107.04769;106.78562;105.23361;105.32274;106.97428;103.19374;;;;;
MIO_T;GHG;CRF1;BG;43.14873;40.72173;46.42224;51.26877;46.15139;44.1783;49.85756;50.48057;46.80119;45.73371;44.96269;46.49112;42.68784;44.80786;41.13949;42.64195;48.64125;49.47719;52.10923;51.50792;51.41029;54.6158;54.29687;56.26412;73.87794;81.17224;81.59286;;;
MIO_T;GHG;CRF1;CH;37.46697;41.47335;40.53893;39.14718;43.1907;41.8194;42.92619;41.56701;43.60194;43.99614;43.50113;43.15738;41.93323;43.54919;42.1393;43.12281;43.3238;41.78203;42.76115;41.86231;40.95255;42.0747;44.25935;44.27052;41.83713;;;;;
MIO_T;GHG;CRF1;CY;5.95949;5.7512;6.70609;7.20196;7.49487;7.72474;7.79959;7.63293;7.31154;7.12869;6.94996;6.78563;6.39536;6.23674;6.34487;6.1178;5.85476;5.51169;5.34597;5.09338;5.18704;4.97759;4.79813;4.47094;3.94066;;;;;
MIO_T;GHG;CRF1;CZ;95.02602;100.76048;104.98068;109.08492;110.58044;109.59401;115.13291;120.02732;119.89071;119.19715;119.78212;119.9513;117.27824;120.42758;120.23509;111.80935;118.26282;123.69871;128.17336;126.44033;125.4277;133.27812;138.50399;143.9539;157.26599;;;;;
MIO_T;GHG;CRF1;DE;762.3384;806.40827;787.89717;781.21704;801.42048;761.73091;819.65798;815.07233;841.25056;831.68476;852.09532;869.00421;873.60012;889.9537;869.84027;873.16761;897.60099;907.3047;938.32685;917.311;919.27348;941.56006;950.61045;999.09003;1035.68381;;;;;
MIO_T;GHG;CRF1;DK;36.78456;41.00264;39.11495;43.78501;49.10759;48.58027;50.59506;53.83153;58.66567;50.77197;54.45993;60.01965;54.78999;55.21483;53.52499;57.99354;60.41101;64.49627;73.97989;60.56457;63.62914;59.57917;57.24313;63.06489;52.37503;;;;;
MIO_T;GHG;CRF1;EE;18.69785;19.04911;16.85708;18.23303;17.74617;14.10394;16.70201;18.21868;15.3313;15.96985;16.6771;16.56481;14.80493;15.09256;14.74364;15.09409;16.19662;17.85138;18.34337;17.59932;19.23154;18.63263;23.81476;32.95351;35.95056;;;;;
MIO_T;GHG;CRF1;EL;75.20662;78.86741;87.39422;91.46772;92.76539;99.92886;104.3824;107.63415;105.18057;106.44289;103.3895;102.89609;99.00853;99.18255;96.7424;91.9456;92.48328;87.75524;83.2213;81.00318;80.93849;78.71357;79.07596;77.0638;76.9147;;;;;
MIO_T;GHG;CRF1;ES;238.09185;239.23225;265.63414;267.88676;265.5455;279.76206;314.238;341.62078;334.19723;343.8371;329.38858;312.91647;309.27501;290.01624;289.82547;277.30954;254.86901;248.07106;236.10712;248.22218;234.69497;224.46302;232.65033;221.9086;211.60443;;;;;
MIO_T;GHG;CRF1;EU15;2656.77608;2823.93361;2881.17024;2902.10049;3049.18788;2969.31814;3199.44519;3259.51988;3322.77893;3337.76375;3360.79995;3365.81985;3310.40833;3321.15825;3262.1692;3247.06478;3272.69232;3232.35376;3304.62802;3224.69346;3194.07889;3210.87717;3263.80148;3332.58271;3293.06134;;;;;
MIO_T;GHG;CRF1;EU28;3322.35171;3514.39955;3599.03779;3645.15508;3791.27537;3691.5355;3971.51193;4046.52604;4110.75094;4111.19927;4135.95425;4144.97809;4060.8724;4090.23767;4012.58468;4006.91439;4072.60718;4089.58795;4190.75665;4084.856;4051.72272;4096.26561;4173.90459;4311.24556;4350.7587;;;;;
MIO_T;GHG;CRF1;EU28_IS_K;3326.46952;3518.58613;3603.18918;3649.44708;3795.68015;3696.13781;3976.25071;4051.59496;4115.53719;4115.92129;4140.55232;4149.44172;4065.40886;4094.64458;4017.23353;4011.73692;4077.51921;4094.32952;4195.39564;4089.31397;4056.07335;4100.65507;4178.21293;4315.38388;4354.94592;;;;;
MIO_T;GHG;CRF1;FI;44.38562;48.35777;47.47966;52.76401;60.10835;52.4964;54.43197;62.7133;64.75082;53.66953;65.43744;69.32627;61.7515;59.16507;53.75055;55.59293;56.19807;59.51991;61.10309;55.35399;58.81479;53.53604;51.58031;52.2082;53.5617;;;;;
MIO_T;GHG;CRF1;FR;319.63623;349.7803;350.53207;346.46988;372.76929;364.7135;380.28623;385.83534;395.96611;406.48873;401.98255;402.47996;394.13682;399.42314;399.077;403.24746;412.43107;391.38052;399.26299;385.76964;379.53059;381.35653;401.76026;410.00279;384.17581;;;;;
MIO_T;GHG;CRF1;HR;16.24144;17.18729;17.72679;19.41976;19.81376;20.63124;21.772;22.9375;21.74398;21.66092;21.30222;21.84017;20.4421;19.32097;18.26758;18.89567;18.35662;17.54998;16.69794;16.06624;15.1518;16.18273;15.35091;16.18059;21.75039;;;;;
MIO_T;GHG;CRF1;HU;40.27959;41.07668;43.36046;46.66882;48.64394;48.18862;52.97564;53.58973;55.10343;55.78199;56.36722;58.29219;55.4358;56.34191;54.43222;58.18535;57.69011;58.01603;58.91127;57.01742;57.72074;60.29693;59.51471;66.61727;68.08782;72.54252;74.70625;78.7937;78.24308;79.46664
MIO_T;GHG;CRF1;IE;35.00011;35.72689;36.91188;36.87168;40.35842;40.74186;45.21008;45.11515;45.15178;45.64887;43.82642;44.03467;43.40339;44.6272;42.52607;40.22796;38.81263;36.60519;35.49912;33.89312;32.98564;32.02118;31.8506;31.96397;31.11846;;;;;
MIO_T;GHG;CRF1;IS;1.67984;1.67445;1.68858;1.74006;1.82614;1.97707;2.04277;2.15813;2.05992;2.02573;2.04135;2.01925;2.02048;1.94924;2.00274;2.05115;1.98551;2.01161;1.99885;1.91103;1.86855;1.91511;1.8362;1.70898;1.73808;;;;;
