Lieu;Département;Série;Unité;Année;Valeur
Alsace;42;Dichloroéthane;t/an;1999;ND
Alsace;42;Dichloroéthane;t/an;2000;ND
Alsace;42;Dichloroéthane;t/an;2001;ND
Alsace;42;Dichloroéthane;t/an;2002;ND
Alsace;42;Dichloroéthane;t/an;2004;ND
Alsace;42;Dichloroéthane;t/an;2005;ND
Alsace;42;Dichloroéthane;t/an;2006;0.0
Alsace;42;Dichloroéthane;t/an;2007;0.0
Alsace;42;Dichloroéthane;t/an;2008;0.0
Alsace;42;Dichloroéthane;t/an;2009;0.0
Alsace;42;Acide cyanhydrique;t/an;1999;0.0
Alsace;42;Acide cyanhydrique;t/an;2000;0.0
Alsace;42;Acide cyanhydrique;t/an;2001;0.0
Alsace;42;Acide cyanhydrique;t/an;2002;0.0
Alsace;42;Acide cyanhydrique;t/an;2004;0.0
Alsace;42;Acide cyanhydrique;t/an;2005;0.0
Alsace;42;Acide cyanhydrique;t/an;2006;0.0
Alsace;42;Acide cyanhydrique;t/an;2007;0.0
Alsace;42;Acide cyanhydrique;t/an;2008;0.0
Alsace;42;Acide cyanhydrique;t/an;2009;0.0
Alsace;42;Ammoniac;t/an;1999;0.0
Alsace;42;Ammoniac;t/an;2000;0.0
Alsace;42;Ammoniac;t/an;2001;643.0
Alsace;42;Ammoniac;t/an;2002;615.0
Alsace;42;Ammoniac;t/an;2004;180.13
Alsace;42;Ammoniac;t/an;2005;138.522
Alsace;42;Ammoniac;t/an;2006;184.481
Alsace;42;Ammoniac;t/an;2007;176.294
Alsace;42;Ammoniac;t/an;2008;150.923
Alsace;42;Ammoniac;t/an;2009;182.198
Alsace;42;Arsenic;kg/an;1999;ND
Alsace;42;Arsenic;kg/an;2000;ND
Alsace;42;Arsenic;kg/an;2001;0.0
Alsace;42;Arsenic;kg/an;2002;0.0
Alsace;42;Arsenic;kg/an;2004;20.8
Alsace;42;Arsenic;kg/an;2005;64.6
Alsace;42;Arsenic;kg/an;2006;91.98
Alsace;42;Arsenic;kg/an;2007;50.6
Alsace;42;Arsenic;kg/an;2008;70.28
Alsace;42;Arsenic;kg/an;2009;59.656
Alsace;42;Benzène;t/an;1999;ND
Alsace;42;Benzène;t/an;2000;ND
Alsace;42;Benzène;t/an;2001;ND
Alsace;42;Benzène;t/an;2002;ND
Alsace;42;Benzène;t/an;2004;ND
Alsace;42;Benzène;t/an;2005;ND
Alsace;42;Benzène;t/an;2006;1.136
Alsace;42;Benzène;t/an;2007;3.085
Alsace;42;Benzène;t/an;2008;13.504
Alsace;42;Benzène;t/an;2009;13.22
Alsace;42;Cadmium;kg/an;1999;0.0
Alsace;42;Cadmium;kg/an;2000;0.0
Alsace;42;Cadmium;kg/an;2001;17.0
Alsace;42;Cadmium;kg/an;2002;66.5
Alsace;42;Cadmium;kg/an;2004;15.5
Alsace;42;Cadmium;kg/an;2005;0.0
Alsace;42;Cadmium;kg/an;2006;23.4
Alsace;42;Cadmium;kg/an;2007;10.1
Alsace;42;Cadmium;kg/an;2008;10.0
Alsace;42;Cadmium;kg/an;2009;44.082
Alsace;42;Chloroforme;kg/an;1999;ND
Alsace;42;Chloroforme;kg/an;2000;ND
Alsace;42;Chloroforme;kg/an;2001;ND
Alsace;42;Chloroforme;kg/an;2002;ND
Alsace;42;Chloroforme;kg/an;2004;ND
Alsace;42;Chloroforme;kg/an;2005;ND
Alsace;42;Chloroforme;kg/an;2006;7532.0
Alsace;42;Chloroforme;kg/an;2007;1987.0
Alsace;42;Chloroforme;kg/an;2008;1998.0
Alsace;42;Chloroforme;kg/an;2009;2091.0
Alsace;42;Chlorure d'hydrogène;t/an;1999;0.0
Alsace;42;Chlorure d'hydrogène;t/an;2000;0.0
Alsace;42;Chlorure d'hydrogène;t/an;2001;114.0
Alsace;42;Chlorure d'hydrogène;t/an;2002;26.4
Alsace;42;Chlorure d'hydrogène;t/an;2004;0.0
Alsace;42;Chlorure d'hydrogène;t/an;2005;0.0
Alsace;42;Chlorure d'hydrogène;t/an;2006;0.0
Alsace;42;Chlorure d'hydrogène;t/an;2007;0.0
Alsace;42;Chlorure d'hydrogène;t/an;2008;0.0
Alsace;42;Chlorure d'hydrogène;t/an;2009;0.0
Alsace;42;Chlorure de vinyle monomère;t/an;1999;0.0
Alsace;42;Chlorure de vinyle monomère;t/an;2000;0.0
Alsace;42;Chlorure de vinyle monomère;t/an;2001;0.0
Alsace;42;Chlorure de vinyle monomère;t/an;2002;0.0
Alsace;42;Chlorure de vinyle monomère;t/an;2004;0.0
Alsace;42;Chlorure de vinyle monomère;t/an;2005;0.0
Alsace;42;Chlorure de vinyle monomère;t/an;2006;0.0
Alsace;42;Chlorure de vinyle monomère;t/an;2007;0.0
Alsace;42;Chlorure de vinyle monomère;t/an;2008;0.0
Alsace;42;Chlorure de vinyle monomère;t/an;2009;0.0
Alsace;42;Composés Organiques Volatils non méthaniques;t/an;1999;4780.0
Alsace;42;Composés Organiques Volatils non méthaniques;t/an;2000;5801.0
Alsace;42;Composés Organiques Volatils non méthaniques;t/an;2001;9756.0
Alsace;42;Composés Organiques Volatils non méthaniques;t/an;2002;8816.0
Alsace;42;Composés Organiques Volatils non méthaniques;t/an;2004;7627.237
Alsace;42;Composés Organiques Volatils non méthaniques;t/an;2005;5078.023
