Lieu;Département;Série;Unité;Année;Valeur
ALSACE;42;AI08Ammoniac - Quantités annuelles émises;t/an;1999;0.0
ALSACE;42;AI08Ammoniac - Nombre d'établissements concernés;Nombre;1999;0.0
ALSACE;42;AI08Ammoniac - Seuil de collecte des données;t/an;1999;100.0
ALSACE;42;AI08Cadmium - Quantités annuelles émises;kg/an;1999;0.0
ALSACE;42;AI08Cadmium - Nombre d'établissements concernés;Nombre;1999;0.0
ALSACE;42;AI08Cadmium - Seuil de collecte des données;kg/an;1999;30.0
ALSACE;42;AI08Monoxyde de carbone (CO) - Quantités annuelles émises;t/an;1999;0.0
ALSACE;42;AI08Monoxyde de carbone - Nombre d'établissements concernés;Nombre;1999;0.0
ALSACE;42;AI08Monoxyde de carbone - Seuil de collecte des données;t/an;1999;500.0
ALSACE;42;AI08Composés Organiques Volatils (COV) non méthaniques - Quantités annuelles émises;t/an;1999;4780.0
ALSACE;42;AI08Composés Organiques Volatils (COV) non méthaniques - Nombre d'établissements concernés;Nombre;1999;2.0
ALSACE;42;AI08Composés Organiques Volatils (COV) non méthaniques - Seuil de collecte des données;t/an;1999;1000.0
ALSACE;42;AI08Fluorure d'hydrogène (HF) - Quantités annuelles émises;t/an;1999;0.0
ALSACE;42;AI08Fluorure d'hydrogène (HF) - Nombre d'établissements concernés;Nombre;1999;0.0
ALSACE;42;AI08Fluorure d'hydrogène (HF) - Seuil de collecte des données;t/an;1999;10.0
ALSACE;42;AI08Sulfure d'hydrogène (H2S) - Quantités annuelles émises;t/an;1999;0.0
ALSACE;42;AI08Sulfure d'hydrogène (H2S) - Nombre d'établissements concernés;Nombre;1999;0.0
ALSACE;42;AI08Sulfure d'hydrogène (H2S) - Seuil de collecte des données;t/an;1999;3.0
ALSACE;42;AI08Chlorure d'hydrogène - Quantités annuelles émises;t/an;1999;0.0
ALSACE;42;AI08Chlorure d'hydrogène - Nombre d'établissements concernés;Nombre;1999;0.0
ALSACE;42;AI08Chlorure d'hydrogène - Seuil de collecte des données;t/an;1999;250.0
ALSACE;42;AI08Acide cyanhydrique (HCN) - Quantités annuelles émises;t/an;1999;0.0
ALSACE;42;AI08Acide cyanhydrique (HCN) - Nombre d'établissements concernés;Nombre;1999;0.0
ALSACE;42;AI08Acide cyanhydrique (HCN) - Seuil de collecte des données;t/an;1999;5.0
ALSACE;42;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;1999;36.5
ALSACE;42;AI08Mercure (et ses composants) - Nombre d'établissements concernés;Nombre;1999;1.0
ALSACE;42;AI08Mercure (et ses composants) - Seuil de collecte des données;kg/an;1999;30.0
ALSACE;42;AI08Chlorure de vinyle monomère (MVC) - Quantités annuelles émises;t/an;1999;0.0
ALSACE;42;AI08Chlorure de vinyle monomère (MVC) - Nombre d'étab. concernés;Nombre;1999;0.0
ALSACE;42;AI08Chlorure de vinyle monomère (MVC) - Seuil de collecte des données;t/an;1999;1.0
ALSACE;42;AI08Oxyde d'azote (NOX y compris NO2) - Quantités annuelles émises;t/an;1999;18515.0
ALSACE;42;AI08Oxyde d'azote (NOX y compris NO2) - Nombre d'établissements concernés;Nombre;1999;2.0
ALSACE;42;AI08Oxyde d'azote (NOX y compris NO2) - Seuil de collecte des données;t/an;1999;2000.0
ALSACE;42;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;1999;324.0
ALSACE;42;AI08Plomb (et ses composés) - Nombre d'établissements concernés;Nombre;1999;1.0
ALSACE;42;AI08Plomb (et ses composés) - Seuil de collecte des données;kg/an;1999;300.0
ALSACE;42;AI08Poussières - Quantités annuelles émises;t/an;1999;0.0
ALSACE;42;AI08Poussières - Nombre d'établissements concernés;Nombre;1999;0.0
ALSACE;42;AI08Poussières - Seuil de collecte des données;t/an;1999;300.0
ALSACE;42;AI08Oxydes de soufre (SOX) - Quantités annuelles émises;t/an;1999;0.0
ALSACE;42;AI08Oxydes de soufre (SOX) - Nombre d'établissements concernés;Nombre;1999;0.0
ALSACE;42;AI08Oxydes de soufre (SOX) - Seuil de collecte des données;t/an;1999;5000.0
ALSACE;42;AI08Arsenic - Quantités annuelles émises;kg/an;1999;ND
ALSACE;42;AI08Arsenic - Nombre d'établissements concernés;Nombre;1999;ND
ALSACE;42;AI08Arsenic - Seuil de collecte des données;kg/an;1999;ND
ALSACE;42;AI08Dioxyde de carbone (CO2) - Quantités annuelles émises;t/an;1999;ND
ALSACE;42;AI08Dioxyde de carbone - Nombre d'établissements concernés;Nombre;1999;ND
ALSACE;42;AI08Dioxyde de carbone - Seuil de collecte des données;t/an;1999;ND
ALSACE;42;AI08Dichlorométhane (DCM) - Quantités annuelles émises;t/an;1999;ND
ALSACE;42;AI08Dichlorométhane - Nombre d'établissements concernés;Nombre;1999;ND
ALSACE;42;AI08Dichlorométhane - Seuil de collecte des données;t/an;1999;ND
ALSACE;42;AI08Protoxyde d'azote (N2O) - Quantités annuelles émises;t/an;1999;ND
ALSACE;42;AI08Protoxyde d'azote - Nombre d'établissements concernés;Nombre;1999;ND
ALSACE;42;AI08Protoxyde d'azote - Seuil de collecte des données;t/an;1999;ND
ALSACE;42;AI08Benzène - Quantités annuelles émises;t/an;1999;ND
ALSACE;42;AI08Benzène - Nombre d'établissements concernés;Nombre;1999;ND
ALSACE;42;AI08Benzène - Seuil de collecte des données;t/an;1999;ND
ALSACE;42;AI08Perchloroéthylène (PER) - Quantités annuelles émises;t/an;1999;ND
ALSACE;42;AI08Perchloroéthylène - Nombre d'établissements concernés;Nombre;1999;ND
