Lieu;Série;Unité;Année;Valeur
Alsace;Prix des Terres > 70 ares;€;1999;5 800
Aquitaine;Prix des Terres > 70 ares;€;1999;4 080
Auvergne;Prix des Terres > 70 ares;€;1999;2 820
Basse-Normandie;Prix des Terres > 70 ares;€;1999;3 620
Bourgogne;Prix des Terres > 70 ares;€;1999;2 220
Bretagne;Prix des Terres > 70 ares;€;1999;3 120
Centre;Prix des Terres > 70 ares;€;1999;3 180
Champagne-Ardenne;Prix des Terres > 70 ares;€;1999;4 300
Franche-Comté;Prix des Terres > 70 ares;€;1999;2 030
Haute-Normandie;Prix des Terres > 70 ares;€;1999;4 610
Ile-de-France;Prix des Terres > 70 ares;€;1999;5 050
Languedoc-Roussillon;Prix des Terres > 70 ares;€;1999;3 590
Limousin;Prix des Terres > 70 ares;€;1999;2 070
Lorraine;Prix des Terres > 70 ares;€;1999;2 700
Midi-Pyrénées;Prix des Terres > 70 ares;€;1999;3 540
Nord-Pas-de-Calais;Prix des Terres > 70 ares;€;1999;5 400
Pays de la Loire;Prix des Terres > 70 ares;€;1999;2 200
Picardie;Prix des Terres > 70 ares;€;1999;4 440
Poitou-Charentes;Prix des Terres > 70 ares;€;1999;2 620
Provence-Alpes-Côte d'Azur;Prix des Terres > 70 ares;€;1999;5 940
Rhône-Alpes;Prix des Terres > 70 ares;€;1999;3 280
Alsace;Prix des Terres > 70 ares;€;2000;5 800
Aquitaine;Prix des Terres > 70 ares;€;2000;4 520
Auvergne;Prix des Terres > 70 ares;€;2000;2 630
Basse-Normandie;Prix des Terres > 70 ares;€;2000;3 720
Bourgogne;Prix des Terres > 70 ares;€;2000;2 410
Bretagne;Prix des Terres > 70 ares;€;2000;3 120
Centre;Prix des Terres > 70 ares;€;2000;3 360
Champagne-Ardenne;Prix des Terres > 70 ares;€;2000;4 390
Franche-Comté;Prix des Terres > 70 ares;€;2000;2 020
Haute-Normandie;Prix des Terres > 70 ares;€;2000;4 890
Ile-de-France;Prix des Terres > 70 ares;€;2000;5 550
Languedoc-Roussillon;Prix des Terres > 70 ares;€;2000;3 510
Limousin;Prix des Terres > 70 ares;€;2000;2 090
Lorraine;Prix des Terres > 70 ares;€;2000;2 930
Midi-Pyrénées;Prix des Terres > 70 ares;€;2000;3 800
Nord-Pas-de-Calais;Prix des Terres > 70 ares;€;2000;4 720
Pays de la Loire;Prix des Terres > 70 ares;€;2000;2 300
Picardie;Prix des Terres > 70 ares;€;2000;4 820
Poitou-Charentes;Prix des Terres > 70 ares;€;2000;2 930
Provence-Alpes-Côte d'Azur;Prix des Terres > 70 ares;€;2000;6 210
Rhône-Alpes;Prix des Terres > 70 ares;€;2000;3 340
Alsace;Prix des Terres > 70 ares;€;2001;5 480
Aquitaine;Prix des Terres > 70 ares;€;2001;4 930
Auvergne;Prix des Terres > 70 ares;€;2001;3 260
Basse-Normandie;Prix des Terres > 70 ares;€;2001;3 890
Bourgogne;Prix des Terres > 70 ares;€;2001;2 500
Bretagne;Prix des Terres > 70 ares;€;2001;3 460
Centre;Prix des Terres > 70 ares;€;2001;3 530
Champagne-Ardenne;Prix des Terres > 70 ares;€;2001;4 530
Franche-Comté;Prix des Terres > 70 ares;€;2001;2 410
Haute-Normandie;Prix des Terres > 70 ares;€;2001;5 100
Ile-de-France;Prix des Terres > 70 ares;€;2001;5 450
Languedoc-Roussillon;Prix des Terres > 70 ares;€;2001;3 830
Limousin;Prix des Terres > 70 ares;€;2001;2 100
Lorraine;Prix des Terres > 70 ares;€;2001;3 100
Midi-Pyrénées;Prix des Terres > 70 ares;€;2001;3 810
Nord-Pas-de-Calais;Prix des Terres > 70 ares;€;2001;5 260
Pays de la Loire;Prix des Terres > 70 ares;€;2001;2 380
Picardie;Prix des Terres > 70 ares;€;2001;4 930
Poitou-Charentes;Prix des Terres > 70 ares;€;2001;2 910
Provence-Alpes-Côte d'Azur;Prix des Terres > 70 ares;€;2001;7 130
Rhône-Alpes;Prix des Terres > 70 ares;€;2001;3 500
Alsace;Prix des Terres > 70 ares;€;2002;5 510
Aquitaine;Prix des Terres > 70 ares;€;2002;5 240
Auvergne;Prix des Terres > 70 ares;€;2002;3 230
Basse-Normandie;Prix des Terres > 70 ares;€;2002;4 140
Bourgogne;Prix des Terres > 70 ares;€;2002;2 600
Bretagne;Prix des Terres > 70 ares;€;2002;3 600
Centre;Prix des Terres > 70 ares;€;2002;3 690
Champagne-Ardenne;Prix des Terres > 70 ares;€;2002;5 020
Franche-Comté;Prix des Terres > 70 ares;€;2002;2 180
Haute-Normandie;Prix des Terres > 70 ares;€;2002;5 120
Ile-de-France;Prix des Terres > 70 ares;€;2002;5 500
Languedoc-Roussillon;Prix des Terres > 70 ares;€;2002;4 800
Limousin;Prix des Terres > 70 ares;€;2002;2 340
Lorraine;Prix des Terres > 70 ares;€;2002;3 200
Midi-Pyrénées;Prix des Terres > 70 ares;€;2002;4 300
Nord-Pas-de-Calais;Prix des Terres > 70 ares;€;2002;6 200
Pays de la Loire;Prix des Terres > 70 ares;€;2002;2 550
Picardie;Prix des Terres > 70 ares;€;2002;5 230
Poitou-Charentes;Prix des Terres > 70 ares;€;2002;3 060
Provence-Alpes-Côte d'Azur;Prix des Terres > 70 ares;€;2002;7 610
Rhône-Alpes;Prix des Terres > 70 ares;€;2002;4 110
Alsace;Prix des Terres > 70 ares;€;2003;5 700
Aquitaine;Prix des Terres > 70 ares;€;2003;5 240
Auvergne;Prix des Terres > 70 ares;€;2003;3 650
Basse-Normandie;Prix des Terres > 70 ares;€;2003;4 430
Bourgogne;Prix des Terres > 70 ares;€;2003;2 730
Bretagne;Prix des Terres > 70 ares;€;2003;3 800
Centre;Prix des Terres > 70 ares;€;2003;3 810
Champagne-Ardenne;Prix des Terres > 70 ares;€;2003;4 960
Franche-Comté;Prix des Terres > 70 ares;€;2003;2 330
Haute-Normandie;Prix des Terres > 70 ares;€;2003;5 240
Ile-de-France;Prix des Terres > 70 ares;€;2003;5 000
Languedoc-Roussillon;Prix des Terres > 70 ares;€;2003;4 780
Limousin;Prix des Terres > 70 ares;€;2003;2 550
Lorraine;Prix des Terres > 70 ares;€;2003;3 340
Midi-Pyrénées;Prix des Terres > 70 ares;€;2003;4 860
Nord-Pas-de-Calais;Prix des Terres > 70 ares;€;2003;6 500
Pays de la Loire;Prix des Terres > 70 ares;€;2003;2 550
Picardie;Prix des Terres > 70 ares;€;2003;5 270
Poitou-Charentes;Prix des Terres > 70 ares;€;2003;3 120
Provence-Alpes-Côte d'Azur;Prix des Terres > 70 ares;€;2003;8 510
