Lieu	N° région, département	Série	Unité	2006	2012
AIN	01	OC30111-Surface du tissu urbain continu	ha	436.0	445.0
AIN	01	OC30112-Surface du tissu urbain discontinu	ha	29228.0	29714.0
AIN	01	OC30121-Surface des zones industrielles ou commerciales et installations publiques	ha	5218.0	5726.0
AIN	01	OC30122-Surface des réseaux routiers et ferroviaires et espaces associés	ha	1286.0	1506.0
AIN	01	OC30123-Surface des zones portuaires	ha	0.0	0.0
AIN	01	OC30124-Surface des aéroports	ha	312.0	328.0
AIN	01	OC30131-Surface consacrée à l'extraction de matériaux	ha	1203.0	1304.0
AIN	01	OC30132-Surface occupée par des décharges	ha	0.0	0.0
AIN	01	OC30133-Surface des chantiers	ha	186.0	32.0
AIN	01	OC30141-Surface des espaces verts urbains	ha	45.0	45.0
AIN	01	OC30142-Surface occupée par des équipements sportifs et de loisirs	ha	1969.0	2078.0
AIN	01	OC302111-Surface des terres arables hors périmètres d'irrigation	ha	133219.0	132921.0
AIN	01	OC302112-Surface des cannes à sucre	ha	0.0	0.0
AIN	01	OC30212-Surface des périmètres irrigués en permanence	ha	0.0	0.0
AIN	01	OC30213-Surface des rizières	ha	0.0	0.0
AIN	01	OC30221-Surface des vignobles	ha	807.0	807.0
AIN	01	OC302221-Surface des vergers et petits fruits	ha	138.0	138.0
AIN	01	OC302222-Surface des bananeraies	ha	0.0	0.0
AIN	01	OC302223-Surface des palmeraies	ha	0.0	0.0
AIN	01	OC302224-Surface des caféiers	ha	0.0	0.0
AIN	01	OC30223-Surface des oliveraies	ha	0.0	0.0
AIN	01	OC30231-Surface des prairies et autres surfaces toujours en herbe à usage agricole	ha	91499.0	90732.0
AIN	01	OC30241-Surface des cultures annuelles associées à des cultures permanentes	ha	0.0	0.0
AIN	01	OC30242-Surface des systèmes culturaux et parcellaires complexes	ha	68585.0	68336.0
AIN	01	OC30243-Surface essentiellement agricole, interrompue par des espaces naturels importants	ha	17730.0	17790.0
AIN	01	OC30244-Surface des territoires agroforestiers	ha	0.0	0.0
AIN	01	OC303111-Surface des forêts de feuillus	ha	122263.0	122194.0
AIN	01	OC303111-Surface des mangroves	ha	0.0	0.0
AIN	01	OC30312-Surface des forêts de conifères	ha	26124.0	26037.0
AIN	01	OC30313-Surface des forêts mélangées	ha	43162.0	43208.0
AIN	01	OC30321-Surface des pelouses et pâturages naturels	ha	9791.0	9791.0
AIN	01	OC30322-Surface des landes et broussailles	ha	624.0	624.0
AIN	01	OC30323-Surface de la végétation sclérophylle	ha	0.0	0.0
AIN	01	OC30324-Surface des forêts et végétations arbustives en mutation	ha	5195.0	5191.0
AIN	01	OC30331-Surface des plages, dunes, sables	ha	0.0	0.0
AIN	01	OC30332-Surface des roches nues	ha	168.0	168.0
AIN	01	OC30333-Surface de végétation clairsemée	ha	477.0	477.0
AIN	01	OC30334-Surface des zones incendiées	ha	0.0	0.0
AIN	01	OC30335-Surface des glaciers et neiges éternelles	ha	0.0	0.0
AIN	01	OC30411-Surface des marais intérieurs	ha	1597.0	1597.0
AIN	01	OC30412-Surface des tourbières	ha	0.0	0.0
AIN	01	OC30421-Surface des marais maritimes	ha	0.0	0.0
AIN	01	OC30422-Surface des marais salants	ha	0.0	0.0
AIN	01	OC30423-Surface des zones intertidales	ha	0.0	0.0
AIN	01	OC305111-Surface des cours et voies d'eau	ha	4757.0	4757.0
AIN	01	OC305112-Surface des cours et voies d'eau temporaires	ha	0.0	0.0
AIN	01	OC30512-Surface des plans d'eau	ha	11486.0	11557.0
AIN	01	OC30521-Surface des lagunes littorales	ha	0.0	0.0
AIN	01	OC30522-Surface des estuaires	ha	0.0	0.0
AIN	01	OC30523-Surface des mers et océans	ha	0.0	0.0
AIN	01	OC309999-Surface non affectée/renseignée	ha	0.0	0.0
AIN	01	OC30Total de la surface des territoires artificialisés	ha	39883.0	41178.0
AIN	01	OC30Total de la surface des territoires agricoles	ha	311978.0	310724.0
AIN	01	OC30Total de la surface des forêts et milieux semi-naturels	ha	207804.0	207690.0
AIN	01	OC30Total de la surface des zones humides	ha	1597.0	1597.0
AIN	01	OC30Total de la surface en eau	ha	16243.0	16314.0
AIN	01	OC30Surface totale	ha	577504.0	577504.0
AISNE	02	OC30111-Surface du tissu urbain continu	ha	550.0	550.0
AISNE	02	OC30112-Surface du tissu urbain discontinu	ha	34551.0	34768.0
AISNE	02	OC30121-Surface des zones industrielles ou commerciales et installations publiques	ha	2975.0	3124.0
AISNE	02	OC30122-Surface des réseaux routiers et ferroviaires et espaces associés	ha	425.0	425.0
AISNE	02	OC30123-Surface des zones portuaires	ha	0.0	0.0
AISNE	02	OC30124-Surface des aéroports	ha	583.0	583.0
AISNE	02	OC30131-Surface consacrée à l'extraction de matériaux	ha	1276.0	1194.0
AISNE	02	OC30132-Surface occupée par des décharges	ha	41.0	41.0
AISNE	02	OC30133-Surface des chantiers	ha	168.0	89.0
AISNE	02	OC30141-Surface des espaces verts urbains	ha	110.0	110.0
AISNE	02	OC30142-Surface occupée par des équipements sportifs et de loisirs	ha	949.0	1035.0
AISNE	02	OC302111-Surface des terres arables hors périmètres d'irrigation	ha	443831.0	443689.0
AISNE	02	OC302112-Surface des cannes à sucre	ha	0.0	0.0
AISNE	02	OC30212-Surface des périmètres irrigués en permanence	ha	0.0	0.0
AISNE	02	OC30213-Surface des rizières	ha	0.0	0.0
AISNE	02	OC30221-Surface des vignobles	ha	3685.0	3685.0
AISNE	02	OC302221-Surface des vergers et petits fruits	ha	263.0	252.0
AISNE	02	OC302222-Surface des bananeraies	ha	0.0	0.0
AISNE	02	OC302223-Surface des palmeraies	ha	0.0	0.0
AISNE	02	OC302224-Surface des caféiers	ha	0.0	0.0
AISNE	02	OC30223-Surface des oliveraies	ha	0.0	0.0
AISNE	02	OC30231-Surface des prairies et autres surfaces toujours en herbe à usage agricole	ha	80965.0	80583.0
AISNE	02	OC30241-Surface des cultures annuelles associées à des cultures permanentes	ha	0.0	0.0
AISNE	02	OC30242-Surface des systèmes culturaux et parcellaires complexes	ha	10448.0	10443.0
AISNE	02	OC30243-Surface essentiellement agricole, interrompue par des espaces naturels importants	ha	10336.0	10413.0
AISNE	02	OC30244-Surface des territoires agroforestiers	ha	0.0	0.0
AISNE	02	OC303111-Surface des forêts de feuillus	ha	133090.0	134816.0
AISNE	02	OC303111-Surface des mangroves	ha	0.0	0.0
AISNE	02	OC30312-Surface des forêts de conifères	ha	3477.0	3384.0
AISNE	02	OC30313-Surface des forêts mélangées	ha	2874.0	2759.0
AISNE	02	OC30321-Surface des pelouses et pâturages naturels	ha	2724.0	2526.0
