Lieu	N° région, département	Série	Unité	1990	1992	1995	1997	1999	2002	2004	2005	2006	2007	2008	2009
ALSACE	42	EN10Consommation totale d'énergie par le résidentiel tertiaire (RT)	ktep	1496.0	1673.0	1939.0	1929.0	2061.0	2120.0	2170.0	2245.0	2249.0	2005.0	2096.0	2098.0
ALSACE	42	EN10dont consommation totale dans le résidentiel	ktep	1055.0	1182.0	1328.0	1321.0	1401.0	1414.0	1429.0	1443.0	1480.0	1275.0	1349.0	1351.0
ALSACE	42	EN10dont consommation totale dans le tertiaire	ktep	440.0	491.0	611.0	608.0	660.0	707.0	741.0	802.0	769.0	730.0	748.0	747.0
ALSACE	42	EN10dont consommation totale hors chauffage urbain	ktep	1496.0	1673.0	1939.0	1929.0	1969.0	2066.0	2111.0	2183.0	2192.0	1953.0	2040.0	2047.0
ALSACE	42	EN10Consommation de charbon dans le RT	ktep	ND	ND	ND	ND	19.0	2.0	ND	ND	ND	ND	ND	ND
ALSACE	42	EN10Consommation de produits pétroliers dans le RT	ktep	694.0	743.0	752.0	724.0	708.0	695.0	628.0	634.0	650.0	511.0	532.0	521.0
ALSACE	42	EN10Consommation de gaz naturel et de réseaux dans le RT	ktep	119.0	154.0	428.0	428.0	484.0	679.0	658.0	710.0	690.0	620.0	633.0	632.0
ALSACE	42	EN10Consommation de gaz naturel et de réseaux dans le RT	GWh	1551.0	1998.0	5553.0	5564.0	6281.0	8823.0	8551.0	9222.0	8967.0	8056.0	8226.0	8202.0
ALSACE	42	EN10dont gaz naturel et de réseaux dans le résidentiel	GWh	ND	ND	ND	ND	ND	5162.0	5422.0	5443.0	5788.0	4812.0	4964.0	4875.0
ALSACE	42	EN10dont gaz naturel et de réseaux dans le tertiaire	GWh	ND	ND	ND	ND	ND	3660.0	3129.0	3780.0	3178.0	3243.0	3262.0	3327.0
ALSACE	42	EN10Consommation d'électricité dans le RT	ktep	428.0	483.0	511.0	541.0	566.0	523.0	627.0	637.0	654.0	631.0	666.0	671.0
ALSACE	42	EN10Consommation d'électricité dans le RT	GWh	4979.0	5617.0	5947.0	6293.0	6583.0	6076.0	7285.0	7406.0	7601.0	7337.0	7748.0	7808.0
ALSACE	42	EN10dont électricité basse tension dans le résidentiel (domestique et agricole)	GWh	2741.0	3094.0	3122.0	3409.0	3592.0	3806.0	3949.0	3996.0	4093.0	3855.0	4173.0	4255.0
ALSACE	42	EN10dont électricité haute et basse tension dans le tertiaire	GWh	2238.0	2523.0	2825.0	2884.0	2990.0	3198.0	3336.0	3410.0	3508.0	3482.0	3575.0	3553.0
ALSACE	42	EN10dont électricité basse tension usages professionnels et divers	GWh	810.0	880.0	898.0	887.0	919.0	890.0	871.0	897.0	960.0	922.0	943.0	989.0
ALSACE	42	EN10dont électricité basse tension services publics et éclairages publics	GWh	ND	ND	ND	236.0	245.0	196.0	163.0	166.0	164.0	172.0	163.0	170.0
ALSACE	42	EN10dont électricité haute tension dans le tertiaire	GWh	1428.0	1643.0	1927.0	1997.0	2072.0	2210.0	2302.0	2347.0	2384.0	2388.0	2469.0	2394.0
ALSACE	42	EN10Consommation de bois-énergie des ménages	ktep	254.0	293.0	248.0	236.0	230.0	171.0	198.0	202.0	198.0	190.0	208.0	222.0
ALSACE	42	EN10Consommation de chauffage urbain	ktep	ND	ND	ND	ND	73.0	53.0	59.0	62.0	57.0	52.0	56.0	51.0
AQUITAINE	72	EN10Consommation totale d'énergie par le résidentiel tertiaire (RT)	ktep	2352.0	2725.0	2882.0	2924.0	3435.0	3299.0	3827.0	3726.0	3349.0	3275.0	3623.0	3632.0
AQUITAINE	72	EN10dont consommation totale dans le résidentiel	ktep	1719.0	1994.0	2042.0	2074.0	2440.0	2456.0	2718.0	2638.0	2378.0	2258.0	2462.0	2456.0
AQUITAINE	72	EN10dont consommation totale dans le tertiaire	ktep	634.0	731.0	840.0	851.0	995.0	843.0	1109.0	1088.0	971.0	1017.0	1161.0	1176.0
AQUITAINE	72	EN10dont consommation totale hors chauffage urbain	ktep	2352.0	2725.0	2882.0	2924.0	3382.0	3280.0	3809.0	3708.0	3332.0	3258.0	3607.0	3613.0
AQUITAINE	72	EN10Consommation de charbon dans le RT	ktep	ND	ND	ND	ND	22.0	1.0	ND	ND	ND	ND	ND	ND
AQUITAINE	72	EN10Consommation de produits pétroliers dans le RT	ktep	776.0	842.0	851.0	853.0	1030.0	1009.0	1201.0	1082.0	755.0	762.0	955.0	977.0
AQUITAINE	72	EN10Consommation de gaz naturel et de réseaux dans le RT	ktep	375.0	486.0	700.0	724.0	774.0	873.0	970.0	973.0	922.0	843.0	922.0	917.0
AQUITAINE	72	EN10Consommation de gaz naturel et de réseaux dans le RT	GWh	4865.0	6315.0	9094.0	9406.0	10056.0	11335.0	12602.0	12631.0	11980.0	10949.0	11970.0	11903.0
AQUITAINE	72	EN10dont gaz naturel et de réseaux dans le résidentiel	GWh	ND	ND	ND	ND	ND	7788.0	9169.0	9260.0	9129.0	7691.0	8033.0	7888.0
AQUITAINE	72	EN10dont gaz naturel et de réseaux dans le tertiaire	GWh	ND	ND	ND	ND	ND	3546.0	3434.0	3371.0	2851.0	3258.0	3937.0	4015.0
AQUITAINE	72	EN10Consommation d'électricité dans le RT	ktep	690.0	807.0	831.0	871.0	978.0	906.0	1167.0	1205.0	1225.0	1244.0	1315.0	1315.0
AQUITAINE	72	EN10Consommation d'électricité dans le RT	GWh	8021.0	9387.0	9668.0	10128.0	11371.0	10541.0	13571.0	14015.0	14243.0	14463.0	15287.0	15287.0
AQUITAINE	72	EN10dont électricité basse tension dans le résidentiel (domestique et agricole)	GWh	4812.0	5710.0	5576.0	6020.0	6750.0	7518.0	8030.0	8244.0	8228.0	8311.0	8745.0	8745.0
AQUITAINE	72	EN10dont électricité haute et basse tension dans le tertiaire	GWh	3209.0	3677.0	4092.0	4109.0	4621.0	5173.0	5542.0	5771.0	6014.0	6152.0	6543.0	6543.0
AQUITAINE	72	EN10dont électricité basse tension usages professionnels et divers	GWh	1433.0	1548.0	1516.0	1467.0	1651.0	1624.0	1607.0	1707.0	1881.0	1954.0	2232.0	2232.0
AQUITAINE	72	EN10dont électricité basse tension services publics et éclairages publics	GWh	ND	ND	ND	439.0	483.0	381.0	313.0	336.0	316.0	332.0	305.0	305.0
AQUITAINE	72	EN10dont électricité haute tension dans le tertiaire	GWh	1777.0	2129.0	2576.0	2641.0	2969.0	3361.0	3622.0	3728.0	3817.0	3867.0	4006.0	4006.0
AQUITAINE	72	EN10Consommation de bois-énergie des ménages	ktep	512.0	590.0	500.0	476.0	622.0	493.0	471.0	448.0	429.0	409.0	416.0	404.0
AQUITAINE	72	EN10Consommation de chauffage urbain	ktep	ND	ND	ND	ND	30.0	18.0	18.0	18.0	17.0	16.0	16.0	19.0
AUVERGNE	83	EN10Consommation totale d'énergie par le résidentiel tertiaire (RT)	ktep	1254.0	1348.0	1333.0	1348.0	1466.0	1412.0	1595.0	1484.0	1433.0	1394.0	1475.0	1452.0
AUVERGNE	83	EN10dont consommation totale dans le résidentiel	ktep	947.0	1027.0	990.0	1053.0	1043.0	1062.0	1164.0	1076.0	1061.0	1005.0	1041.0	1023.0
AUVERGNE	83	EN10dont consommation totale dans le tertiaire	ktep	306.0	321.0	342.0	295.0	424.0	350.0	431.0	408.0	372.0	389.0	434.0	429.0
AUVERGNE	83	EN10dont consommation totale hors chauffage urbain	ktep	1254.0	1348.0	1333.0	1348.0	1434.0	1395.0	1583.0	1472.0	1421.0	1381.0	1460.0	1439.0
AUVERGNE	83	EN10Consommation de charbon dans le RT	ktep	ND	ND	ND	ND	23.0	5.0	ND	ND	ND	ND	ND	ND
AUVERGNE	83	EN10Consommation de produits pétroliers dans le RT	ktep	313.0	275.0	332.0	332.0	390.0	363.0	389.0	275.0	283.0	257.0	291.0	261.0
AUVERGNE	83	EN10Consommation de gaz naturel et de réseaux dans le RT	ktep	273.0	323.0	304.0	320.0	352.0	387.0	441.0	438.0	389.0	386.0	386.0	384.0
AUVERGNE	83	EN10Consommation de gaz naturel et de réseaux dans le RT	GWh	3546.0	4195.0	3945.0	4152.0	4573.0	5028.0	5728.0	5685.0	5053.0	5010.0	5016.0	4982.0
