Lieu;Département;Série;Unité;Année;Valeur
ALSACE;42;AI08Cadmium - Quantités annuelles émises;kg/an;1999;0.0
ALSACE;42;AI08Cadmium - Quantités annuelles émises;kg/an;2000;0.0
ALSACE;42;AI08Cadmium - Quantités annuelles émises;kg/an;2001;17.0
ALSACE;42;AI08Cadmium - Quantités annuelles émises;kg/an;2002;66.5
ALSACE;42;AI08Cadmium - Quantités annuelles émises;kg/an;2004;15.5
ALSACE;42;AI08Cadmium - Quantités annuelles émises;kg/an;2005;0.0
ALSACE;42;AI08Cadmium - Quantités annuelles émises;kg/an;2006;23.4
ALSACE;42;AI08Cadmium - Quantités annuelles émises;kg/an;2007;10.1
ALSACE;42;AI08Cadmium - Quantités annuelles émises;kg/an;2008;10.0
ALSACE;42;AI08Cadmium - Quantités annuelles émises;kg/an;2009;44.082
AQUITAINE;72;AI08Cadmium - Quantités annuelles émises;kg/an;1999;156.2
AQUITAINE;72;AI08Cadmium - Quantités annuelles émises;kg/an;2000;182.23
AQUITAINE;72;AI08Cadmium - Quantités annuelles émises;kg/an;2001;55.0
AQUITAINE;72;AI08Cadmium - Quantités annuelles émises;kg/an;2002;19.0
AQUITAINE;72;AI08Cadmium - Quantités annuelles émises;kg/an;2004;391.96
AQUITAINE;72;AI08Cadmium - Quantités annuelles émises;kg/an;2005;304.3
AQUITAINE;72;AI08Cadmium - Quantités annuelles émises;kg/an;2006;62.0
AQUITAINE;72;AI08Cadmium - Quantités annuelles émises;kg/an;2007;76.8
AQUITAINE;72;AI08Cadmium - Quantités annuelles émises;kg/an;2008;45.0
AQUITAINE;72;AI08Cadmium - Quantités annuelles émises;kg/an;2009;47.11
AUVERGNE;83;AI08Cadmium - Quantités annuelles émises;kg/an;1999;0.0
AUVERGNE;83;AI08Cadmium - Quantités annuelles émises;kg/an;2000;40.1
AUVERGNE;83;AI08Cadmium - Quantités annuelles émises;kg/an;2001;0.0
AUVERGNE;83;AI08Cadmium - Quantités annuelles émises;kg/an;2002;0.0
AUVERGNE;83;AI08Cadmium - Quantités annuelles émises;kg/an;2004;38.49
AUVERGNE;83;AI08Cadmium - Quantités annuelles émises;kg/an;2005;130.58
AUVERGNE;83;AI08Cadmium - Quantités annuelles émises;kg/an;2006;133.33
AUVERGNE;83;AI08Cadmium - Quantités annuelles émises;kg/an;2007;23.0
AUVERGNE;83;AI08Cadmium - Quantités annuelles émises;kg/an;2008;0.0
AUVERGNE;83;AI08Cadmium - Quantités annuelles émises;kg/an;2009;0.0
BASSE NORMANDIE;25;AI08Cadmium - Quantités annuelles émises;kg/an;1999;0.0
BASSE NORMANDIE;25;AI08Cadmium - Quantités annuelles émises;kg/an;2000;40.3
BASSE NORMANDIE;25;AI08Cadmium - Quantités annuelles émises;kg/an;2001;0.0
BASSE NORMANDIE;25;AI08Cadmium - Quantités annuelles émises;kg/an;2002;38.0
BASSE NORMANDIE;25;AI08Cadmium - Quantités annuelles émises;kg/an;2004;12.3
BASSE NORMANDIE;25;AI08Cadmium - Quantités annuelles émises;kg/an;2005;17.8
BASSE NORMANDIE;25;AI08Cadmium - Quantités annuelles émises;kg/an;2006;0.0
BASSE NORMANDIE;25;AI08Cadmium - Quantités annuelles émises;kg/an;2007;0.0
BASSE NORMANDIE;25;AI08Cadmium - Quantités annuelles émises;kg/an;2008;0.0
BASSE NORMANDIE;25;AI08Cadmium - Quantités annuelles émises;kg/an;2009;0.0
BOURGOGNE;26;AI08Cadmium - Quantités annuelles émises;kg/an;1999;0.0
BOURGOGNE;26;AI08Cadmium - Quantités annuelles émises;kg/an;2000;0.0
BOURGOGNE;26;AI08Cadmium - Quantités annuelles émises;kg/an;2001;0.0
BOURGOGNE;26;AI08Cadmium - Quantités annuelles émises;kg/an;2002;548.0
BOURGOGNE;26;AI08Cadmium - Quantités annuelles émises;kg/an;2004;89.0
BOURGOGNE;26;AI08Cadmium - Quantités annuelles émises;kg/an;2005;43.31
BOURGOGNE;26;AI08Cadmium - Quantités annuelles émises;kg/an;2006;126.6
BOURGOGNE;26;AI08Cadmium - Quantités annuelles émises;kg/an;2007;70.33
BOURGOGNE;26;AI08Cadmium - Quantités annuelles émises;kg/an;2008;79.24
BOURGOGNE;26;AI08Cadmium - Quantités annuelles émises;kg/an;2009;0.0
BRETAGNE;53;AI08Cadmium - Quantités annuelles émises;kg/an;1999;0.0
BRETAGNE;53;AI08Cadmium - Quantités annuelles émises;kg/an;2000;0.0
BRETAGNE;53;AI08Cadmium - Quantités annuelles émises;kg/an;2001;0.0
BRETAGNE;53;AI08Cadmium - Quantités annuelles émises;kg/an;2002;20.0
BRETAGNE;53;AI08Cadmium - Quantités annuelles émises;kg/an;2004;27.0
BRETAGNE;53;AI08Cadmium - Quantités annuelles émises;kg/an;2005;23.54
BRETAGNE;53;AI08Cadmium - Quantités annuelles émises;kg/an;2006;0.0
BRETAGNE;53;AI08Cadmium - Quantités annuelles émises;kg/an;2007;0.0
BRETAGNE;53;AI08Cadmium - Quantités annuelles émises;kg/an;2008;0.0
BRETAGNE;53;AI08Cadmium - Quantités annuelles émises;kg/an;2009;0.0
CENTRE-VAL DE LOIRE;24;AI08Cadmium - Quantités annuelles émises;kg/an;1999;365.0
CENTRE-VAL DE LOIRE;24;AI08Cadmium - Quantités annuelles émises;kg/an;2000;0.0
CENTRE-VAL DE LOIRE;24;AI08Cadmium - Quantités annuelles émises;kg/an;2001;21.57
CENTRE-VAL DE LOIRE;24;AI08Cadmium - Quantités annuelles émises;kg/an;2002;90.05
CENTRE-VAL DE LOIRE;24;AI08Cadmium - Quantités annuelles émises;kg/an;2004;39.365
CENTRE-VAL DE LOIRE;24;AI08Cadmium - Quantités annuelles émises;kg/an;2005;12.2
CENTRE-VAL DE LOIRE;24;AI08Cadmium - Quantités annuelles émises;kg/an;2006;0.0
