Lieu;Département;Série;Unité;Année;Valeur
ALSACE;42;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;1999;36.5
ALSACE;42;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2000;0.0
ALSACE;42;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2001;135.0
ALSACE;42;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2002;110.0
ALSACE;42;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2004;152.185
ALSACE;42;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2005;177.169
ALSACE;42;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2006;279.22
ALSACE;42;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2007;409.2
ALSACE;42;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2008;253.076
ALSACE;42;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2009;96.368
AQUITAINE;72;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;1999;0.0
AQUITAINE;72;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2000;65.7
AQUITAINE;72;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2001;26.7
AQUITAINE;72;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2002;21.92
AQUITAINE;72;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2004;204.02
AQUITAINE;72;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2005;110.85
AQUITAINE;72;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2006;54.41
AQUITAINE;72;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2007;68.204
AQUITAINE;72;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2008;31.732
AQUITAINE;72;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2009;63.867
AUVERGNE;83;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;1999;0.0
AUVERGNE;83;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2000;0.0
AUVERGNE;83;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2001;0.0
AUVERGNE;83;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2002;32.94
AUVERGNE;83;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2004;25.0
AUVERGNE;83;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2005;38.76
AUVERGNE;83;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2006;0.0
AUVERGNE;83;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2007;16.3
AUVERGNE;83;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2008;18.0
AUVERGNE;83;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2009;12.0
BASSE NORMANDIE;25;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;1999;0.0
BASSE NORMANDIE;25;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2000;64.8
BASSE NORMANDIE;25;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2001;0.0
BASSE NORMANDIE;25;AI08Mercure (et ses composants) - Quantités annuelles émises;kg/an;2002;13.0
