Lieu;Département;Série;Unité;Année;Valeur
ALSACE;42;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;1999;324.0
ALSACE;42;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2000;0.0
ALSACE;42;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2001;0.0
ALSACE;42;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2002;0.0
ALSACE;42;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2004;482.5
ALSACE;42;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2005;0.0
ALSACE;42;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2006;0.0
ALSACE;42;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2007;0.0
ALSACE;42;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2008;0.0
ALSACE;42;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2009;1018.607
AQUITAINE;72;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;1999;1816.0
AQUITAINE;72;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2000;2622.67
AQUITAINE;72;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2001;3480.0
AQUITAINE;72;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2002;4407.5
AQUITAINE;72;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2004;6290.25
AQUITAINE;72;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2005;7004.0
AQUITAINE;72;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2006;7964.0
AQUITAINE;72;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2007;4288.12
AQUITAINE;72;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2008;2146.66
AQUITAINE;72;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2009;547.69
AUVERGNE;83;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;1999;0.0
AUVERGNE;83;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2000;1100.0
AUVERGNE;83;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2001;1100.0
AUVERGNE;83;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2002;389.0
AUVERGNE;83;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2004;280.0
AUVERGNE;83;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2005;731.16
AUVERGNE;83;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2006;1013.3
AUVERGNE;83;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2007;420.0
AUVERGNE;83;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2008;0.0
AUVERGNE;83;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2009;0.0
BASSE NORMANDIE;25;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;1999;0.0
BASSE NORMANDIE;25;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2000;0.0
BASSE NORMANDIE;25;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2001;0.0
BASSE NORMANDIE;25;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2002;0.0
BASSE NORMANDIE;25;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2004;0.0
BASSE NORMANDIE;25;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2005;0.0
BASSE NORMANDIE;25;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2006;0.0
BASSE NORMANDIE;25;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2007;0.0
BASSE NORMANDIE;25;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2008;0.0
BASSE NORMANDIE;25;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2009;0.0
BOURGOGNE;26;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;1999;0.0
BOURGOGNE;26;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2000;0.0
BOURGOGNE;26;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2001;0.0
BOURGOGNE;26;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2002;1920.0
BOURGOGNE;26;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2004;3885.0
BOURGOGNE;26;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2005;3175.0
BOURGOGNE;26;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2006;2780.89
BOURGOGNE;26;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2007;5803.0
BOURGOGNE;26;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2008;8570.0
BOURGOGNE;26;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2009;0.0
BRETAGNE;53;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;1999;0.0
BRETAGNE;53;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2000;0.0
BRETAGNE;53;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2001;0.0
BRETAGNE;53;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2002;0.0
BRETAGNE;53;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2004;0.0
BRETAGNE;53;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2005;1733.0
BRETAGNE;53;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2006;3997.0
BRETAGNE;53;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2007;3104.0
BRETAGNE;53;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2008;0.0
BRETAGNE;53;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2009;0.0
CENTRE-VAL DE LOIRE;24;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;1999;1792.15
CENTRE-VAL DE LOIRE;24;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2000;462.0
CENTRE-VAL DE LOIRE;24;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2001;1069.0
CENTRE-VAL DE LOIRE;24;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2002;500.0
CENTRE-VAL DE LOIRE;24;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2004;0.0
CENTRE-VAL DE LOIRE;24;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2005;0.0
CENTRE-VAL DE LOIRE;24;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2006;0.0
CENTRE-VAL DE LOIRE;24;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2007;0.0
CENTRE-VAL DE LOIRE;24;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2008;234.681
CENTRE-VAL DE LOIRE;24;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2009;0.0
CHAMPAGNE-ARDENNE;21;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;1999;1474.0
CHAMPAGNE-ARDENNE;21;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2000;2840.0
CHAMPAGNE-ARDENNE;21;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2001;4344.0
CHAMPAGNE-ARDENNE;21;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2002;3278.0
CHAMPAGNE-ARDENNE;21;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2004;2467.0
CHAMPAGNE-ARDENNE;21;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2005;3970.0
CHAMPAGNE-ARDENNE;21;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2006;4101.54
CHAMPAGNE-ARDENNE;21;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2007;5995.88
CHAMPAGNE-ARDENNE;21;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2008;1785.37
CHAMPAGNE-ARDENNE;21;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2009;601.55
CORSE;94;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;1999;0.0
CORSE;94;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2000;0.0
CORSE;94;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2001;0.0
CORSE;94;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2002;0.0
CORSE;94;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2004;0.0
CORSE;94;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2005;299.0
CORSE;94;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2006;271.0
CORSE;94;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2007;321.0
CORSE;94;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2008;0.0
CORSE;94;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2009;0.0
D.O.M.;97;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;1999;ND
D.O.M.;97;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2000;ND
D.O.M.;97;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2001;ND
D.O.M.;97;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2002;ND
D.O.M.;97;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2004;0.0
D.O.M.;97;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2005;1009.0
D.O.M.;97;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2006;978.0
D.O.M.;97;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2007;402.7
D.O.M.;97;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2008;0.0
D.O.M.;97;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2009;0.0
FRANCHE COMTE;43;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;1999;895.0
FRANCHE COMTE;43;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2000;786.0
FRANCHE COMTE;43;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2001;0.0
FRANCHE COMTE;43;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2002;0.0
FRANCHE COMTE;43;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2004;0.0
FRANCHE COMTE;43;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2005;0.0
FRANCHE COMTE;43;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2006;0.0
FRANCHE COMTE;43;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2007;0.0
FRANCHE COMTE;43;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2008;0.0
FRANCHE COMTE;43;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2009;3557.27
France entière;;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;1999;ND
France entière;;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2000;ND
France entière;;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2001;ND
France entière;;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2002;ND
France entière;;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2004;81261.473
France entière;;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2005;70017.544
France entière;;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2006;66578.43
France entière;;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2007;65174.946
France entière;;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2008;44205.373
France entière;;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2009;28801.906
HAUTE NORMANDIE;23;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;1999;1241.0
HAUTE NORMANDIE;23;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2000;1104.0
HAUTE NORMANDIE;23;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2001;0.0
HAUTE NORMANDIE;23;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2002;4826.5
HAUTE NORMANDIE;23;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2004;1509.9
HAUTE NORMANDIE;23;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2005;854.6
HAUTE NORMANDIE;23;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2006;761.0
