Lieu	N° région, département	Série	Unité	Année	Valeur
ALSACE	42	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	1999	69.0
ALSACE	42	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2000	68.0
ALSACE	42	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2001	97.0
ALSACE	42	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2002	114.0
ALSACE	42	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2004	78.721
ALSACE	42	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2005	61.725
ALSACE	42	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2006	52.0
ALSACE	42	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2007	22.0
ALSACE	42	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2008	10.0
ALSACE	42	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2009	88.537
AQUITAINE	72	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	1999	34.0
AQUITAINE	72	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2000	30.5
AQUITAINE	72	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2001	24.7
AQUITAINE	72	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2002	18.7
AQUITAINE	72	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2004	25.8
AQUITAINE	72	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2005	37.2
AQUITAINE	72	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2006	19.4
AQUITAINE	72	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2007	19.0
AQUITAINE	72	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2008	15.0
AQUITAINE	72	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2009	34.865
AUVERGNE	83	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
AUVERGNE	83	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
AUVERGNE	83	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2001	7.0
AUVERGNE	83	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2002	0.0
AUVERGNE	83	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2004	0.0
AUVERGNE	83	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2005	0.0
AUVERGNE	83	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2006	0.0
