Lieu	N° région, département	Série	Unité	Année	Valeur
ALSACE	42	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	1999	44.5
ALSACE	42	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2000	119.5
ALSACE	42	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2001	115.8
ALSACE	42	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2002	121.0
ALSACE	42	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2004	111.719
ALSACE	42	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2005	105.328
ALSACE	42	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2006	107.95
ALSACE	42	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2007	21.8
ALSACE	42	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2008	17.441
ALSACE	42	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2009	41.01
AQUITAINE	72	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
AQUITAINE	72	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
AQUITAINE	72	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2001	0.0
AQUITAINE	72	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2002	1.77
AQUITAINE	72	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2004	11.82
AQUITAINE	72	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2005	1.0
AQUITAINE	72	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2006	2.2
AQUITAINE	72	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2007	5.57
AQUITAINE	72	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2008	7.38
AQUITAINE	72	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2009	6.53
AUVERGNE	83	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
AUVERGNE	83	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
AUVERGNE	83	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2001	2.55
AUVERGNE	83	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2002	5.02
AUVERGNE	83	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2004	4.0
AUVERGNE	83	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2005	0.0
AUVERGNE	83	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2006	2.354
AUVERGNE	83	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2007	2.1
AUVERGNE	83	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2008	1.0
AUVERGNE	83	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2009	2.0
BASSE NORMANDIE	25	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
BASSE NORMANDIE	25	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
BASSE NORMANDIE	25	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2001	0.0
BASSE NORMANDIE	25	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2002	0.0
BASSE NORMANDIE	25	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2004	6.44
BASSE NORMANDIE	25	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2005	6.54
BASSE NORMANDIE	25	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2006	0.0
BASSE NORMANDIE	25	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2007	0.0
BASSE NORMANDIE	25	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2008	0.0
BASSE NORMANDIE	25	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2009	0.0
BOURGOGNE	26	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
BOURGOGNE	26	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
BOURGOGNE	26	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2001	1.6
BOURGOGNE	26	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2002	7.24
BOURGOGNE	26	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2004	0.0
BOURGOGNE	26	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2005	0.0
BOURGOGNE	26	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2006	0.0
BOURGOGNE	26	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2007	0.0
BOURGOGNE	26	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2008	7.3
BOURGOGNE	26	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2009	20.0
BRETAGNE	53	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
BRETAGNE	53	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
BRETAGNE	53	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2001	0.0
BRETAGNE	53	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2002	0.0
BRETAGNE	53	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2004	0.0
BRETAGNE	53	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2005	2.0
BRETAGNE	53	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2006	0.0
BRETAGNE	53	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2007	0.0
BRETAGNE	53	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2008	0.0
BRETAGNE	53	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2009	0.0
CENTRE-VAL DE LOIRE	24	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
CENTRE-VAL DE LOIRE	24	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
CENTRE-VAL DE LOIRE	24	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2001	0.0
CENTRE-VAL DE LOIRE	24	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2002	0.0
