Lieu	N° région, département	Série	Unité	Année	Valeur
ALSACE	42	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	1999	3.98
AQUITAINE	72	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	1999	0.0
AUVERGNE	83	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	1999	0.0
BASSE NORMANDIE	25	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	1999	0.0
BOURGOGNE	26	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	1999	0.919
BRETAGNE	53	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	1999	0.0
CENTRE-VAL DE LOIRE	24	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	1999	0.0
CHAMPAGNE-ARDENNE	21	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	1999	0.0
CORSE	94	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	1999	0.0
D.O.M.	97	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	1999	ND
FRANCHE COMTE	43	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	1999	0.0
France entière		EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	1999	ND
HAUTE NORMANDIE	23	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	1999	0.0
ILE DE FRANCE	11	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	1999	0.6
LANGUEDOC-ROUSSILLON	91	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	1999	0.0
LIMOUSIN	74	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	1999	0.0
LORRAINE	41	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	1999	0.36
MIDI-PYRENEES	73	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	1999	0.0
NORD-PAS-DE-CALAIS	31	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	1999	0.0
PAYS DE LA LOIRE	52	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	1999	0.346
PICARDIE	22	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	1999	0.0
POITOU-CHARENTES	54	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	1999	0.0
PROVENCE-ALPES-COTE D AZUR	93	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	1999	15.1
RHONE-ALPES	82	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	1999	0.23
ALSACE	42	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2000	3.93
AQUITAINE	72	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2000	0.0
AUVERGNE	83	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2000	0.0
BASSE NORMANDIE	25	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2000	0.0
BOURGOGNE	26	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2000	0.954
BRETAGNE	53	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2000	0.0
CENTRE-VAL DE LOIRE	24	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2000	0.0
CHAMPAGNE-ARDENNE	21	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2000	0.0
CORSE	94	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2000	0.0
D.O.M.	97	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2000	ND
FRANCHE COMTE	43	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2000	0.0
France entière		EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2000	ND
HAUTE NORMANDIE	23	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2000	0.0
ILE DE FRANCE	11	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2000	87.9
LANGUEDOC-ROUSSILLON	91	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2000	0.0
LIMOUSIN	74	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2000	0.0
LORRAINE	41	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2000	0.7
MIDI-PYRENEES	73	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2000	0.0
NORD-PAS-DE-CALAIS	31	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2000	11.231
PAYS DE LA LOIRE	52	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2000	0.18
PICARDIE	22	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2000	0.0
POITOU-CHARENTES	54	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2000	0.0
PROVENCE-ALPES-COTE D AZUR	93	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2000	17.8
RHONE-ALPES	82	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2000	0.9
ALSACE	42	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2001	3.594
AQUITAINE	72	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2001	0.026
AUVERGNE	83	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2001	0.243
BASSE NORMANDIE	25	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2001	0.029
BOURGOGNE	26	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2001	0.842
BRETAGNE	53	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2001	0.0
CENTRE-VAL DE LOIRE	24	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2001	0.0
CHAMPAGNE-ARDENNE	21	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2001	0.071
CORSE	94	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2001	0.0
D.O.M.	97	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2001	0.049
FRANCHE COMTE	43	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2001	0.559
France entière		EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2001	ND
HAUTE NORMANDIE	23	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2001	0.537
ILE DE FRANCE	11	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2001	0.438
LANGUEDOC-ROUSSILLON	91	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2001	0.044
LIMOUSIN	74	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2001	0.16
LORRAINE	41	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2001	1.471
MIDI-PYRENEES	73	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2001	0.0
NORD-PAS-DE-CALAIS	31	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2001	10.847
PAYS DE LA LOIRE	52	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2001	0.065
PICARDIE	22	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2001	0.07
POITOU-CHARENTES	54	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2001	0.0
PROVENCE-ALPES-COTE D AZUR	93	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2001	17.763
RHONE-ALPES	82	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2001	0.441
ALSACE	42	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2002	2.497
AQUITAINE	72	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2002	0.11
AUVERGNE	83	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2002	0.223
BASSE NORMANDIE	25	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2002	0.0
BOURGOGNE	26	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2002	0.048
BRETAGNE	53	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2002	0.0
CENTRE-VAL DE LOIRE	24	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2002	3.894
CHAMPAGNE-ARDENNE	21	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2002	0.909
CORSE	94	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2002	0.0
D.O.M.	97	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2002	0.247
FRANCHE COMTE	43	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2002	0.637
France entière		EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2002	ND
HAUTE NORMANDIE	23	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2002	0.156
ILE DE FRANCE	11	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2002	0.746
LANGUEDOC-ROUSSILLON	91	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2002	0.089
LIMOUSIN	74	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2002	0.023
LORRAINE	41	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2002	0.596
MIDI-PYRENEES	73	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2002	0.0
NORD-PAS-DE-CALAIS	31	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2002	5.642
PAYS DE LA LOIRE	52	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2002	0.205
PICARDIE	22	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2002	0.0
POITOU-CHARENTES	54	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2002	0.0
PROVENCE-ALPES-COTE D AZUR	93	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2002	19.881
RHONE-ALPES	82	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2002	0.608
ALSACE	42	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2004	2.093
AQUITAINE	72	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2004	0.172
AUVERGNE	83	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2004	0.078
BASSE NORMANDIE	25	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2004	0.06
BOURGOGNE	26	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2004	0.147
BRETAGNE	53	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2004	0.0
CENTRE-VAL DE LOIRE	24	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2004	1.541
CHAMPAGNE-ARDENNE	21	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2004	0.087
CORSE	94	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2004	0.0
D.O.M.	97	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2004	0.0
FRANCHE COMTE	43	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2004	0.294
France entière		EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2004	33.105
HAUTE NORMANDIE	23	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2004	0.403
ILE DE FRANCE	11	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2004	1.678
LANGUEDOC-ROUSSILLON	91	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2004	0.048
LIMOUSIN	74	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2004	0.0
LORRAINE	41	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2004	0.693
MIDI-PYRENEES	73	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2004	1.071
NORD-PAS-DE-CALAIS	31	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2004	1.776
PAYS DE LA LOIRE	52	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2004	0.0
PICARDIE	22	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2004	0.0
POITOU-CHARENTES	54	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2004	0.0
PROVENCE-ALPES-COTE D AZUR	93	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2004	21.085
